exp_name	mode	step	travel_time	loss	rewards	queue	delay	throughput	train_reward	R_real	components	detail	fairness	emission	fuel	emergency_stops	ssm_conflicts	collisions	phi_raw
bullhead_1_efficiency_aligned_presslight_reward_oracle	REAL_TRAIN	0	698.1	0.0	-232.07	214.97	0.70	890	-92.39	0.0000			85.0000	1426.7469	462.5415	2.0000	633.0000	0.0000	
bullhead_1_efficiency_aligned_presslight_reward_oracle	REAL_TRAIN	1	716.6	0.0	-240.37	223.61	0.68	908	-96.35	0.0000			83.0000	1470.2546	476.6463	4.0000	615.0000	0.0000	
bullhead_1_efficiency_aligned_presslight_reward_oracle	REAL_TRAIN	2	807.0	1674.6	-263.22	247.37	0.72	803	-113.08	0.0000			543.0000	1594.2275	516.8378	9.0000	723.0000	0.0000	
bullhead_1_efficiency_aligned_presslight_reward_oracle	REAL_TEST	2	1044.4	100.0	-245.59	231.48	0.83	572		-159.5909	queue=2.0981;delay=0.8289;waiting=156.6639;pressure=0.0;switches=0.0		6.0000	1440.8169	467.1038	0.0000	312.0000	0.0000	queue=20.9808;delay=0.8289;waiting=31332.7792;pressure=245.9389;switches=0.0111
bullhead_1_efficiency_aligned_presslight_reward_oracle	REAL_TRAIN	3	373.8	433.1	-121.57	99.85	0.82	1235	-33.14	0.0000			649.0000	887.8375	287.8293	2.0000	703.0000	0.0000	
bullhead_1_efficiency_aligned_presslight_reward_oracle	REAL_TRAIN	4	275.1	124.9	-83.79	61.02	0.72	1235	-29.28	0.0000			623.0000	677.6003	219.6718	7.0000	677.0000	0.0000	
bullhead_1_efficiency_aligned_presslight_reward_oracle	REAL_TEST	4	308.4	100.0	-98.99	77.21	0.77	1112		-28.9953	queue=0.7672;delay=0.7725;waiting=27.4556;pressure=0.0;switches=0.0		567.0000	734.8339	238.2266	5.0000	760.0000	0.0000	queue=7.6725;delay=0.7725;waiting=5491.1109;pressure=99.2417;switches=0.3306
bullhead_1_efficiency_aligned_presslight_reward_oracle	REAL_TRAIN	5	195.7	97.5	-53.34	29.63	0.77	1285	-13.45	0.0000			525.0000	509.9994	165.3366	2.0000	423.0000	0.0000	
bullhead_1_efficiency_aligned_presslight_reward_oracle	REAL_TRAIN	6	202.1	84.3	-55.67	31.90	0.83	1298	-16.70	0.0000			523.0000	523.6776	169.7710	3.0000	451.0000	0.0000	
bullhead_1_efficiency_aligned_presslight_reward_oracle	REAL_TEST	6	215.0	100.0	-58.55	34.95	0.83	1232		-34.8225	queue=0.4695;delay=0.8261;waiting=33.5269;pressure=0.0;switches=0.0		526.0000	532.5931	172.6614	4.0000	402.0000	0.0000	queue=4.6947;delay=0.8261;waiting=6705.3757;pressure=58.6361;switches=0.4806
