exp_name	mode	step	travel_time	loss	rewards	queue	delay	throughput	train_reward	R_real	components	detail	fairness	emission	fuel	emergency_stops	ssm_conflicts	collisions	phi_raw
bullhead_3_efficiency_aligned_presslight_morl_grid	SIM_TRAIN	0	130.1	0.0	-4.50	3.62	0.57	4301	-0.42	0.0000			887.6667						
bullhead_3_efficiency_aligned_presslight_morl_grid	SIM_TRAIN	1	129.4	0.0	-4.32	3.41	0.58	4302	-0.42	0.0000			906.6667						
bullhead_3_efficiency_aligned_presslight_morl_grid	SIM_TRAIN	2	132.4	27.7	-5.12	4.65	0.55	4256	-0.45	0.0000			522.0000						
bullhead_3_efficiency_aligned_presslight_morl_grid	SIM_TRAIN	3	178.0	18.2	-17.52	12.42	0.56	4268	-0.81	0.0000			521.0000						
bullhead_3_efficiency_aligned_presslight_morl_grid	SIM_TRAIN	4	147.3	11.8	-10.50	8.66	0.53	4288	-0.52	0.0000			626.0000						
bullhead_3_efficiency_aligned_presslight_morl_grid	SIM_TRAIN	5	161.9	10.2	-17.87	13.70	0.56	4284	-0.71	0.0000			757.6667						
bullhead_3_efficiency_aligned_presslight_morl_grid	SIM_TRAIN	6	157.0	9.8	-13.45	11.26	0.53	4266	-0.60	0.0000			310.3333						
bullhead_3_efficiency_aligned_presslight_morl_grid	SIM_TRAIN	7	169.7	8.8	-15.31	12.43	0.53	4227	-0.62	0.0000			1184.0000						
bullhead_3_efficiency_aligned_presslight_morl_grid	SIM_TRAIN	8	197.0	7.9	-16.57	15.02	0.53	4156	-0.66	0.0000			1327.6667						
bullhead_3_efficiency_aligned_presslight_morl_grid	REAL_TRAIN	1	972.3	100.0	-170.34	159.11	0.79	1322		-262.1154	queue=4.9292;delay=2.3625;waiting=254.8237;pressure=0.0;switches=0.0	grid;w=queue=0.2;delay=0.2;waiting=0.2;pressure=0.2;switches=0.2	316.0000	4350.3571	1410.3582	3.0000	1493.0000	0.0000	queue=49.2922;delay=2.3625;waiting=50964.7412;pressure=300.2722;switches=0.4889
bullhead_3_efficiency_aligned_presslight_morl_grid	SIM_TRAIN	9	129.5	0.0	-4.16	3.44	0.57	4295	-0.05	0.0000			1846.6667						
bullhead_3_efficiency_aligned_presslight_morl_grid	SIM_TRAIN	10	129.5	0.0	-3.79	3.46	0.57	4298	-0.05	0.0000			1136.0000						
bullhead_3_efficiency_aligned_presslight_morl_grid	SIM_TRAIN	11	132.1	28.4	-4.56	4.38	0.56	4284	-0.06	0.0000			774.6667						
bullhead_3_efficiency_aligned_presslight_morl_grid	SIM_TRAIN	12	149.5	18.0	-8.96	9.39	0.50	4289	-0.10	0.0000			301.6667						
bullhead_3_efficiency_aligned_presslight_morl_grid	SIM_TRAIN	13	145.0	11.2	-11.02	8.26	0.54	4257	-0.09	0.0000			800.3333						
bullhead_3_efficiency_aligned_presslight_morl_grid	SIM_TRAIN	14	186.7	11.0	-24.52	21.52	0.57	4289	-0.23	0.0000			448.3333						
bullhead_3_efficiency_aligned_presslight_morl_grid	SIM_TRAIN	15	189.8	10.5	-21.07	19.86	0.55	4237	-0.21	0.0000			1215.3333						
bullhead_3_efficiency_aligned_presslight_morl_grid	SIM_TRAIN	16	209.0	10.1	-25.94	26.24	0.54	3972	-0.27	0.0000			1334.0000						
bullhead_3_efficiency_aligned_presslight_morl_grid	SIM_TRAIN	17	417.3	10.4	-68.32	76.51	0.56	3073	-0.81	0.0000			1064.0000						
bullhead_3_efficiency_aligned_presslight_morl_grid	REAL_TRAIN	2	2067.7	100.0	-347.90	338.62	0.91	238		-660.4836	queue=10.7035;delay=2.7349;waiting=647.0452;pressure=0.0;switches=0.0	grid;w=queue=1.0	64.0000	6497.8450	2106.5642	0.0000	1586.0000	0.0000	queue=107.0351;delay=2.7349;waiting=129409.0437;pressure=387.5556;switches=0.1444
bullhead_3_efficiency_aligned_presslight_morl_grid	SIM_TRAIN	18	130.9	0.0	-5.12	3.84	0.58	4297	-0.58	0.0000			1537.6667						
bullhead_3_efficiency_aligned_presslight_morl_grid	SIM_TRAIN	19	129.5	0.0	-3.93	3.47	0.57	4303	-0.57	0.0000			488.3333						
bullhead_3_efficiency_aligned_presslight_morl_grid	SIM_TRAIN	20	134.3	27.9	-7.10	5.02	0.58	4285	-0.58	0.0000			233.0000						
bullhead_3_efficiency_aligned_presslight_morl_grid	SIM_TRAIN	21	167.8	20.0	-14.27	11.07	0.54	4288	-0.54	0.0000			578.6667						
bullhead_3_efficiency_aligned_presslight_morl_grid	SIM_TRAIN	22	142.3	11.8	-7.75	7.05	0.53	4288	-0.53	0.0000			467.6667						
bullhead_3_efficiency_aligned_presslight_morl_grid	SIM_TRAIN	23	176.1	9.3	-27.16	21.56	0.55	3888	-0.55	0.0000			2006.6667						
bullhead_3_efficiency_aligned_presslight_morl_grid	SIM_TRAIN	24	330.9	10.5	-52.25	45.16	0.59	3930	-0.59	0.0000			863.6667						
bullhead_3_efficiency_aligned_presslight_morl_grid	SIM_TRAIN	25	363.2	13.5	-32.48	39.81	0.55	3786	-0.55	0.0000			1304.3333						
bullhead_3_efficiency_aligned_presslight_morl_grid	SIM_TRAIN	26	803.8	14.1	-116.62	160.16	0.58	2707	-0.58	0.0000			878.3333						
bullhead_3_efficiency_aligned_presslight_morl_grid	REAL_TRAIN	3	984.4	100.0	-152.11	134.92	0.79	1388		-183.8776	queue=4.2332;delay=2.3558;waiting=177.2887;pressure=0.0;switches=0.0	grid;w=delay=1.0	341.0000	4175.3798	1353.6303	3.0000	1800.0000	0.0000	queue=42.3317;delay=2.3558;waiting=35457.7305;pressure=276.7028;switches=0.6917
bullhead_3_efficiency_aligned_presslight_morl_grid	SIM_TRAIN	27	129.5	0.0	-4.12	3.49	0.57	4300	-0.18	0.0000			491.3333						
bullhead_3_efficiency_aligned_presslight_morl_grid	SIM_TRAIN	28	128.7	0.0	-3.27	3.22	0.57	4302	-0.14	0.0000			157.3333						
bullhead_3_efficiency_aligned_presslight_morl_grid	SIM_TRAIN	29	132.3	28.4	-5.51	4.48	0.57	4288	-0.28	0.0000			947.0000						
bullhead_3_efficiency_aligned_presslight_morl_grid	SIM_TRAIN	30	162.6	20.6	-10.51	12.90	0.52	4292	-0.68	0.0000			205.6667						
bullhead_3_efficiency_aligned_presslight_morl_grid	SIM_TRAIN	31	136.1	12.7	-5.26	5.21	0.51	4296	-0.14	0.0000			411.0000						
bullhead_3_efficiency_aligned_presslight_morl_grid	SIM_TRAIN	32	152.0	11.0	-10.32	10.54	0.54	4290	-0.44	0.0000			463.6667						
bullhead_3_efficiency_aligned_presslight_morl_grid	SIM_TRAIN	33	142.3	9.1	-7.28	7.07	0.52	4291	-0.15	0.0000			623.3333						
bullhead_3_efficiency_aligned_presslight_morl_grid	SIM_TRAIN	34	142.8	8.0	-8.41	7.18	0.53	4289	-0.15	0.0000			858.6667						
bullhead_3_efficiency_aligned_presslight_morl_grid	SIM_TRAIN	35	143.2	7.3	-9.10	7.26	0.54	4288	-0.15	0.0000			390.3333						
bullhead_3_efficiency_aligned_presslight_morl_grid	REAL_TRAIN	4	155.3	100.0	-34.41	9.64	0.53	4179		-7.9472	queue=0.3012;delay=1.5809;waiting=6.0651;pressure=0.0;switches=0.0	grid;w=waiting=1.0	445.3333	1317.9932	427.2784	19.0000	920.0000	0.0000	queue=3.0122;delay=1.5809;waiting=1213.0107;pressure=50.3889;switches=1.3944
bullhead_3_efficiency_aligned_presslight_morl_grid	SIM_TRAIN	36	129.6	0.0	-4.12	3.47	0.58	4301	-0.64	0.0000			898.6667						
bullhead_3_efficiency_aligned_presslight_morl_grid	SIM_TRAIN	37	130.3	0.0	-4.88	3.71	0.58	4299	-0.66	0.0000			670.6667						
bullhead_3_efficiency_aligned_presslight_morl_grid	SIM_TRAIN	38	132.5	28.3	-5.59	4.45	0.57	4279	-0.78	0.0000			333.0000						
bullhead_3_efficiency_aligned_presslight_morl_grid	SIM_TRAIN	39	153.1	17.4	-14.39	10.48	0.56	4291	-1.06	0.0000			754.6667						
bullhead_3_efficiency_aligned_presslight_morl_grid	SIM_TRAIN	40	136.3	11.0	-7.06	5.22	0.52	4299	-0.73	0.0000			283.0000						
bullhead_3_efficiency_aligned_presslight_morl_grid	SIM_TRAIN	41	140.5	7.9	-9.50	6.56	0.54	4294	-0.70	0.0000			492.0000						
bullhead_3_efficiency_aligned_presslight_morl_grid	SIM_TRAIN	42	142.5	6.6	-11.60	7.15	0.55	4295	-0.77	0.0000			778.3333						
bullhead_3_efficiency_aligned_presslight_morl_grid	SIM_TRAIN	43	145.5	6.2	-13.98	8.16	0.56	4285	-0.97	0.0000			572.6667						
bullhead_3_efficiency_aligned_presslight_morl_grid	SIM_TRAIN	44	142.7	5.4	-11.77	7.07	0.54	4293	-0.87	0.0000			206.6667						
bullhead_3_efficiency_aligned_presslight_morl_grid	REAL_TRAIN	5	872.6	100.0	-157.17	145.18	0.78	1487		-230.1398	queue=4.4992;delay=2.3348;waiting=223.3058;pressure=0.0;switches=0.0	grid;w=pressure=1.0	343.6667	4083.5532	1323.8617	5.0000	1399.0000	0.0000	queue=44.9917;delay=2.3348;waiting=44661.1693;pressure=284.475;switches=0.275
bullhead_3_efficiency_aligned_presslight_morl_grid	SIM_TRAIN	45	129.5	0.0	-3.96	3.46	0.57	4300	-0.65	0.0000			992.6667						
bullhead_3_efficiency_aligned_presslight_morl_grid	SIM_TRAIN	46	129.6	0.0	-4.32	3.52	0.58	4300	-0.64	0.0000			157.6667						
bullhead_3_efficiency_aligned_presslight_morl_grid	SIM_TRAIN	47	130.3	26.9	-3.25	3.90	0.56	4269	-0.64	0.0000			815.6667						
bullhead_3_efficiency_aligned_presslight_morl_grid	SIM_TRAIN	48	155.1	17.4	-12.11	10.76	0.54	4291	-0.66	0.0000			1252.0000						
bullhead_3_efficiency_aligned_presslight_morl_grid	SIM_TRAIN	49	141.5	10.8	-6.94	6.89	0.50	4294	-0.69	0.0000			0.0000						
bullhead_3_efficiency_aligned_presslight_morl_grid	SIM_TRAIN	50	350.3	10.3	-54.30	55.21	0.60	3848	-0.49	0.0000			1291.3333						
bullhead_3_efficiency_aligned_presslight_morl_grid	SIM_TRAIN	51	679.7	18.9	-99.21	139.11	0.60	3013	-0.39	0.0000			1053.6667						
bullhead_3_efficiency_aligned_presslight_morl_grid	SIM_TRAIN	52	815.8	26.5	-110.03	162.51	0.62	2958	-0.37	0.0000			1175.6667						
bullhead_3_efficiency_aligned_presslight_morl_grid	SIM_TRAIN	53	927.6	31.1	-125.35	189.35	0.61	2514	-0.36	0.0000			897.0000						
bullhead_3_efficiency_aligned_presslight_morl_grid	REAL_TRAIN	6	790.9	100.0	-112.09	124.86	0.72	1916		-161.5511	queue=3.813;delay=2.1664;waiting=155.5717;pressure=0.0;switches=0.0	grid;w=switches=1.0	396.6667	3848.9151	1247.7912	1.0000	1662.0000	0.0000	queue=38.13;delay=2.1664;waiting=31114.3409;pressure=184.825;switches=0.925
bullhead_3_efficiency_aligned_presslight_morl_grid	SIM_TRAIN	54	130.9	0.0	-5.37	3.86	0.58	4298	-0.32	0.0000			1362.6667						
bullhead_3_efficiency_aligned_presslight_morl_grid	SIM_TRAIN	55	130.4	0.0	-4.76	3.72	0.57	4301	-0.31	0.0000			0.0000						
bullhead_3_efficiency_aligned_presslight_morl_grid	SIM_TRAIN	56	134.0	28.3	-6.39	5.04	0.57	4257	-0.32	0.0000			226.0000						
bullhead_3_efficiency_aligned_presslight_morl_grid	SIM_TRAIN	57	151.7	19.0	-13.36	9.83	0.56	4296	-0.34	0.0000			486.3333						
bullhead_3_efficiency_aligned_presslight_morl_grid	SIM_TRAIN	58	141.9	11.7	-10.78	6.97	0.55	4288	-0.31	0.0000			671.3333						
bullhead_3_efficiency_aligned_presslight_morl_grid	SIM_TRAIN	59	147.0	9.1	-12.33	8.67	0.55	4286	-0.32	0.0000			333.0000						
bullhead_3_efficiency_aligned_presslight_morl_grid	SIM_TRAIN	60	406.2	10.6	-64.73	62.93	0.64	3836	-0.65	0.0000			803.3333						
bullhead_3_efficiency_aligned_presslight_morl_grid	SIM_TRAIN	61	305.2	14.1	-44.69	50.44	0.56	3786	-0.54	0.0000			1213.6667						
bullhead_3_efficiency_aligned_presslight_morl_grid	SIM_TRAIN	62	316.6	15.6	-45.08	42.78	0.55	3575	-0.50	0.0000			1276.6667						
bullhead_3_efficiency_aligned_presslight_morl_grid	REAL_TRAIN	7	849.4	100.0	-201.56	161.78	0.80	1638		-214.4234	queue=5.1932;delay=2.4134;waiting=206.8168;pressure=0.0;switches=0.0	grid;w=queue=0.5;delay=0.5	366.0000	4047.3952	1312.1367	2.0000	1874.0000	0.0000	queue=51.9319;delay=2.4134;waiting=41363.3608;pressure=326.9;switches=0.7444
bullhead_3_efficiency_aligned_presslight_morl_grid	SIM_TRAIN	63	129.8	0.0	-4.03	3.54	0.58	4297	-0.11	0.0000			426.0000						
bullhead_3_efficiency_aligned_presslight_morl_grid	SIM_TRAIN	64	129.7	0.0	-4.09	3.51	0.57	4301	-0.11	0.0000			1614.6667						
bullhead_3_efficiency_aligned_presslight_morl_grid	SIM_TRAIN	65	131.8	28.5	-4.82	4.23	0.57	4289	-0.13	0.0000			562.6667						
bullhead_3_efficiency_aligned_presslight_morl_grid	SIM_TRAIN	66	156.5	19.9	-9.40	10.86	0.52	4289	-0.23	0.0000			705.3333						
bullhead_3_efficiency_aligned_presslight_morl_grid	SIM_TRAIN	67	140.5	12.4	-6.15	6.47	0.52	4293	-0.11	0.0000			569.0000						
bullhead_3_efficiency_aligned_presslight_morl_grid	SIM_TRAIN	68	164.9	10.2	-15.91	13.26	0.55	4284	-0.45	0.0000			733.3333						
