exp_name	mode	step	travel_time	loss	rewards	queue	delay	throughput	train_reward	R_real	components	detail	fairness	emission	fuel	emergency_stops	ssm_conflicts	collisions	phi_raw
bullhead_3_emission_heavy_presslight_reward_inference	SIM_TRAIN	0	986.5	0.2	-161.07	230.60	0.78	3390	-2.36	0.0000			1748.3333						
bullhead_3_emission_heavy_presslight_reward_inference	SIM_TRAIN	1	460.4	0.1	-85.19	80.13	0.74	3859	-0.80	0.0000			1558.0000						
bullhead_3_emission_heavy_presslight_reward_inference	SIM_TRAIN	2	265.8	0.1	-41.80	21.47	0.74	4118	-0.30	0.0000			1863.3333						
bullhead_3_emission_heavy_presslight_reward_inference	REAL_TRAIN	1	1214.3	100.0	-331.78	191.41	0.87	1424		-33.0164	queue=3.3135;delay=0.0;waiting=0.0;pressure=0.0;switches=0.0;emission=29.7029	probe[queue]	253.6667	4886.8851	1584.2967	5.0000	1260.0000	0.0000	queue=66.2701;delay=2.6215;waiting=76819.5141;pressure=536.7861;switches=0.5139;emission=148.5145
bullhead_3_emission_heavy_presslight_reward_inference	SIM_TRAIN	3	1411.8	0.1	-201.02	279.72	0.71	1551	-0.71	0.0000			812.6667						
bullhead_3_emission_heavy_presslight_reward_inference	SIM_TRAIN	4	1036.7	0.0	-160.67	219.57	0.66	2416	-0.66	0.0000			1362.0000						
bullhead_3_emission_heavy_presslight_reward_inference	SIM_TRAIN	5	989.4	0.0	-161.78	202.69	0.62	2269	-0.62	0.0000			1212.6667						
bullhead_3_emission_heavy_presslight_reward_inference	REAL_TRAIN	2	2035.2	100.0	-371.54	278.89	0.89	508		-39.8446	queue=4.5343;delay=0.0;waiting=0.0;pressure=0.0;switches=0.0;emission=35.3104	probe[delay]	164.0000	5871.5596	1903.5261	0.0000	1090.0000	0.0000	queue=90.6851;delay=2.6638;waiting=127413.2185;pressure=625.0861;switches=0.0528;emission=176.5519
bullhead_3_emission_heavy_presslight_reward_inference	SIM_TRAIN	6	1433.2	3722.8	-206.08	280.73	0.77	1528	-82.36	0.0000			716.3333						
bullhead_3_emission_heavy_presslight_reward_inference	SIM_TRAIN	7	934.7	768.7	-176.52	159.30	0.74	2500	-91.72	0.0000			1189.6667						
bullhead_3_emission_heavy_presslight_reward_inference	SIM_TRAIN	8	722.8	924.0	-184.76	107.39	0.78	3132	-41.32	0.0000			1333.3333						
bullhead_3_emission_heavy_presslight_reward_inference	REAL_TRAIN	3	831.2	100.0	-386.17	190.80	0.84	2208		-26.3793	queue=3.2001;delay=0.0;waiting=0.0;pressure=0.0;switches=0.0;emission=23.1792	probe[waiting]	260.0000	4042.5038	1310.5509	1.0000	917.0000	0.0000	queue=64.0019;delay=2.5328;waiting=71698.5437;pressure=386.8361;switches=0.5139;emission=115.8958
bullhead_3_emission_heavy_presslight_reward_inference	SIM_TRAIN	9	1241.9	10.8	-204.20	237.81	0.76	2107	-10.12	0.0000			1051.3333						
bullhead_3_emission_heavy_presslight_reward_inference	SIM_TRAIN	10	448.4	4.3	-83.93	65.92	0.79	3775	-6.59	0.0000			1861.3333						
bullhead_3_emission_heavy_presslight_reward_inference	SIM_TRAIN	11	313.8	3.7	-87.32	57.33	0.87	3999	-2.96	0.0000			1721.3333						
bullhead_3_emission_heavy_presslight_reward_inference	REAL_TRAIN	4	285.5	100.0	-147.60	47.09	0.79	3111		-10.3376	queue=0.8821;delay=0.0;waiting=0.0;pressure=0.0;switches=0.0;emission=9.4555	probe[pressure]	449.0000	1715.8710	556.2699	2.0000	629.0000	0.0000	queue=17.642;delay=2.3591;waiting=26531.883;pressure=147.8056;switches=0.5833;emission=47.2776
bullhead_3_emission_heavy_presslight_reward_inference	SIM_TRAIN	12	1152.7	0.1	-103.94	244.77	0.82	1923	-0.24	0.0000			999.0000						
bullhead_3_emission_heavy_presslight_reward_inference	SIM_TRAIN	13	1094.9	0.0	-136.22	232.09	0.83	1727	-0.10	0.0000			1181.6667						
bullhead_3_emission_heavy_presslight_reward_inference	SIM_TRAIN	14	1599.8	0.0	-242.36	300.29	0.85	791	-0.05	0.0000			499.6667						
