exp_name	mode	step	travel_time	loss	rewards	queue	delay	throughput	train_reward	R_real	components	detail	fairness	emission	fuel	emergency_stops	ssm_conflicts	collisions	phi_raw
bullhead_3_physical_safety_heavy_presslight_reward_oracle	REAL_TRAIN	0	1499.7	0.0	-248.03	246.87	0.78	1068	-1.55	0.0000			306.0000	5948.5280	1928.4746	2.0000	1527.0000	0.0000	
bullhead_3_physical_safety_heavy_presslight_reward_oracle	REAL_TRAIN	1	1532.4	0.0	-282.50	259.34	0.76	917	-1.63	0.0000			245.3333	5990.7657	1942.1687	1.0000	1542.0000	0.0000	
bullhead_3_physical_safety_heavy_presslight_reward_oracle	REAL_TRAIN	2	1208.6	0.2	-266.82	231.36	0.78	2347	-1.50	0.0000			430.3333	5423.9096	1758.3944	1.0000	1651.0000	0.0000	
bullhead_3_physical_safety_heavy_presslight_reward_oracle	REAL_TEST	2	1297.3	100.0	-362.58	243.47	0.85	831		-4.9816	queue=4.0277;delay=0.0;waiting=0.0;pressure=0.0;switches=0.0;ssm_conflicts=0.9539;collisions=0.0		225.0000	5239.6731	1698.6703	4.0000	1717.0000	0.0000	queue=80.5546;delay=2.5617;waiting=85935.6493;pressure=422.5472;switches=0.4833;ssm_conflicts=4.7694;collisions=0.0
bullhead_3_physical_safety_heavy_presslight_reward_oracle	REAL_TRAIN	3	367.5	0.1	-96.76	60.39	0.69	3369	-0.70	0.0000			513.0000	2490.7430	807.4764	9.0000	2004.0000	0.0000	
bullhead_3_physical_safety_heavy_presslight_reward_oracle	REAL_TRAIN	4	212.7	0.1	-63.40	26.56	0.66	4137	-0.34	0.0000			626.3333	1682.0030	545.2879	10.0000	987.0000	0.0000	
bullhead_3_physical_safety_heavy_presslight_reward_oracle	REAL_TEST	4	230.7	100.0	-89.78	39.30	0.74	3814		-0.9184	queue=0.7412;delay=0.0;waiting=0.0;pressure=0.0;switches=0.0;ssm_conflicts=0.1772;collisions=0.0		685.6667	1723.3080	558.6800	2.0000	319.0000	0.0000	queue=14.8234;delay=2.2232;waiting=16879.2913;pressure=91.6861;switches=0.1694;ssm_conflicts=0.8861;collisions=0.0
bullhead_3_physical_safety_heavy_presslight_reward_oracle	REAL_TRAIN	5	205.2	0.0	-71.36	30.23	0.70	3998	-0.30	0.0000			625.3333	1616.4559	524.0388	5.0000	578.0000	0.0000	
bullhead_3_physical_safety_heavy_presslight_reward_oracle	REAL_TRAIN	6	221.5	0.0	-88.98	34.75	0.72	3852	-0.30	0.0000			707.3333	1682.7550	545.5327	4.0000	384.0000	0.0000	
bullhead_3_physical_safety_heavy_presslight_reward_oracle	REAL_TEST	6	209.7	100.0	-94.82	29.18	0.76	3936		-1.0658	queue=0.5547;delay=0.0;waiting=0.0;pressure=0.0;switches=0.0;ssm_conflicts=0.5111;collisions=0.0		483.3333	1617.9890	524.5356	3.0000	920.0000	1.0000	queue=11.0942;delay=2.2689;waiting=11143.8989;pressure=95.4556;switches=0.6306;ssm_conflicts=2.5556;collisions=0.0028
