exp_name	mode	step	travel_time	loss	rewards	queue	delay	throughput	train_reward	R_real	components	detail	fairness	emission	fuel	emergency_stops	ssm_conflicts	collisions	phi_raw
cologne1_fairness_heavy_presslight_dynamic_reward_shaping	SIM_TRAIN	0	48.2	0.0	-8.95	5.57	0.32	1999	-0.57	0.0000			380.0000						
cologne1_fairness_heavy_presslight_dynamic_reward_shaping	SIM_TRAIN	1	48.0	0.0	-8.96	5.43	0.32	2001	-0.57	0.0000			0.0000						
cologne1_fairness_heavy_presslight_dynamic_reward_shaping	SIM_TRAIN	2	48.3	286.4	-9.74	6.15	0.32	1987	-0.58	0.0000			404.0000						
cologne1_fairness_heavy_presslight_dynamic_reward_shaping	SIM_TRAIN	3	46.2	39.7	-8.47	4.95	0.31	2001	-0.52	0.0000			0.0000						
cologne1_fairness_heavy_presslight_dynamic_reward_shaping	SIM_TRAIN	4	44.1	0.3	-7.24	4.08	0.30	2001	-0.49	0.0000			0.0000						
cologne1_fairness_heavy_presslight_dynamic_reward_shaping	SIM_TRAIN	5	44.7	0.1	-8.01	4.68	0.30	2001	-0.50	0.0000			0.0000						
cologne1_fairness_heavy_presslight_dynamic_reward_shaping	SIM_TRAIN	6	43.4	0.1	-7.53	4.39	0.31	2001	-0.50	0.0000			0.0000						
cologne1_fairness_heavy_presslight_dynamic_reward_shaping	SIM_TRAIN	7	44.1	0.1	-7.54	4.37	0.31	2001	-0.46	0.0000			0.0000						
cologne1_fairness_heavy_presslight_dynamic_reward_shaping	SIM_TRAIN	8	44.7	0.1	-7.92	4.69	0.31	1999	-0.48	0.0000			0.0000						
cologne1_fairness_heavy_presslight_dynamic_reward_shaping	SIM_TRAIN	9	45.1	0.1	-8.01	4.74	0.31	2001	-0.51	0.0000			0.0000						
cologne1_fairness_heavy_presslight_dynamic_reward_shaping	SIM_TRAIN	10	44.5	0.1	-7.65	4.38	0.31	2001	-0.48	0.0000			0.0000						
cologne1_fairness_heavy_presslight_dynamic_reward_shaping	SIM_TRAIN	11	43.9	0.1	-7.57	4.42	0.29	2001	-0.47	0.0000			0.0000						
cologne1_fairness_heavy_presslight_dynamic_reward_shaping	SIM_TRAIN	12	44.5	0.1	-7.59	4.35	0.30	1999	-0.49	0.0000			369.0000						
cologne1_fairness_heavy_presslight_dynamic_reward_shaping	SIM_TRAIN	13	43.8	0.1	-7.37	4.24	0.30	1998	-0.45	0.0000			313.0000						
cologne1_fairness_heavy_presslight_dynamic_reward_shaping	SIM_TRAIN	14	44.5	0.1	-7.76	4.53	0.30	2001	-0.45	0.0000			0.0000						
cologne1_fairness_heavy_presslight_dynamic_reward_shaping	SIM_TRAIN	15	43.8	0.1	-7.50	4.40	0.30	2001	-0.48	0.0000			0.0000						
cologne1_fairness_heavy_presslight_dynamic_reward_shaping	SIM_TRAIN	16	44.6	0.1	-7.94	4.63	0.30	2001	-0.47	0.0000			0.0000						
cologne1_fairness_heavy_presslight_dynamic_reward_shaping	SIM_TRAIN	17	44.0	0.1	-7.47	4.31	0.30	2001	-0.49	0.0000			0.0000						
cologne1_fairness_heavy_presslight_dynamic_reward_shaping	SIM_TRAIN	18	45.3	0.1	-7.95	4.66	0.29	2001	-0.45	0.0000			0.0000						
cologne1_fairness_heavy_presslight_dynamic_reward_shaping	SIM_TRAIN	19	45.0	0.1	-7.56	4.38	0.29	2001	-0.48	0.0000			0.0000						
cologne1_fairness_heavy_presslight_dynamic_reward_shaping	SIM_TRAIN	20	43.8	0.1	-7.28	4.08	0.29	1999	-1.74	0.0000			350.0000						
cologne1_fairness_heavy_presslight_dynamic_reward_shaping	SIM_TRAIN	21	43.7	0.2	-7.30	4.15	0.30	2001	-1.77	0.0000			0.0000						
cologne1_fairness_heavy_presslight_dynamic_reward_shaping	SIM_TRAIN	22	43.6	0.3	-7.14	4.01	0.30	2001	-1.69	0.0000			0.0000						
cologne1_fairness_heavy_presslight_dynamic_reward_shaping	SIM_TRAIN	23	43.7	0.4	-7.34	4.16	0.29	2001	-1.68	0.0000			0.0000						
cologne1_fairness_heavy_presslight_dynamic_reward_shaping	SIM_TRAIN	24	44.9	0.4	-7.71	4.50	0.30	2001	-1.77	0.0000			0.0000						
