MORLGrid: 22 grid policies
SIM_TRAIN step:0, travel time:47.51715564395823, q_loss:0, rewards:-8.785554, queue:5.3638887, delay:0.3251373, throughput:1998, raw_metrics:{'fairness': 357.0}
SIM_TRAIN step:1, travel time:47.002486325211336, q_loss:0, rewards:-8.393056, queue:4.925, delay:0.31314647, throughput:1998, raw_metrics:{'fairness': 407.0}
SIM_TRAIN step:2, travel time:46.1178518150174, q_loss:282.9908, rewards:-8.4850025, queue:5.1694446, delay:0.32503164, throughput:1990, raw_metrics:{'fairness': 212.0}
SIM_TRAIN step:3, travel time:55.31178518150174, q_loss:32.971214, rewards:-12.822229, queue:8.425, delay:0.33734274, throughput:1998, raw_metrics:{'fairness': 371.0}
SIM_TRAIN step:4, travel time:45.28393833913476, q_loss:0.2650767, rewards:-7.9183335, queue:4.6833334, delay:0.2966782, throughput:2001, raw_metrics:{'fairness': 0.0}
SIM_TRAIN step:5, travel time:43.53727634194831, q_loss:0.14092307, rewards:-7.2969403, queue:4.2, delay:0.29358312, throughput:2001, raw_metrics:{'fairness': 0.0}
SIM_TRAIN step:6, travel time:43.77573346593734, q_loss:0.14083922, rewards:-7.5338902, queue:4.4555554, delay:0.30716783, throughput:2001, raw_metrics:{'fairness': 0.0}
SIM_TRAIN step:7, travel time:46.71904525111885, q_loss:0.12852004, rewards:-8.909167, queue:5.602778, delay:0.31664228, throughput:2001, raw_metrics:{'fairness': 0.0}
SIM_TRAIN step:8, travel time:46.16757831924416, q_loss:0.11472327, rewards:-8.905826, queue:5.5805554, delay:0.30926305, throughput:1999, raw_metrics:{'fairness': 388.0}
REAL_TRAIN step:1, travel time:61.25012406947891, q_loss:100, rewards:-23.181395, queue:13.75, delay:0.42624933, throughput:1997, R_real:-4.0625, components:{'queue': 0.086, 'delay': 0.0, 'waiting': 0.768, 'pressure': 0.0, 'switches': 0.0, 'fairness': 3.209}, raw_metrics:{'fairness': 254.0, 'emission': 236.055, 'fuel': 76.526, 'emergency_stops': 9.0, 'collisions': 50.0, 'ssm_conflicts': 1139.0}, grid;w=queue=0.167;delay=0.167;waiting=0.167;pressure=0.167;switches=0.167;fairness=0.167
SIM_TRAIN step:9, travel time:46.34940357852883, q_loss:0, rewards:-8.219447, queue:4.813889, delay:0.31426775, throughput:2001, raw_metrics:{'fairness': 0.0}
SIM_TRAIN step:10, travel time:47.732968672302334, q_loss:0, rewards:-8.939443, queue:5.388889, delay:0.31507584, throughput:2001, raw_metrics:{'fairness': 0.0}
SIM_TRAIN step:11, travel time:49.45748383888613, q_loss:263.5352, rewards:-9.9574995, queue:6.4694443, delay:0.32678688, throughput:1993, raw_metrics:{'fairness': 201.0}
SIM_TRAIN step:12, travel time:46.186878727634195, q_loss:28.07813, rewards:-8.81611, queue:5.3638887, delay:0.31950888, throughput:2002, raw_metrics:{'fairness': 0.0}
SIM_TRAIN step:13, travel time:64.51367478866236, q_loss:0.027483381, rewards:-14.922228, queue:11.094444, delay:0.38376445, throughput:1998, raw_metrics:{'fairness': 335.0}
SIM_TRAIN step:14, travel time:45.816509199403285, q_loss:0.0037162942, rewards:-7.9347215, queue:4.588889, delay:0.31548223, throughput:2000, raw_metrics:{'fairness': 330.0}
SIM_TRAIN step:15, travel time:45.64395822973645, q_loss:0.0032344372, rewards:-8.152222, queue:4.5972223, delay:0.30065018, throughput:2001, raw_metrics:{'fairness': 0.0}
SIM_TRAIN step:16, travel time:44.10536779324055, q_loss:0.003610636, rewards:-7.108056, queue:3.7777777, delay:0.29047972, throughput:2002, raw_metrics:{'fairness': 0.0}
SIM_TRAIN step:17, travel time:42.647439085032325, q_loss:0.0040059164, rewards:-6.666938, queue:3.4, delay:0.28205532, throughput:2001, raw_metrics:{'fairness': 328.0}
REAL_TRAIN step:2, travel time:61.56575682382134, q_loss:100, rewards:-22.55611, queue:12.747222, delay:0.45407423, throughput:1994, R_real:-4.4608, components:{'queue': 0.08, 'delay': 0.0, 'waiting': 0.463, 'pressure': 0.0, 'switches': 0.0, 'fairness': 3.918}, raw_metrics:{'fairness': 258.0, 'emission': 232.838, 'fuel': 75.483, 'emergency_stops': 11.0, 'collisions': 29.0, 'ssm_conflicts': 1366.0}, grid;w=queue=1.0
SIM_TRAIN step:18, travel time:46.78667329686723, q_loss:0, rewards:-8.610832, queue:5.138889, delay:0.31539473, throughput:1996, raw_metrics:{'fairness': 394.0}
SIM_TRAIN step:19, travel time:46.40009940357853, q_loss:0, rewards:-8.101946, queue:4.7611113, delay:0.31852752, throughput:2001, raw_metrics:{'fairness': 0.0}
SIM_TRAIN step:20, travel time:48.56340129288911, q_loss:280.0799, rewards:-9.591944, queue:6.213889, delay:0.31888768, throughput:1970, raw_metrics:{'fairness': 426.0}
SIM_TRAIN step:21, travel time:52.81054201889607, q_loss:31.56017, rewards:-11.435278, queue:7.436111, delay:0.33303976, throughput:1998, raw_metrics:{'fairness': 319.0}
SIM_TRAIN step:22, travel time:56.638985579313776, q_loss:0.09419258, rewards:-11.87278, queue:8.105556, delay:0.32156202, throughput:1994, raw_metrics:{'fairness': 0.0}
SIM_TRAIN step:23, travel time:57.014917951268025, q_loss:0.026046852, rewards:-11.638331, queue:7.7083335, delay:0.32178667, throughput:1994, raw_metrics:{'fairness': 323.0}
SIM_TRAIN step:24, travel time:47.51168572849328, q_loss:0.024524061, rewards:-8.639443, queue:5.022222, delay:0.29735643, throughput:2000, raw_metrics:{'fairness': 0.0}
SIM_TRAIN step:25, travel time:44.90154152163103, q_loss:0.022773603, rewards:-7.714442, queue:4.197222, delay:0.28600144, throughput:1999, raw_metrics:{'fairness': 0.0}
SIM_TRAIN step:26, travel time:43.97314768771756, q_loss:0.020324409, rewards:-7.3186083, queue:3.9333334, delay:0.28211877, throughput:2000, raw_metrics:{'fairness': 0.0}
