exp_name	mode	step	travel_time	loss	rewards	queue	delay	throughput	train_reward	R_real	components	detail	fairness	emission	fuel	emergency_stops	ssm_conflicts	collisions	phi_raw
cologne3_physical_safety_heavy_presslight_dynamic_reward_shaping	SIM_TRAIN	0	65.2	0.0	-7.21	3.07	0.17	2780	-0.72	0.0000			68.6667						
cologne3_physical_safety_heavy_presslight_dynamic_reward_shaping	SIM_TRAIN	1	57.2	0.0	-1.64	1.25	0.15	2787	-0.26	0.0000			0.0000						
cologne3_physical_safety_heavy_presslight_dynamic_reward_shaping	SIM_TRAIN	2	64.2	12.4	-7.55	3.22	0.18	2784	-0.75	0.0000			37.6667						
cologne3_physical_safety_heavy_presslight_dynamic_reward_shaping	SIM_TRAIN	3	68.2	3.2	-7.36	4.16	0.18	2782	-0.95	0.0000			24.3333						
cologne3_physical_safety_heavy_presslight_dynamic_reward_shaping	SIM_TRAIN	4	66.2	0.9	-8.37	3.48	0.20	2782	-0.74	0.0000			28.6667						
cologne3_physical_safety_heavy_presslight_dynamic_reward_shaping	SIM_TRAIN	5	63.0	0.7	-9.96	4.01	0.20	2783	-0.84	0.0000			23.6667						
cologne3_physical_safety_heavy_presslight_dynamic_reward_shaping	SIM_TRAIN	6	66.0	0.6	-8.63	3.52	0.20	2782	-0.70	0.0000			48.6667						
cologne3_physical_safety_heavy_presslight_dynamic_reward_shaping	SIM_TRAIN	7	70.6	0.6	-9.71	3.89	0.20	2785	-0.81	0.0000			37.3333						
cologne3_physical_safety_heavy_presslight_dynamic_reward_shaping	SIM_TRAIN	8	69.7	0.6	-8.40	4.43	0.22	2778	-0.81	0.0000			54.6667						
cologne3_physical_safety_heavy_presslight_dynamic_reward_shaping	SIM_TRAIN	9	60.3	0.6	-1.78	1.62	0.17	2782	-0.23	0.0000			50.6667						
cologne3_physical_safety_heavy_presslight_dynamic_reward_shaping	SIM_TRAIN	10	66.9	0.6	-11.50	4.46	0.21	2784	-0.91	0.0000			43.3333						
cologne3_physical_safety_heavy_presslight_dynamic_reward_shaping	SIM_TRAIN	11	69.1	0.6	-8.46	4.39	0.21	2785	-0.90	0.0000			31.3333						
cologne3_physical_safety_heavy_presslight_dynamic_reward_shaping	SIM_TRAIN	12	72.2	0.6	-13.07	5.04	0.21	2780	-1.02	0.0000			167.6667						
cologne3_physical_safety_heavy_presslight_dynamic_reward_shaping	SIM_TRAIN	13	72.8	0.6	-10.15	4.70	0.21	2784	-0.96	0.0000			42.3333						
cologne3_physical_safety_heavy_presslight_dynamic_reward_shaping	SIM_TRAIN	14	69.6	0.6	-11.07	4.37	0.20	2785	-0.89	0.0000			47.0000						
cologne3_physical_safety_heavy_presslight_dynamic_reward_shaping	SIM_TRAIN	15	69.8	0.6	-11.55	4.51	0.21	2786	-0.95	0.0000			68.3333						
cologne3_physical_safety_heavy_presslight_dynamic_reward_shaping	SIM_TRAIN	16	65.0	0.6	-7.13	3.78	0.20	2776	-0.72	0.0000			61.0000						
cologne3_physical_safety_heavy_presslight_dynamic_reward_shaping	SIM_TRAIN	17	66.7	0.7	-9.03	3.68	0.20	2780	-0.69	0.0000			69.6667						
cologne3_physical_safety_heavy_presslight_dynamic_reward_shaping	SIM_TRAIN	18	71.2	0.6	-7.88	4.16	0.20	2783	-0.86	0.0000			53.6667						
cologne3_physical_safety_heavy_presslight_dynamic_reward_shaping	SIM_TRAIN	19	58.6	0.6	-2.71	1.59	0.18	2786	-0.22	0.0000			0.0000						
cologne3_physical_safety_heavy_presslight_dynamic_reward_shaping	SIM_TRAIN	20	69.2	0.6	-6.31	3.57	0.20	2784	-2.79	0.0000			38.3333						
cologne3_physical_safety_heavy_presslight_dynamic_reward_shaping	SIM_TRAIN	21	67.6	1.3	-9.89	3.97	0.20	2783	-3.41	0.0000			33.0000						
cologne3_physical_safety_heavy_presslight_dynamic_reward_shaping	SIM_TRAIN	22	63.8	2.6	-10.48	4.17	0.21	2783	-3.35	0.0000			201.6667						
