MORLGrid: 16 grid policies
SIM_TRAIN step:0, travel time:64.22428571428571, q_loss:0, rewards:-9.452221, queue:3.8583333, delay:0.17825423, throughput:2779, raw_metrics:{'fairness': 61.333}
SIM_TRAIN step:1, travel time:56.01642857142857, q_loss:0, rewards:-1.3441665, queue:1.1925926, delay:0.14222361, throughput:2782, raw_metrics:{'fairness': 0.0}
SIM_TRAIN step:2, travel time:64.43607142857142, q_loss:11.83372, rewards:-6.9883337, queue:3.000926, delay:0.1743214, throughput:2783, raw_metrics:{'fairness': 64.667}
SIM_TRAIN step:3, travel time:65.18714285714286, q_loss:3.225072, rewards:-6.3808355, queue:3.6805556, delay:0.17405988, throughput:2781, raw_metrics:{'fairness': 26.0}
SIM_TRAIN step:4, travel time:63.93038200642628, q_loss:0.963273, rewards:-7.341111, queue:3.1203704, delay:0.17967744, throughput:2782, raw_metrics:{'fairness': 40.667}
SIM_TRAIN step:5, travel time:64.80071428571429, q_loss:0.63212204, rewards:-8.481946, queue:3.4583333, delay:0.2023691, throughput:2783, raw_metrics:{'fairness': 37.0}
SIM_TRAIN step:6, travel time:68.34142857142857, q_loss:0.55201095, rewards:-7.094167, queue:3.737963, delay:0.21067533, throughput:2762, raw_metrics:{'fairness': 50.333}
SIM_TRAIN step:7, travel time:66.53928571428571, q_loss:0.51481247, rewards:-9.523612, queue:3.8222222, delay:0.20013522, throughput:2781, raw_metrics:{'fairness': 59.333}
SIM_TRAIN step:8, travel time:62.3975, q_loss:0.49725196, rewards:-8.633058, queue:3.5481482, delay:0.20111603, throughput:2782, raw_metrics:{'fairness': 161.333}
REAL_TRAIN step:1, travel time:100.95926966292134, q_loss:100, rewards:-33.622227, queue:9.01574, delay:0.39432788, throughput:2721, R_real:-0.6939, components:{'queue': 0.253, 'delay': 0.0, 'waiting': 0.0, 'pressure': 0.0, 'switches': 0.0, 'ssm_conflicts': 0.441, 'collisions': 0.0}, raw_metrics:{'fairness': 9.0, 'emission': 300.15, 'fuel': 97.306, 'emergency_stops': 3.0, 'collisions': 0.0, 'ssm_conflicts': 793.0}, grid;w=queue=0.2;delay=0.2;waiting=0.2;pressure=0.2;switches=0.2
SIM_TRAIN step:9, travel time:63.287397358086395, q_loss:0, rewards:-6.456945, queue:2.8453703, delay:0.15915671, throughput:2791, raw_metrics:{'fairness': 0.0}
SIM_TRAIN step:10, travel time:56.96178571428572, q_loss:0, rewards:-0.5024994, queue:0.88796294, delay:0.13916287, throughput:2790, raw_metrics:{'fairness': 0.0}
SIM_TRAIN step:11, travel time:63.53642857142857, q_loss:11.270025, rewards:-6.957221, queue:3.0472221, delay:0.17113122, throughput:2785, raw_metrics:{'fairness': 34.333}
SIM_TRAIN step:12, travel time:67.65285714285714, q_loss:2.1838384, rewards:-9.215276, queue:3.7703705, delay:0.1856168, throughput:2784, raw_metrics:{'fairness': 40.333}
SIM_TRAIN step:13, travel time:58.22134951802928, q_loss:0.14881046, rewards:-1.6375014, queue:1.9601852, delay:0.17034522, throughput:2782, raw_metrics:{'fairness': 0.0}
SIM_TRAIN step:14, travel time:67.80142857142857, q_loss:0.045545563, rewards:-9.473057, queue:3.8083334, delay:0.19238517, throughput:2784, raw_metrics:{'fairness': 40.0}
SIM_TRAIN step:15, travel time:59.93142857142857, q_loss:0.025258675, rewards:-2.176944, queue:1.4277778, delay:0.16257459, throughput:2784, raw_metrics:{'fairness': 26.0}
SIM_TRAIN step:16, travel time:65.86647625847911, q_loss:0.017845785, rewards:-8.073059, queue:3.3694444, delay:0.19095904, throughput:2785, raw_metrics:{'fairness': 55.667}
SIM_TRAIN step:17, travel time:68.84857142857143, q_loss:0.020102296, rewards:-4.752222, queue:3.2638888, delay:0.19248773, throughput:2768, raw_metrics:{'fairness': 162.333}
REAL_TRAIN step:2, travel time:182.96307023895727, q_loss:100, rewards:-68.15195, queue:20.75463, delay:0.50245893, throughput:2556, R_real:-1.0739, components:{'queue': 0.649, 'delay': 0.0, 'waiting': 0.0, 'pressure': 0.0, 'switches': 0.0, 'ssm_conflicts': 0.424, 'collisions': 0.0}, raw_metrics:{'fairness': 39.0, 'emission': 493.514, 'fuel': 159.993, 'emergency_stops': 5.0, 'collisions': 1.0, 'ssm_conflicts': 764.0}, grid;w=queue=1.0
SIM_TRAIN step:18, travel time:60.06497679400214, q_loss:0, rewards:-7.6838894, queue:3.2814815, delay:0.17490898, throughput:2782, raw_metrics:{'fairness': 38.0}
SIM_TRAIN step:19, travel time:65.7547304534095, q_loss:0, rewards:-3.9233336, queue:2.7907407, delay:0.16749242, throughput:2787, raw_metrics:{'fairness': 41.667}
SIM_TRAIN step:20, travel time:66.08928571428571, q_loss:13.379137, rewards:-4.4266677, queue:2.9240742, delay:0.17274778, throughput:2784, raw_metrics:{'fairness': 37.333}
SIM_TRAIN step:21, travel time:67.8675, q_loss:2.8031468, rewards:-6.755835, queue:4.008333, delay:0.1775954, throughput:2782, raw_metrics:{'fairness': 36.0}
SIM_TRAIN step:22, travel time:62.91684511063526, q_loss:0.2916881, rewards:-9.454725, queue:3.8592594, delay:0.17139938, throughput:2783, raw_metrics:{'fairness': 25.0}
SIM_TRAIN step:23, travel time:114.30464285714285, q_loss:0.108034186, rewards:-21.72, queue:7.8416667, delay:0.22345649, throughput:2777, raw_metrics:{'fairness': 39.333}
SIM_TRAIN step:24, travel time:57.6347732952517, q_loss:0.06497051, rewards:-2.012499, queue:1.3592592, delay:0.15262513, throughput:2783, raw_metrics:{'fairness': 0.0}
SIM_TRAIN step:25, travel time:64.2125, q_loss:0.056508638, rewards:-9.364165, queue:3.8064816, delay:0.1742468, throughput:2786, raw_metrics:{'fairness': 0.0}
SIM_TRAIN step:26, travel time:63.4275, q_loss:0.04732828, rewards:-4.4908338, queue:3.1416667, delay:0.17284131, throughput:2784, raw_metrics:{'fairness': 25.333}
REAL_TRAIN step:3, travel time:749.3410271206001, q_loss:100, rewards:-146.97195, queue:51.533333, delay:0.7670942, throughput:1118, R_real:-1.6944, components:{'queue': 1.451, 'delay': 0.0, 'waiting': 0.0, 'pressure': 0.0, 'switches': 0.0, 'ssm_conflicts': 0.243, 'collisions': 0.0}, raw_metrics:{'fairness': 81.0, 'emission': 1031.839, 'fuel': 334.516, 'emergency_stops': 2.0, 'collisions': 0.0, 'ssm_conflicts': 438.0}, grid;w=delay=1.0
SIM_TRAIN step:27, travel time:63.66428571428571, q_loss:0, rewards:-6.5236125, queue:2.8842592, delay:0.16883299, throughput:2785, raw_metrics:{'fairness': 51.667}
SIM_TRAIN step:28, travel time:62.50535714285714, q_loss:0, rewards:-5.702778, queue:2.6175926, delay:0.16343898, throughput:2791, raw_metrics:{'fairness': 0.0}
SIM_TRAIN step:29, travel time:55.1325, q_loss:15.423422, rewards:-0.18527713, queue:0.78518516, delay:0.13049054, throughput:2791, raw_metrics:{'fairness': 0.0}
SIM_TRAIN step:30, travel time:65.23920028561228, q_loss:9.000819, rewards:-6.871389, queue:3.7407408, delay:0.17211364, throughput:2784, raw_metrics:{'fairness': 26.667}
SIM_TRAIN step:31, travel time:57.74928571428571, q_loss:8.979525, rewards:-0.15000033, queue:1.687963, delay:0.15644656, throughput:2768, raw_metrics:{'fairness': 9.0}
SIM_TRAIN step:32, travel time:64.32107142857143, q_loss:8.600094, rewards:-10.115557, queue:4.07037, delay:0.18242052, throughput:2781, raw_metrics:{'fairness': 30.333}
SIM_TRAIN step:33, travel time:76.76821428571428, q_loss:9.420493, rewards:-10.040554, queue:4.5944443, delay:0.19412929, throughput:2760, raw_metrics:{'fairness': 47.667}
SIM_TRAIN step:34, travel time:69.34951802927526, q_loss:11.001031, rewards:-8.184999, queue:4.2805557, delay:0.18404232, throughput:2782, raw_metrics:{'fairness': 24.333}
SIM_TRAIN step:35, travel time:66.29203855765797, q_loss:11.849672, rewards:-10.358056, queue:4.1064816, delay:0.19223417, throughput:2789, raw_metrics:{'fairness': 37.333}
REAL_TRAIN step:4, travel time:85.5577731092437, q_loss:100, rewards:-22.383614, queue:5.0111113, delay:0.33192948, throughput:2806, R_real:-0.5608, components:{'queue': 0.137, 'delay': 0.0, 'waiting': 0.0, 'pressure': 0.0, 'switches': 0.0, 'ssm_conflicts': 0.423, 'collisions': 0.0}, raw_metrics:{'fairness': 0.0, 'emission': 240.128, 'fuel': 77.847, 'emergency_stops': 7.0, 'collisions': 1.0, 'ssm_conflicts': 762.0}, grid;w=waiting=1.0
SIM_TRAIN step:36, travel time:64.78186362013567, q_loss:0, rewards:-7.7819424, queue:3.2777777, delay:0.17041224, throughput:2783, raw_metrics:{'fairness': 53.333}
SIM_TRAIN step:37, travel time:68.80828275615852, q_loss:0, rewards:-6.316112, queue:3.4861112, delay:0.16902407, throughput:2783, raw_metrics:{'fairness': 59.667}
SIM_TRAIN step:38, travel time:67.14071428571428, q_loss:13.997144, rewards:-6.003889, queue:3.3379629, delay:0.17431217, throughput:2783, raw_metrics:{'fairness': 46.0}
SIM_TRAIN step:39, travel time:67.93035714285715, q_loss:2.989554, rewards:-9.384999, queue:3.8185184, delay:0.18449332, throughput:2781, raw_metrics:{'fairness': 31.667}
SIM_TRAIN step:40, travel time:67.24678571428572, q_loss:0.4394993, rewards:-6.7630563, queue:3.9148147, delay:0.1828581, throughput:2779, raw_metrics:{'fairness': 34.333}
SIM_TRAIN step:41, travel time:64.05892857142857, q_loss:0.22657867, rewards:-6.8605556, queue:2.9212964, delay:0.18339114, throughput:2772, raw_metrics:{'fairness': 173.333}
SIM_TRAIN step:42, travel time:59.01284796573876, q_loss:0.18483172, rewards:-6.4880548, queue:2.848148, delay:0.17860658, throughput:2780, raw_metrics:{'fairness': 147.333}
SIM_TRAIN step:43, travel time:64.02035714285714, q_loss:0.16154656, rewards:-10.046392, queue:4.012037, delay:0.19480026, throughput:2780, raw_metrics:{'fairness': 168.0}
SIM_TRAIN step:44, travel time:63.816428571428574, q_loss:0.14680614, rewards:-9.830833, queue:3.9157407, delay:0.18966965, throughput:2782, raw_metrics:{'fairness': 21.667}
REAL_TRAIN step:5, travel time:359.20315161839864, q_loss:100, rewards:-97.91332, queue:32.622223, delay:0.60762805, throughput:1874, R_real:-1.2944, components:{'queue': 0.937, 'delay': 0.0, 'waiting': 0.0, 'pressure': 0.0, 'switches': 0.0, 'ssm_conflicts': 0.357, 'collisions': 0.0}, raw_metrics:{'fairness': 96.0, 'emission': 734.494, 'fuel': 238.118, 'emergency_stops': 2.0, 'collisions': 1.0, 'ssm_conflicts': 643.0}, grid;w=pressure=1.0
SIM_TRAIN step:45, travel time:57.145357142857144, q_loss:0, rewards:-0.5166658, queue:0.8851852, delay:0.13511774, throughput:2790, raw_metrics:{'fairness': 0.0}
SIM_TRAIN step:46, travel time:62.17386647625848, q_loss:0, rewards:-6.2125025, queue:2.7777777, delay:0.15975398, throughput:2790, raw_metrics:{'fairness': 0.0}
SIM_TRAIN step:47, travel time:66.42428571428572, q_loss:12.467605, rewards:-5.989722, queue:3.2712963, delay:0.17571968, throughput:2781, raw_metrics:{'fairness': 48.333}
SIM_TRAIN step:48, travel time:63.737857142857145, q_loss:2.5888758, rewards:-7.0024996, queue:3.0342593, delay:0.17109612, throughput:2786, raw_metrics:{'fairness': 42.0}
SIM_TRAIN step:49, travel time:64.80292752588362, q_loss:0.41245586, rewards:-8.279446, queue:3.475926, delay:0.19611268, throughput:2782, raw_metrics:{'fairness': 33.0}
