exp_name	mode	step	travel_time	loss	rewards	queue	delay	throughput	train_reward	R_real	components	detail	fairness	emission	fuel	emergency_stops	ssm_conflicts	collisions	phi_raw
hz1x1_emission_heavy_presslight_reward_oracle	REAL_TRAIN	0	714.3	0.0	-170.88	164.33	0.68	705	-7.63	0.0000			39.0000	986.0280	319.6642	0.0000	378.0000	0.0000	
hz1x1_emission_heavy_presslight_reward_oracle	REAL_TRAIN	1	742.2	0.0	-170.23	163.85	0.73	672	-7.59	0.0000			8.0000	979.4705	317.5383	1.0000	341.0000	4.0000	
hz1x1_emission_heavy_presslight_reward_oracle	REAL_TRAIN	2	536.9	1.2	-169.01	159.61	0.70	949	-7.57	0.0000			451.0000	995.1396	322.6177	1.0000	640.0000	3.0000	
hz1x1_emission_heavy_presslight_reward_oracle	REAL_TEST	2	730.3	100.0	-195.13	187.84	0.80	708		-8.7267	queue=1.174;delay=0.0;waiting=0.0;pressure=0.0;switches=0.0;emission=7.5526		396.0000	1123.2808	364.1608	0.0000	364.0000	0.0000	queue=23.4802;delay=0.797;waiting=32709.6833;pressure=195.525;switches=0.0278;emission=37.7632
hz1x1_emission_heavy_presslight_reward_oracle	REAL_TRAIN	3	325.6	0.5	-152.98	138.29	0.73	1672	-6.95	0.0000			272.0000	963.0403	312.2099	2.0000	1565.0000	5.0000	
hz1x1_emission_heavy_presslight_reward_oracle	REAL_TRAIN	4	166.9	0.7	-76.60	60.00	0.71	1919	-3.63	0.0000			174.0000	569.0260	184.4728	2.0000	1772.0000	18.0000	
hz1x1_emission_heavy_presslight_reward_oracle	REAL_TEST	4	696.5	100.0	-215.59	207.33	0.81	784		-9.6465	queue=1.2958;delay=0.0;waiting=0.0;pressure=0.0;switches=0.0;emission=8.3507		256.0000	1241.8385	402.5964	0.0000	519.0000	0.0000	queue=25.9167;delay=0.8129;waiting=31369.741;pressure=216.0278;switches=0.0667;emission=41.7534
hz1x1_emission_heavy_presslight_reward_oracle	REAL_TRAIN	5	198.0	0.8	-94.64	77.97	0.69	1852	-4.42	0.0000			154.0000	663.1171	214.9768	5.0000	1575.0000	11.0000	
hz1x1_emission_heavy_presslight_reward_oracle	REAL_TRAIN	6	160.4	0.8	-72.79	56.03	0.71	1927	-3.45	0.0000			161.0000	548.1600	177.7081	3.0000	1741.0000	18.0000	
hz1x1_emission_heavy_presslight_reward_oracle	REAL_TEST	6	110.9	100.0	-45.37	28.01	0.59	1906		-2.2208	queue=0.1751;delay=0.0;waiting=0.0;pressure=0.0;switches=0.0;emission=2.0457		175.0000	393.6810	127.6272	1.0000	1322.0000	18.0000	queue=3.5017;delay=0.5936;waiting=408.9003;pressure=45.3889;switches=0.4056;emission=10.2285
hz1x1_emission_heavy_presslight_reward_oracle	REAL_TRAIN	7	146.9	0.7	-65.21	48.24	0.69	1933	-3.12	0.0000			171.0000	507.1816	164.4233	3.0000	1536.0000	11.0000	
hz1x1_emission_heavy_presslight_reward_oracle	REAL_TRAIN	8	135.3	0.7	-58.53	41.31	0.68	1960	-2.82	0.0000			159.0000	470.8648	152.6497	3.0000	1479.0000	20.0000	
hz1x1_emission_heavy_presslight_reward_oracle	REAL_TEST	8	240.5	100.0	-106.31	92.06	0.72	1582		-4.9018	queue=0.5754;delay=0.0;waiting=0.0;pressure=0.0;switches=0.0;emission=4.3265		112.0000	704.7100	228.4613	3.0000	1163.0000	26.0000	queue=11.5076;delay=0.7226;waiting=3354.2288;pressure=106.5222;switches=0.2111;emission=21.6323
hz1x1_emission_heavy_presslight_reward_oracle	REAL_TRAIN	9	121.1	0.7	-50.63	33.10	0.67	1950	-2.46	0.0000			158.0000	426.0989	138.1369	1.0000	1414.0000	21.0000	
hz1x1_emission_heavy_presslight_reward_oracle	REAL_TRAIN	10	115.2	0.6	-47.31	29.76	0.67	1951	-2.31	0.0000			153.0000	407.9513	132.2535	3.0000	1453.0000	16.0000	
hz1x1_emission_heavy_presslight_reward_oracle	REAL_TEST	10	324.5	100.0	-149.41	136.60	0.70	1596		-6.8389	queue=0.8538;delay=0.0;waiting=0.0;pressure=0.0;switches=0.0;emission=5.9851		280.0000	944.5277	306.2087	4.0000	1324.0000	1.0000	queue=17.0753;delay=0.7012;waiting=11340.9806;pressure=149.5722;switches=0.3556;emission=29.9256
hz1x1_emission_heavy_presslight_reward_oracle	REAL_TRAIN	11	127.5	0.6	-54.26	36.98	0.64	1951	-2.63	0.0000			155.0000	446.4786	144.7438	2.0000	1457.0000	18.0000	
hz1x1_emission_heavy_presslight_reward_oracle	REAL_TRAIN	12	124.5	0.6	-52.60	35.07	0.67	1945	-2.55	0.0000			146.0000	436.9747	141.6628	4.0000	1412.0000	15.0000	
hz1x1_emission_heavy_presslight_reward_oracle	REAL_TEST	12	382.8	100.0	-176.04	165.07	0.80	1533		-8.0444	queue=1.0317;delay=0.0;waiting=0.0;pressure=0.0;switches=0.0;emission=7.0128		29.0000	1089.8509	353.3212	2.0000	1649.0000	9.0000	queue=20.6333;delay=0.7963;waiting=6633.0444;pressure=176.2278;switches=0.2583;emission=35.0638
hz1x1_emission_heavy_presslight_reward_oracle	REAL_TRAIN	13	117.4	0.6	-48.50	31.01	0.63	1952	-2.37	0.0000			161.0000	415.1433	134.5851	3.0000	1418.0000	12.0000	
