exp_name	mode	step	travel_time	loss	rewards	queue	delay	throughput	train_reward	R_real	components	detail	fairness	emission	fuel	emergency_stops	ssm_conflicts	collisions	phi_raw
hz4x4_efficiency_aligned_presslight_dynamic_reward_shaping	SIM_TRAIN	0	359.0	0.0	-33.75	2.08	0.11	2927	-0.28	0.0000			60.6875						
hz4x4_efficiency_aligned_presslight_dynamic_reward_shaping	SIM_TRAIN	1	357.5	0.0	-33.18	2.02	0.11	2923	-0.28	0.0000			28.6875						
hz4x4_efficiency_aligned_presslight_dynamic_reward_shaping	SIM_TRAIN	2	359.8	12.0	-32.61	2.17	0.11	2924	-0.28	0.0000			90.6250						
hz4x4_efficiency_aligned_presslight_dynamic_reward_shaping	SIM_TRAIN	3	426.4	4.2	-52.13	4.97	0.15	2902	-0.39	0.0000			116.8125						
hz4x4_efficiency_aligned_presslight_dynamic_reward_shaping	SIM_TRAIN	4	511.8	1.0	-124.17	8.07	0.15	2763	-0.57	0.0000			103.3125						
hz4x4_efficiency_aligned_presslight_dynamic_reward_shaping	SIM_TRAIN	5	689.2	0.5	-146.68	10.54	0.16	2618	-0.74	0.0000			72.3750						
hz4x4_efficiency_aligned_presslight_dynamic_reward_shaping	SIM_TRAIN	6	455.7	0.3	-66.18	5.24	0.15	2897	-0.39	0.0000			98.9375						
hz4x4_efficiency_aligned_presslight_dynamic_reward_shaping	SIM_TRAIN	7	473.8	0.2	-79.50	5.96	0.16	2888	-0.41	0.0000			90.6250						
hz4x4_efficiency_aligned_presslight_dynamic_reward_shaping	SIM_TRAIN	8	685.6	0.2	-148.09	12.70	0.15	2428	-1.93	0.0000			104.0625						
hz4x4_efficiency_aligned_presslight_dynamic_reward_shaping	SIM_TRAIN	9	563.5	0.4	-119.75	9.96	0.17	2745	-0.74	0.0000			113.6875						
hz4x4_efficiency_aligned_presslight_dynamic_reward_shaping	SIM_TRAIN	10	525.5	0.3	-91.39	6.15	0.15	2800	-0.44	0.0000			62.6875						
hz4x4_efficiency_aligned_presslight_dynamic_reward_shaping	SIM_TRAIN	11	453.0	0.3	-78.07	4.60	0.14	2876	-0.36	0.0000			104.3125						
hz4x4_efficiency_aligned_presslight_dynamic_reward_shaping	SIM_TRAIN	12	445.4	0.2	-68.80	4.72	0.15	2920	-0.36	0.0000			128.6875						
hz4x4_efficiency_aligned_presslight_dynamic_reward_shaping	SIM_TRAIN	13	440.6	0.2	-57.52	5.39	0.16	2888	-0.39	0.0000			70.5000						
hz4x4_efficiency_aligned_presslight_dynamic_reward_shaping	SIM_TRAIN	14	428.1	0.2	-49.12	4.79	0.16	2917	-0.33	0.0000			116.5000						
hz4x4_efficiency_aligned_presslight_dynamic_reward_shaping	SIM_TRAIN	15	442.9	0.2	-49.81	5.45	0.16	2882	-0.36	0.0000			109.4375						
hz4x4_efficiency_aligned_presslight_dynamic_reward_shaping	SIM_TRAIN	16	442.6	0.2	-50.52	5.72	0.16	2878	-0.37	0.0000			76.3125						
hz4x4_efficiency_aligned_presslight_dynamic_reward_shaping	SIM_TRAIN	17	440.9	0.1	-68.34	5.62	0.16	2843	-0.39	0.0000			112.7500						
hz4x4_efficiency_aligned_presslight_dynamic_reward_shaping	SIM_TRAIN	18	531.9	0.1	-73.02	10.37	0.17	2854	-0.76	0.0000			153.8750						
hz4x4_efficiency_aligned_presslight_dynamic_reward_shaping	SIM_TRAIN	19	593.1	0.1	-93.36	9.55	0.18	2821	-0.59	0.0000			110.1875						
hz4x4_efficiency_aligned_presslight_dynamic_reward_shaping	SIM_TRAIN	20	412.5	0.1	-48.09	4.40	0.16	2903	-1.33	0.0000			123.8750						
hz4x4_efficiency_aligned_presslight_dynamic_reward_shaping	SIM_TRAIN	21	440.6	0.2	-56.60	5.72	0.17	2861	-1.55	0.0000			135.1875						
hz4x4_efficiency_aligned_presslight_dynamic_reward_shaping	SIM_TRAIN	22	431.2	0.2	-51.56	5.07	0.16	2887	-1.50	0.0000			117.3750						
hz4x4_efficiency_aligned_presslight_dynamic_reward_shaping	SIM_TRAIN	23	472.2	0.2	-84.95	5.85	0.16	2827	-1.46	0.0000			145.9375						
hz4x4_efficiency_aligned_presslight_dynamic_reward_shaping	SIM_TRAIN	24	443.6	0.2	-51.26	5.70	0.16	2921	-1.43	0.0000			131.3125						
hz4x4_efficiency_aligned_presslight_dynamic_reward_shaping	SIM_TRAIN	25	411.6	0.3	-40.13	4.64	0.15	2912	-1.17	0.0000			55.7500						
hz4x4_efficiency_aligned_presslight_dynamic_reward_shaping	REAL_TRAIN	1	629.8	100.0	-154.85	19.52	0.22	2359		-69.7400	queue=2.6033;delay=3.4413;waiting=63.6954;pressure=0.0;switches=0.0	init;w=queue=0.593;delay=0.844;waiting=0.858;pressure=0.847;switches=0.624	151.3750	2989.6257	969.2119	55.0000	1982.0000	15.0000	queue=26.0329;delay=3.4413;waiting=12739.0799;pressure=205.0083;switches=6.3111
hz4x4_efficiency_aligned_presslight_dynamic_reward_shaping	SIM_TRAIN	26	453.7	0.2	-42.17	6.66	0.17	2912	-0.53	0.0000			97.8125						
hz4x4_efficiency_aligned_presslight_dynamic_reward_shaping	SIM_TRAIN	27	490.4	0.3	-47.31	8.12	0.18	2923	-0.54	0.0000			61.8750						
hz4x4_efficiency_aligned_presslight_dynamic_reward_shaping	SIM_TRAIN	28	459.0	0.3	-44.23	6.79	0.17	2905	-0.50	0.0000			103.8750						
hz4x4_efficiency_aligned_presslight_dynamic_reward_shaping	SIM_TRAIN	29	485.8	0.3	-65.74	7.45	0.17	2904	-0.55	0.0000			96.5000						
hz4x4_efficiency_aligned_presslight_dynamic_reward_shaping	SIM_TRAIN	30	494.0	0.3	-60.04	8.48	0.18	2879	-0.55	0.0000			147.3750						
hz4x4_efficiency_aligned_presslight_dynamic_reward_shaping	SIM_TRAIN	31	479.3	0.2	-70.58	6.81	0.18	2885	-0.51	0.0000			113.5625						
hz4x4_efficiency_aligned_presslight_dynamic_reward_shaping	REAL_TRAIN	2	611.7	100.0	-107.61	18.46	0.23	2327		-56.5036	queue=2.461;delay=3.7063;waiting=50.3362;pressure=0.0;switches=0.0	init;w=queue=0.384;delay=0.298;waiting=0.057;pressure=0.273;switches=0.478	143.4375	2906.5736	942.2872	44.0000	1897.0000	14.0000	queue=24.6102;delay=3.7063;waiting=10067.2461;pressure=196.4306;switches=5.5028
hz4x4_efficiency_aligned_presslight_dynamic_reward_shaping	SIM_TRAIN	32	524.6	0.2	-50.41	10.15	0.19	2894	-1.47	0.0000			124.1250						
hz4x4_efficiency_aligned_presslight_dynamic_reward_shaping	SIM_TRAIN	33	460.0	0.3	-53.23	6.00	0.17	2913	-1.00	0.0000			116.2500						
hz4x4_efficiency_aligned_presslight_dynamic_reward_shaping	SIM_TRAIN	34	458.0	0.3	-43.51	7.13	0.17	2904	-1.12	0.0000			119.1250						
hz4x4_efficiency_aligned_presslight_dynamic_reward_shaping	SIM_TRAIN	35	447.4	0.3	-41.85	6.47	0.17	2902	-1.14	0.0000			117.5625						
hz4x4_efficiency_aligned_presslight_dynamic_reward_shaping	SIM_TRAIN	36	483.8	0.3	-81.59	6.65	0.17	2841	-1.25	0.0000			104.0625						
hz4x4_efficiency_aligned_presslight_dynamic_reward_shaping	SIM_TRAIN	37	430.6	0.3	-52.63	5.26	0.16	2886	-0.96	0.0000			58.6250						
hz4x4_efficiency_aligned_presslight_dynamic_reward_shaping	REAL_TRAIN	3	582.6	100.0	-123.30	17.06	0.22	2283		-48.8968	queue=2.2745;delay=3.5746;waiting=43.0478;pressure=0.0;switches=0.0	init;w=queue=0.812;delay=0.48;waiting=0.393;pressure=0.836;switches=0.337	176.1875	2771.9892	898.6557	55.0000	1877.0000	11.0000	queue=22.7447;delay=3.5746;waiting=8609.5539;pressure=202.6472;switches=5.95
hz4x4_efficiency_aligned_presslight_dynamic_reward_shaping	SIM_TRAIN	38	512.2	0.2	-91.33	6.00	0.17	2817	-1.23	0.0000			102.2500						
hz4x4_efficiency_aligned_presslight_dynamic_reward_shaping	SIM_TRAIN	39	439.3	0.2	-59.88	5.69	0.17	2909	-1.04	0.0000			115.4375						
hz4x4_efficiency_aligned_presslight_dynamic_reward_shaping	SIM_TRAIN	40	499.3	0.2	-76.64	6.95	0.17	2902	-1.13	0.0000			136.1875						
hz4x4_efficiency_aligned_presslight_dynamic_reward_shaping	SIM_TRAIN	41	432.4	0.2	-56.76	4.83	0.16	2919	-0.93	0.0000			84.0000						
hz4x4_efficiency_aligned_presslight_dynamic_reward_shaping	SIM_TRAIN	42	449.1	0.2	-73.29	4.87	0.15	2860	-0.95	0.0000			136.0000						
hz4x4_efficiency_aligned_presslight_dynamic_reward_shaping	SIM_TRAIN	43	407.2	0.2	-53.59	3.92	0.16	2892	-0.72	0.0000			142.1250						
hz4x4_efficiency_aligned_presslight_dynamic_reward_shaping	REAL_TRAIN	4	449.2	100.0	-99.37	9.05	0.20	2561		-15.6265	queue=1.2067;delay=3.1221;waiting=11.2978;pressure=0.0;switches=0.0	init;w=queue=0.648;delay=0.368;waiting=0.957;pressure=0.14;switches=0.87	134.6250	2172.1616	704.1946	53.0000	1923.0000	10.0000	queue=12.0667;delay=3.1221;waiting=2259.556;pressure=140.1722;switches=6.4306
hz4x4_efficiency_aligned_presslight_dynamic_reward_shaping	SIM_TRAIN	44	433.0	0.2	-58.47	4.76	0.16	2888	-1.10	0.0000			113.0625						
hz4x4_efficiency_aligned_presslight_dynamic_reward_shaping	SIM_TRAIN	45	417.2	0.3	-55.64	4.06	0.16	2884	-1.04	0.0000			93.6250						
hz4x4_efficiency_aligned_presslight_dynamic_reward_shaping	SIM_TRAIN	46	401.3	0.3	-48.13	3.74	0.15	2918	-0.97	0.0000			85.8125						
hz4x4_efficiency_aligned_presslight_dynamic_reward_shaping	SIM_TRAIN	47	398.6	0.2	-45.48	3.76	0.15	2914	-0.92	0.0000			86.6875						
hz4x4_efficiency_aligned_presslight_dynamic_reward_shaping	SIM_TRAIN	48	402.2	0.2	-49.94	3.93	0.15	2909	-0.93	0.0000			29.3125						
hz4x4_efficiency_aligned_presslight_dynamic_reward_shaping	SIM_TRAIN	49	410.3	0.2	-54.27	4.07	0.15	2897	-0.93	0.0000			153.3750						
hz4x4_efficiency_aligned_presslight_dynamic_reward_shaping	REAL_TRAIN	5	465.4	100.0	-100.26	10.04	0.20	2550		-20.5869	queue=1.3393;delay=3.1443;waiting=16.1033;pressure=0.0;switches=0.0	init;w=queue=0.474;delay=0.801;waiting=0.52;pressure=0.679;switches=0.721	103.8750	2248.3737	728.9020	63.0000	1977.0000	22.0000	queue=13.3933;delay=3.1443;waiting=3220.6537;pressure=163.2028;switches=6.0028
hz4x4_efficiency_aligned_presslight_dynamic_reward_shaping	SIM_TRAIN	50	514.2	0.2	-53.07	9.05	0.19	2873	-1.57	0.0000			116.3125						
hz4x4_efficiency_aligned_presslight_dynamic_reward_shaping	SIM_TRAIN	51	462.8	0.2	-72.19	5.41	0.16	2843	-0.66	0.0000			128.9375						
