exp_name	mode	step	travel_time	loss	rewards	queue	delay	throughput	train_reward	R_real	components	detail	fairness	emission	fuel	emergency_stops	ssm_conflicts	collisions	phi_raw
hz4x4_emission_heavy_presslight_dynamic_reward_shaping	SIM_TRAIN	0	359.0	0.0	-33.75	2.08	0.11	2927	-0.28	0.0000			60.6875						
hz4x4_emission_heavy_presslight_dynamic_reward_shaping	SIM_TRAIN	1	356.0	0.0	-32.42	2.01	0.11	2925	-0.28	0.0000			64.1875						
hz4x4_emission_heavy_presslight_dynamic_reward_shaping	SIM_TRAIN	2	359.6	11.9	-32.51	2.15	0.11	2929	-0.29	0.0000			33.1250						
hz4x4_emission_heavy_presslight_dynamic_reward_shaping	SIM_TRAIN	3	424.3	4.1	-51.09	5.05	0.14	2904	-0.41	0.0000			64.0625						
hz4x4_emission_heavy_presslight_dynamic_reward_shaping	SIM_TRAIN	4	577.9	1.2	-139.68	11.11	0.16	2664	-0.80	0.0000			129.4375						
hz4x4_emission_heavy_presslight_dynamic_reward_shaping	SIM_TRAIN	5	816.4	0.8	-205.01	16.50	0.16	2387	-2.50	0.0000			120.5625						
hz4x4_emission_heavy_presslight_dynamic_reward_shaping	SIM_TRAIN	6	612.0	1.2	-145.65	10.74	0.16	2662	-0.74	0.0000			111.6875						
hz4x4_emission_heavy_presslight_dynamic_reward_shaping	SIM_TRAIN	7	582.2	0.8	-116.36	8.01	0.14	2638	-0.51	0.0000			99.2500						
hz4x4_emission_heavy_presslight_dynamic_reward_shaping	SIM_TRAIN	8	598.3	0.6	-129.84	7.54	0.15	2720	-0.50	0.0000			105.1250						
hz4x4_emission_heavy_presslight_dynamic_reward_shaping	SIM_TRAIN	9	507.9	0.4	-109.90	5.59	0.15	2777	-0.46	0.0000			93.5625						
hz4x4_emission_heavy_presslight_dynamic_reward_shaping	SIM_TRAIN	10	470.0	0.3	-92.53	5.32	0.15	2865	-0.42	0.0000			71.9375						
hz4x4_emission_heavy_presslight_dynamic_reward_shaping	SIM_TRAIN	11	477.9	0.3	-85.64	5.94	0.17	2889	-0.43	0.0000			149.6875						
hz4x4_emission_heavy_presslight_dynamic_reward_shaping	SIM_TRAIN	12	456.4	0.2	-86.52	4.65	0.14	2873	-0.39	0.0000			98.9375						
hz4x4_emission_heavy_presslight_dynamic_reward_shaping	SIM_TRAIN	13	465.8	0.2	-90.02	5.50	0.15	2834	-0.47	0.0000			85.6875						
hz4x4_emission_heavy_presslight_dynamic_reward_shaping	SIM_TRAIN	14	489.4	0.2	-92.66	6.67	0.16	2888	-0.53	0.0000			69.9375						
hz4x4_emission_heavy_presslight_dynamic_reward_shaping	SIM_TRAIN	15	494.9	0.1	-78.57	6.58	0.16	2909	-0.41	0.0000			127.5000						
hz4x4_emission_heavy_presslight_dynamic_reward_shaping	SIM_TRAIN	16	477.7	0.1	-79.90	6.09	0.15	2896	-0.39	0.0000			102.8125						
hz4x4_emission_heavy_presslight_dynamic_reward_shaping	SIM_TRAIN	17	529.5	0.1	-89.45	8.91	0.16	2829	-0.51	0.0000			109.5625						
hz4x4_emission_heavy_presslight_dynamic_reward_shaping	SIM_TRAIN	18	480.1	0.1	-85.91	6.79	0.16	2870	-0.42	0.0000			106.1250						
hz4x4_emission_heavy_presslight_dynamic_reward_shaping	SIM_TRAIN	19	439.7	0.1	-58.11	5.52	0.16	2893	-0.42	0.0000			121.3125						
hz4x4_emission_heavy_presslight_dynamic_reward_shaping	SIM_TRAIN	20	451.6	0.1	-74.72	5.34	0.16	2889	-1.43	0.0000			80.6250						
hz4x4_emission_heavy_presslight_dynamic_reward_shaping	SIM_TRAIN	21	445.1	0.1	-77.70	5.02	0.15	2849	-1.38	0.0000			69.3125						
hz4x4_emission_heavy_presslight_dynamic_reward_shaping	SIM_TRAIN	22	465.6	0.1	-80.82	6.07	0.16	2880	-1.68	0.0000			108.4375						
hz4x4_emission_heavy_presslight_dynamic_reward_shaping	SIM_TRAIN	23	495.6	0.5	-99.15	6.81	0.16	2879	-1.72	0.0000			88.7500						
hz4x4_emission_heavy_presslight_dynamic_reward_shaping	SIM_TRAIN	24	564.2	0.7	-112.57	9.00	0.18	2712	-2.10	0.0000			140.0625						
hz4x4_emission_heavy_presslight_dynamic_reward_shaping	SIM_TRAIN	25	481.7	0.4	-78.76	6.83	0.17	2887	-1.78	0.0000			133.6250						
hz4x4_emission_heavy_presslight_dynamic_reward_shaping	REAL_TRAIN	1	655.6	100.0	-175.36	21.91	0.23	1968		-14.7623	queue=1.4608;delay=0.0;waiting=0.0;pressure=0.0;switches=0.0;emission=13.3014	init;w=queue=0.593;delay=0.844;waiting=0.858;pressure=0.847;switches=0.624	169.5625	3097.0163	1004.0284	58.0000	2081.0000	9.0000	queue=29.2164;delay=3.6416;waiting=15024.2488;pressure=279.1889;switches=6.25;emission=66.5072
hz4x4_emission_heavy_presslight_dynamic_reward_shaping	SIM_TRAIN	26	460.2	0.3	-63.73	6.23	0.17	2884	-0.55	0.0000			138.0000						
hz4x4_emission_heavy_presslight_dynamic_reward_shaping	SIM_TRAIN	27	473.9	0.3	-76.16	7.07	0.17	2886	-0.57	0.0000			152.6250						
hz4x4_emission_heavy_presslight_dynamic_reward_shaping	SIM_TRAIN	28	475.3	0.4	-62.99	6.90	0.16	2915	-0.58	0.0000			130.2500						
hz4x4_emission_heavy_presslight_dynamic_reward_shaping	SIM_TRAIN	29	612.5	0.5	-94.49	13.84	0.19	2832	-0.82	0.0000			142.1250						
hz4x4_emission_heavy_presslight_dynamic_reward_shaping	SIM_TRAIN	30	772.4	0.4	-146.58	17.66	0.20	2515	-0.89	0.0000			145.1250						
hz4x4_emission_heavy_presslight_dynamic_reward_shaping	SIM_TRAIN	31	624.3	0.3	-130.80	12.31	0.19	2783	-0.74	0.0000			132.3750						
hz4x4_emission_heavy_presslight_dynamic_reward_shaping	REAL_TRAIN	2	893.3	100.0	-237.48	34.42	0.26	1776		-20.5048	queue=2.2944;delay=0.0;waiting=0.0;pressure=0.0;switches=0.0;emission=18.2103	init;w=queue=0.384;delay=0.298;waiting=0.057;pressure=0.273;switches=0.478	132.0000	4135.3495	1340.6502	37.0000	2182.0000	11.0000	queue=45.8889;delay=4.1364;waiting=31787.5329;pressure=310.2944;switches=4.9778;emission=91.0517
hz4x4_emission_heavy_presslight_dynamic_reward_shaping	SIM_TRAIN	32	702.2	0.3	-149.07	15.24	0.20	2712	-2.26	0.0000			132.5625						
hz4x4_emission_heavy_presslight_dynamic_reward_shaping	SIM_TRAIN	33	549.2	0.4	-104.14	9.94	0.18	2836	-1.97	0.0000			131.0000						
hz4x4_emission_heavy_presslight_dynamic_reward_shaping	SIM_TRAIN	34	561.8	0.4	-104.77	9.60	0.17	2732	-1.97	0.0000			127.1250						
hz4x4_emission_heavy_presslight_dynamic_reward_shaping	SIM_TRAIN	35	456.5	0.4	-61.33	6.90	0.17	2854	-1.20	0.0000			75.6250						
hz4x4_emission_heavy_presslight_dynamic_reward_shaping	SIM_TRAIN	36	450.0	0.4	-62.38	5.39	0.16	2906	-1.03	0.0000			120.1250						
hz4x4_emission_heavy_presslight_dynamic_reward_shaping	SIM_TRAIN	37	436.6	0.4	-58.52	4.95	0.16	2914	-0.94	0.0000			132.5625						
hz4x4_emission_heavy_presslight_dynamic_reward_shaping	REAL_TRAIN	3	634.4	100.0	-229.21	19.03	0.20	2160		-13.1830	queue=1.2689;delay=0.0;waiting=0.0;pressure=0.0;switches=0.0;emission=11.9141	init;w=queue=0.812;delay=0.48;waiting=0.393;pressure=0.836;switches=0.337	136.0000	2817.0445	913.2631	46.0000	1812.0000	10.0000	queue=25.3771;delay=3.1643;waiting=15658.4037;pressure=291.1472;switches=6.2083;emission=59.5706
hz4x4_emission_heavy_presslight_dynamic_reward_shaping	SIM_TRAIN	38	536.2	0.5	-72.46	9.52	0.18	2880	-1.76	0.0000			96.1250						
hz4x4_emission_heavy_presslight_dynamic_reward_shaping	SIM_TRAIN	39	558.5	0.4	-105.46	8.66	0.16	2809	-1.42	0.0000			143.3125						
hz4x4_emission_heavy_presslight_dynamic_reward_shaping	SIM_TRAIN	40	451.5	0.4	-82.78	5.33	0.15	2828	-0.96	0.0000			112.0000						
hz4x4_emission_heavy_presslight_dynamic_reward_shaping	SIM_TRAIN	41	450.5	0.4	-71.53	5.10	0.16	2874	-0.90	0.0000			65.5625						
hz4x4_emission_heavy_presslight_dynamic_reward_shaping	SIM_TRAIN	42	470.6	0.4	-75.21	5.34	0.16	2877	-0.89	0.0000			82.0000						
hz4x4_emission_heavy_presslight_dynamic_reward_shaping	SIM_TRAIN	43	440.8	0.4	-70.83	4.48	0.15	2883	-0.77	0.0000			53.0625						
