exp_name	mode	step	travel_time	loss	rewards	queue	delay	throughput	train_reward	R_real	components	detail	fairness	emission	fuel	emergency_stops	ssm_conflicts	collisions	phi_raw
hz4x4_physical_safety_heavy_presslight_dynamic_reward_shaping	SIM_TRAIN	0	359.0	0.0	-33.75	2.08	0.11	2927	-0.28	0.0000			60.6875						
hz4x4_physical_safety_heavy_presslight_dynamic_reward_shaping	SIM_TRAIN	1	357.9	0.0	-32.48	2.08	0.11	2926	-0.28	0.0000			31.3750						
hz4x4_physical_safety_heavy_presslight_dynamic_reward_shaping	SIM_TRAIN	2	360.5	11.9	-32.73	2.22	0.11	2926	-0.29	0.0000			50.8750						
hz4x4_physical_safety_heavy_presslight_dynamic_reward_shaping	SIM_TRAIN	3	419.9	4.1	-48.08	4.85	0.15	2904	-0.38	0.0000			119.4375						
hz4x4_physical_safety_heavy_presslight_dynamic_reward_shaping	SIM_TRAIN	4	622.0	1.1	-179.26	12.90	0.16	2588	-0.95	0.0000			110.5625						
hz4x4_physical_safety_heavy_presslight_dynamic_reward_shaping	SIM_TRAIN	5	848.6	0.8	-230.10	18.00	0.16	2232	-2.71	0.0000			125.1250						
hz4x4_physical_safety_heavy_presslight_dynamic_reward_shaping	SIM_TRAIN	6	822.8	1.1	-184.95	15.81	0.18	2412	-1.18	0.0000			128.0000						
hz4x4_physical_safety_heavy_presslight_dynamic_reward_shaping	SIM_TRAIN	7	507.5	0.7	-94.41	6.42	0.15	2737	-0.42	0.0000			100.6250						
hz4x4_physical_safety_heavy_presslight_dynamic_reward_shaping	SIM_TRAIN	8	537.2	0.5	-118.58	7.57	0.16	2736	-0.50	0.0000			93.2500						
hz4x4_physical_safety_heavy_presslight_dynamic_reward_shaping	SIM_TRAIN	9	484.8	0.4	-86.78	5.15	0.15	2777	-0.38	0.0000			121.8750						
hz4x4_physical_safety_heavy_presslight_dynamic_reward_shaping	SIM_TRAIN	10	484.1	0.3	-89.73	5.34	0.15	2790	-0.39	0.0000			100.3750						
