exp_name	mode	step	travel_time	loss	rewards	queue	delay	throughput	train_reward	R_real	components	detail	fairness	emission	fuel	emergency_stops	ssm_conflicts	collisions	phi_raw
hz4x4_physical_safety_heavy_presslight_reward_inference	SIM_TRAIN	0	1242.8	0.0	-439.25	34.16	0.21	2123	-0.28	0.0000			129.8750						
hz4x4_physical_safety_heavy_presslight_reward_inference	SIM_TRAIN	1	664.6	0.0	-141.79	13.15	0.20	2854	-0.11	0.0000			100.8750						
hz4x4_physical_safety_heavy_presslight_reward_inference	SIM_TRAIN	2	497.4	0.0	-70.61	7.73	0.18	2902	-0.06	0.0000			157.0625						
hz4x4_physical_safety_heavy_presslight_reward_inference	REAL_TRAIN	1	575.5	100.0	-137.56	16.81	0.22	2333		-2.2455	queue=1.1205;delay=0.0;waiting=0.0;pressure=0.0;switches=0.0;ssm_conflicts=1.125;collisions=0.0	probe[queue]	168.1875	2744.2058	889.6483	51.0000	2025.0000	16.0000	queue=22.4102;delay=3.5388;waiting=9539.781;pressure=241.0556;switches=8.225;ssm_conflicts=5.625;collisions=0.0444
hz4x4_physical_safety_heavy_presslight_reward_inference	SIM_TRAIN	3	1285.9	0.0	-421.80	34.03	0.20	1835	-0.20	0.0000			108.4375						
hz4x4_physical_safety_heavy_presslight_reward_inference	SIM_TRAIN	4	867.5	0.0	-240.41	18.52	0.19	2375	-0.19	0.0000			114.1250						
hz4x4_physical_safety_heavy_presslight_reward_inference	SIM_TRAIN	5	856.1	0.0	-240.48	18.90	0.17	2366	-0.17	0.0000			94.5625						
hz4x4_physical_safety_heavy_presslight_reward_inference	REAL_TRAIN	2	1293.7	100.0	-587.18	44.69	0.20	993		-3.8950	queue=2.9794;delay=0.0;waiting=0.0;pressure=0.0;switches=0.0;ssm_conflicts=0.9156;collisions=0.0	probe[delay]	74.0000	4544.4174	1473.2715	18.0000	1648.0000	4.0000	queue=59.5884;delay=3.2104;waiting=66504.3072;pressure=640.2056;switches=6.3;ssm_conflicts=4.5778;collisions=0.0111
hz4x4_physical_safety_heavy_presslight_reward_inference	SIM_TRAIN	6	1328.4	40.6	-470.23	40.82	0.22	1756	-11.26	0.0000			95.6250						
hz4x4_physical_safety_heavy_presslight_reward_inference	SIM_TRAIN	7	937.0	13.2	-235.11	24.03	0.23	2511	-6.65	0.0000			143.3125						
hz4x4_physical_safety_heavy_presslight_reward_inference	SIM_TRAIN	8	703.1	7.6	-110.36	19.33	0.23	2816	-5.71	0.0000			166.4375						
hz4x4_physical_safety_heavy_presslight_reward_inference	REAL_TRAIN	3	846.5	100.0	-262.46	31.61	0.27	1749		-3.1676	queue=2.107;delay=0.0;waiting=0.0;pressure=0.0;switches=0.0;ssm_conflicts=1.0606;collisions=0.0	probe[waiting]	128.3125	3831.8685	1242.2644	42.0000	1909.0000	13.0000	queue=42.1405;delay=4.3069;waiting=32360.2856;pressure=470.5444;switches=5.2056;ssm_conflicts=5.3028;collisions=0.0361
hz4x4_physical_safety_heavy_presslight_reward_inference	SIM_TRAIN	9	1137.5	0.8	-387.91	38.50	0.22	2190	-3.21	0.0000			102.9375						
hz4x4_physical_safety_heavy_presslight_reward_inference	SIM_TRAIN	10	938.1	0.2	-187.40	26.04	0.24	2784	-2.16	0.0000			166.9375						
hz4x4_physical_safety_heavy_presslight_reward_inference	SIM_TRAIN	11	969.0	0.2	-123.09	36.14	0.28	2757	-2.20	0.0000			221.1875						
hz4x4_physical_safety_heavy_presslight_reward_inference	REAL_TRAIN	4	1264.1	100.0	-320.24	56.72	0.32	1038		-4.9746	queue=3.7813;delay=0.0;waiting=0.0;pressure=0.0;switches=0.0;ssm_conflicts=1.1933;collisions=0.0	probe[pressure]	139.7500	5766.9808	1869.6182	20.0000	2148.0000	9.0000	queue=75.6259;delay=5.0571;waiting=74830.9389;pressure=649.1889;switches=3.1083;ssm_conflicts=5.9667;collisions=0.025
hz4x4_physical_safety_heavy_presslight_reward_inference	SIM_TRAIN	12	1311.2	0.0	-458.68	45.84	0.21	1581	-0.21	0.0000			98.4375						
hz4x4_physical_safety_heavy_presslight_reward_inference	SIM_TRAIN	13	1481.4	0.0	-576.71	53.34	0.23	1153	-0.06	0.0000			69.4375						
hz4x4_physical_safety_heavy_presslight_reward_inference	SIM_TRAIN	14	1469.8	0.0	-645.02	50.37	0.21	1035	-0.03	0.0000			53.2500						
hz4x4_physical_safety_heavy_presslight_reward_inference	REAL_TRAIN	5	1916.4	100.0	-977.33	65.83	0.24	278		-5.3508	queue=4.3886;delay=0.0;waiting=0.0;pressure=0.0;switches=0.0;ssm_conflicts=0.9622;collisions=0.0	probe[switches]	30.3125	6048.2173	1960.7977	1.0000	1732.0000	1.0000	queue=87.7711;delay=3.7733;waiting=112457.9954;pressure=1034.3389;switches=0.0861;ssm_conflicts=4.8111;collisions=0.0028
hz4x4_physical_safety_heavy_presslight_reward_inference	SIM_TRAIN	15	1202.6	0.0	-380.80	32.37	0.24	2356	-0.27	0.0000			151.6875						
hz4x4_physical_safety_heavy_presslight_reward_inference	SIM_TRAIN	16	753.5	0.0	-212.98	15.04	0.20	2611	-0.13	0.0000			137.4375						
hz4x4_physical_safety_heavy_presslight_reward_inference	SIM_TRAIN	17	602.7	0.0	-123.95	9.84	0.19	2763	-0.08	0.0000			146.9375						
hz4x4_physical_safety_heavy_presslight_reward_inference	REAL_TRAIN	6	652.1	100.0	-147.41	20.95	0.23	2167		-2.5423	queue=1.3968;delay=0.0;waiting=0.0;pressure=0.0;switches=0.0;ssm_conflicts=1.1456;collisions=0.0	probe[queue]	142.3125	3087.1524	1000.8297	55.0000	2062.0000	20.0000	queue=27.9352;delay=3.6694;waiting=14495.9396;pressure=297.7944;switches=8.4194;ssm_conflicts=5.7278;collisions=0.0556
hz4x4_physical_safety_heavy_presslight_reward_inference	SIM_TRAIN	18	1283.2	0.0	-492.42	35.51	0.21	1893	-0.21	0.0000			82.3750						
hz4x4_physical_safety_heavy_presslight_reward_inference	SIM_TRAIN	19	1026.1	0.0	-306.81	23.42	0.19	2079	-0.19	0.0000			88.1250						
hz4x4_physical_safety_heavy_presslight_reward_inference	SIM_TRAIN	20	910.9	0.0	-284.47	18.44	0.18	2257	-0.18	0.0000			102.7500						
hz4x4_physical_safety_heavy_presslight_reward_inference	REAL_TRAIN	7	921.6	100.0	-362.22	35.41	0.25	1672		-3.5386	queue=2.3609;delay=0.0;waiting=0.0;pressure=0.0;switches=0.0;ssm_conflicts=1.1778;collisions=0.0	probe[delay]	136.1250	4074.8707	1321.0442	40.0000	2120.0000	16.0000	queue=47.2174;delay=3.9379;waiting=31332.9382;pressure=485.6917;switches=6.1;ssm_conflicts=5.8889;collisions=0.0444
hz4x4_physical_safety_heavy_presslight_reward_inference	SIM_TRAIN	21	1242.5	12.4	-395.65	34.98	0.22	2172	-6.54	0.0000			142.1875						
hz4x4_physical_safety_heavy_presslight_reward_inference	SIM_TRAIN	22	839.6	4.4	-201.03	20.24	0.22	2644	-4.09	0.0000			111.4375						
hz4x4_physical_safety_heavy_presslight_reward_inference	SIM_TRAIN	23	644.8	3.2	-125.97	14.50	0.21	2710	-3.40	0.0000			156.6875						
hz4x4_physical_safety_heavy_presslight_reward_inference	REAL_TRAIN	8	901.7	100.0	-260.52	36.77	0.26	1745		-3.6666	queue=2.451;delay=0.0;waiting=0.0;pressure=0.0;switches=0.0;ssm_conflicts=1.2156;collisions=0.0	probe[waiting]	141.1250	4206.8170	1363.8197	43.0000	2188.0000	17.0000	queue=49.0201;delay=4.2046;waiting=36838.1016;pressure=426.1806;switches=5.6167;ssm_conflicts=6.0778;collisions=0.0472
hz4x4_physical_safety_heavy_presslight_reward_inference	SIM_TRAIN	24	1158.2	0.8	-385.37	33.33	0.23	2239	-3.09	0.0000			150.1875						
hz4x4_physical_safety_heavy_presslight_reward_inference	SIM_TRAIN	25	882.2	0.2	-161.64	27.98	0.25	2718	-2.15	0.0000			171.1250						
hz4x4_physical_safety_heavy_presslight_reward_inference	SIM_TRAIN	26	766.0	0.2	-112.78	23.74	0.23	2827	-1.65	0.0000			110.7500						
hz4x4_physical_safety_heavy_presslight_reward_inference	REAL_TRAIN	9	1176.4	100.0	-393.59	48.11	0.29	1167		-4.3459	queue=3.2076;delay=0.0;waiting=0.0;pressure=0.0;switches=0.0;ssm_conflicts=1.1383;collisions=0.0	probe[pressure]	132.1250	5103.8076	1654.6211	17.0000	2049.0000	4.0000	queue=64.1512;delay=4.7166;waiting=59458.4255;pressure=569.9944;switches=3.6583;ssm_conflicts=5.6917;collisions=0.0111
hz4x4_physical_safety_heavy_presslight_reward_inference	SIM_TRAIN	27	1340.2	0.0	-469.09	44.81	0.22	1501	-0.21	0.0000			82.8125						
hz4x4_physical_safety_heavy_presslight_reward_inference	SIM_TRAIN	28	1420.9	0.0	-502.42	49.62	0.25	1371	-0.06	0.0000			75.1250						
hz4x4_physical_safety_heavy_presslight_reward_inference	SIM_TRAIN	29	1499.8	0.0	-598.97	48.30	0.22	1176	-0.03	0.0000			59.0000						
hz4x4_physical_safety_heavy_presslight_reward_inference	REAL_TRAIN	10	1754.8	100.0	-826.17	69.26	0.20	413		-5.6867	queue=4.6173;delay=0.0;waiting=0.0;pressure=0.0;switches=0.0;ssm_conflicts=1.0694;collisions=0.0	probe[switches]	35.5625	6444.4973	2089.2689	1.0000	1925.0000	0.0000	queue=92.3451;delay=3.1518;waiting=112860.7222;pressure=948.9389;switches=0.1306;ssm_conflicts=5.3472;collisions=0.0
hz4x4_physical_safety_heavy_presslight_reward_inference	SIM_TRAIN	30	1283.3	0.0	-388.75	31.22	0.22	2119	-0.26	0.0000			115.6250						
hz4x4_physical_safety_heavy_presslight_reward_inference	SIM_TRAIN	31	762.0	0.0	-191.23	17.20	0.20	2654	-0.14	0.0000			136.6875						
hz4x4_physical_safety_heavy_presslight_reward_inference	SIM_TRAIN	32	635.4	0.0	-82.21	15.41	0.20	2855	-0.13	0.0000			142.2500						
hz4x4_physical_safety_heavy_presslight_reward_inference	REAL_TRAIN	11	751.3	100.0	-252.61	27.29	0.25	1996		-2.9687	queue=1.8193;delay=0.0;waiting=0.0;pressure=0.0;switches=0.0;ssm_conflicts=1.1494;collisions=0.0	probe[queue]	141.5000	3529.9654	1144.3881	60.0000	2069.0000	27.0000	queue=36.3861;delay=4.0194;waiting=22533.113;pressure=333.8806;switches=7.4611;ssm_conflicts=5.7472;collisions=0.075
hz4x4_physical_safety_heavy_presslight_reward_inference	SIM_TRAIN	33	1314.7	0.0	-532.10	33.63	0.18	1689	-0.18	0.0000			87.0625						
hz4x4_physical_safety_heavy_presslight_reward_inference	SIM_TRAIN	34	887.8	0.0	-302.88	21.60	0.18	2274	-0.18	0.0000			114.6250						
hz4x4_physical_safety_heavy_presslight_reward_inference	SIM_TRAIN	35	838.8	0.0	-326.09	16.81	0.16	2293	-0.16	0.0000			105.8750						
hz4x4_physical_safety_heavy_presslight_reward_inference	REAL_TRAIN	12	1349.5	100.0	-687.42	50.54	0.20	967		-4.4008	queue=3.3691;delay=0.0;waiting=0.0;pressure=0.0;switches=0.0;ssm_conflicts=1.0317;collisions=0.0	probe[delay]	56.3750	5017.8312	1626.7497	15.0000	1857.0000	2.0000	queue=67.3829;delay=3.2234;waiting=72178.4542;pressure=800.6333;switches=8.1028;ssm_conflicts=5.1583;collisions=0.0056
hz4x4_physical_safety_heavy_presslight_reward_inference	SIM_TRAIN	36	1168.6	19.5	-389.02	31.82	0.22	2317	-6.38	0.0000			140.6250						
