exp_name	mode	step	travel_time	loss	rewards	queue	delay	throughput	train_reward	R_real	components	detail	fairness	emission	fuel	emergency_stops	ssm_conflicts	collisions	phi_raw
ingolstadt1_efficiency_aligned_presslight_dynamic_reward_shaping	SIM_TRAIN	0	33.0	0.0	-1.75	0.56	0.09	1706	-0.17	0.0000			0.0000						
ingolstadt1_efficiency_aligned_presslight_dynamic_reward_shaping	SIM_TRAIN	1	35.0	0.0	-1.64	0.47	0.09	1707	-0.17	0.0000			0.0000						
ingolstadt1_efficiency_aligned_presslight_dynamic_reward_shaping	SIM_TRAIN	2	38.0	11.0	-1.73	0.53	0.10	1707	-0.17	0.0000			0.0000						
ingolstadt1_efficiency_aligned_presslight_dynamic_reward_shaping	SIM_TRAIN	3	39.2	1.5	-2.58	1.32	0.14	1706	-0.23	0.0000			0.0000						
ingolstadt1_efficiency_aligned_presslight_dynamic_reward_shaping	SIM_TRAIN	4	30.8	0.2	-1.76	0.61	0.09	1707	-0.15	0.0000			0.0000						
ingolstadt1_efficiency_aligned_presslight_dynamic_reward_shaping	SIM_TRAIN	5	30.3	0.1	-1.49	0.40	0.08	1707	-0.13	0.0000			0.0000						
ingolstadt1_efficiency_aligned_presslight_dynamic_reward_shaping	SIM_TRAIN	6	170.3	0.1	-2.33	1.08	0.14	1598	-0.16	0.0000			0.0000						
ingolstadt1_efficiency_aligned_presslight_dynamic_reward_shaping	SIM_TRAIN	7	42.0	0.0	-1.73	0.57	0.09	1707	-0.11	0.0000			0.0000						
ingolstadt1_efficiency_aligned_presslight_dynamic_reward_shaping	SIM_TRAIN	8	125.7	0.0	-2.32	1.05	0.14	1585	-0.14	0.0000			0.0000						
ingolstadt1_efficiency_aligned_presslight_dynamic_reward_shaping	SIM_TRAIN	9	53.5	0.0	-2.03	0.82	0.11	1690	-0.12	0.0000			0.0000						
ingolstadt1_efficiency_aligned_presslight_dynamic_reward_shaping	SIM_TRAIN	10	56.0	0.0	-1.90	0.76	0.11	1690	-0.12	0.0000			0.0000						
ingolstadt1_efficiency_aligned_presslight_dynamic_reward_shaping	SIM_TRAIN	11	80.7	0.0	-2.39	0.98	0.10	1567	-0.13	0.0000			0.0000						
ingolstadt1_efficiency_aligned_presslight_dynamic_reward_shaping	SIM_TRAIN	12	31.9	0.0	-1.61	0.54	0.08	1707	-0.10	0.0000			0.0000						
ingolstadt1_efficiency_aligned_presslight_dynamic_reward_shaping	SIM_TRAIN	13	46.1	0.0	-1.71	0.55	0.08	1707	-0.10	0.0000			0.0000						
ingolstadt1_efficiency_aligned_presslight_dynamic_reward_shaping	SIM_TRAIN	14	36.4	0.0	-1.70	0.54	0.09	1707	-0.11	0.0000			0.0000						
ingolstadt1_efficiency_aligned_presslight_dynamic_reward_shaping	SIM_TRAIN	15	59.2	0.0	-1.84	0.72	0.10	1700	-0.11	0.0000			0.0000						
ingolstadt1_efficiency_aligned_presslight_dynamic_reward_shaping	SIM_TRAIN	16	161.2	0.0	-2.27	1.06	0.14	1662	-0.14	0.0000			0.0000						
ingolstadt1_efficiency_aligned_presslight_dynamic_reward_shaping	SIM_TRAIN	17	57.6	0.0	-1.74	0.61	0.10	1705	-0.11	0.0000			0.0000						
ingolstadt1_efficiency_aligned_presslight_dynamic_reward_shaping	SIM_TRAIN	18	79.1	0.0	-2.24	0.92	0.11	1707	-0.13	0.0000			0.0000						
ingolstadt1_efficiency_aligned_presslight_dynamic_reward_shaping	SIM_TRAIN	19	31.7	0.0	-1.52	0.45	0.07	1705	-0.09	0.0000			0.0000						
ingolstadt1_efficiency_aligned_presslight_dynamic_reward_shaping	SIM_TRAIN	20	93.0	0.0	-2.24	0.80	0.12	1532	-0.49	0.0000			0.0000						
ingolstadt1_efficiency_aligned_presslight_dynamic_reward_shaping	SIM_TRAIN	21	47.7	0.0	-1.85	0.68	0.10	1706	-0.46	0.0000			0.0000						
ingolstadt1_efficiency_aligned_presslight_dynamic_reward_shaping	SIM_TRAIN	22	30.1	0.1	-1.49	0.36	0.07	1706	-0.36	0.0000			0.0000						
ingolstadt1_efficiency_aligned_presslight_dynamic_reward_shaping	SIM_TRAIN	23	261.6	0.0	-2.26	1.06	0.15	1582	-0.58	0.0000			0.0000						
ingolstadt1_efficiency_aligned_presslight_dynamic_reward_shaping	SIM_TRAIN	24	38.4	0.1	-1.67	0.52	0.09	1706	-0.44	0.0000			0.0000						
ingolstadt1_efficiency_aligned_presslight_dynamic_reward_shaping	SIM_TRAIN	25	35.3	0.1	-1.66	0.50	0.09	1707	-0.42	0.0000			0.0000						
ingolstadt1_efficiency_aligned_presslight_dynamic_reward_shaping	REAL_TRAIN	1	52.2	100.0	-12.26	8.59	0.23	1615		-0.8892	queue=0.0825;delay=0.2338;waiting=0.573;pressure=0.0;switches=0.0	init;w=queue=0.593;delay=0.844;waiting=0.858;pressure=0.847;switches=0.624	198.0000	116.9194	37.9039	3.0000	346.0000	0.0000	queue=0.825;delay=0.2338;waiting=114.5909;pressure=12.2861;switches=0.3333
ingolstadt1_efficiency_aligned_presslight_dynamic_reward_shaping	SIM_TRAIN	26	30.8	0.1	-1.45	0.35	0.07	1705	-0.14	0.0000			0.0000						
ingolstadt1_efficiency_aligned_presslight_dynamic_reward_shaping	SIM_TRAIN	27	160.7	0.1	-2.50	1.11	0.14	1579	-0.22	0.0000			0.0000						
ingolstadt1_efficiency_aligned_presslight_dynamic_reward_shaping	SIM_TRAIN	28	30.6	0.1	-1.45	0.36	0.07	1705	-0.14	0.0000			0.0000						
