exp_name	mode	step	travel_time	loss	rewards	queue	delay	throughput	train_reward	R_real	components	detail	fairness	emission	fuel	emergency_stops	ssm_conflicts	collisions	phi_raw
ingolstadt1_fairness_heavy_presslight_morl_grid	SIM_TRAIN	0	31.3	0.0	-1.70	0.48	0.08	1706	-0.13	0.0000			0.0000						
ingolstadt1_fairness_heavy_presslight_morl_grid	SIM_TRAIN	1	33.4	0.0	-1.83	0.58	0.09	1707	-0.16	0.0000			0.0000						
ingolstadt1_fairness_heavy_presslight_morl_grid	SIM_TRAIN	2	38.6	12.4	-1.78	0.59	0.10	1707	-0.18	0.0000			0.0000						
ingolstadt1_fairness_heavy_presslight_morl_grid	SIM_TRAIN	3	35.6	1.9	-2.28	1.02	0.11	1707	-0.21	0.0000			0.0000						
ingolstadt1_fairness_heavy_presslight_morl_grid	SIM_TRAIN	4	44.4	0.3	-6.48	4.76	0.12	1703	-0.27	0.0000			0.0000						
ingolstadt1_fairness_heavy_presslight_morl_grid	SIM_TRAIN	5	42.2	0.1	-4.95	3.19	0.12	1707	-0.22	0.0000			0.0000						
ingolstadt1_fairness_heavy_presslight_morl_grid	SIM_TRAIN	6	32.0	0.1	-2.31	0.98	0.09	1707	-0.11	0.0000			0.0000						
ingolstadt1_fairness_heavy_presslight_morl_grid	SIM_TRAIN	7	31.2	0.1	-2.02	0.80	0.08	1707	-0.10	0.0000			0.0000						
ingolstadt1_fairness_heavy_presslight_morl_grid	SIM_TRAIN	8	31.0	0.1	-1.61	0.47	0.08	1707	-0.10	0.0000			0.0000						
ingolstadt1_fairness_heavy_presslight_morl_grid	REAL_TRAIN	1	36.6	100.0	-5.07	1.21	0.15	1701		-0.4365	queue=0.0059;delay=0.0;waiting=0.0145;pressure=0.0;switches=0.0;fairness=0.416	grid;w=queue=0.167;delay=0.167;waiting=0.167;pressure=0.167;switches=0.167;fairness=0.167	0.0000	80.7136	26.1662	1.0000	259.0000	0.0000	queue=0.1182;delay=0.1548;waiting=1.4519;pressure=5.0583;switches=0.35;fairness=10.4011
ingolstadt1_fairness_heavy_presslight_morl_grid	SIM_TRAIN	9	40.5	0.0	-1.82	0.59	0.09	1706	-0.01	0.0000			0.0000						
ingolstadt1_fairness_heavy_presslight_morl_grid	SIM_TRAIN	10	38.8	0.0	-1.78	0.57	0.09	1707	-0.01	0.0000			0.0000						
ingolstadt1_fairness_heavy_presslight_morl_grid	SIM_TRAIN	11	36.0	10.3	-1.64	0.47	0.09	1707	-0.00	0.0000			0.0000						
ingolstadt1_fairness_heavy_presslight_morl_grid	SIM_TRAIN	12	62.7	2.5	-3.87	2.49	0.20	1707	-0.03	0.0000			0.0000						
ingolstadt1_fairness_heavy_presslight_morl_grid	SIM_TRAIN	13	72.4	0.3	-3.41	2.04	0.19	1691	-0.02	0.0000			0.0000						
ingolstadt1_fairness_heavy_presslight_morl_grid	SIM_TRAIN	14	40.6	0.1	-3.69	2.15	0.16	1705	-0.02	0.0000			0.0000						
ingolstadt1_fairness_heavy_presslight_morl_grid	SIM_TRAIN	15	59.1	0.1	-10.34	8.41	0.17	1666	-0.07	0.0000			0.0000						
ingolstadt1_fairness_heavy_presslight_morl_grid	SIM_TRAIN	16	92.5	0.1	-6.92	4.78	0.17	1707	-0.04	0.0000			0.0000						
ingolstadt1_fairness_heavy_presslight_morl_grid	SIM_TRAIN	17	61.9	0.1	-6.80	4.78	0.15	1704	-0.04	0.0000			0.0000						
ingolstadt1_fairness_heavy_presslight_morl_grid	REAL_TRAIN	2	167.4	100.0	-49.97	47.72	0.41	1224		-23.3092	queue=0.2166;delay=0.0;waiting=20.0322;pressure=0.0;switches=0.0;fairness=3.0604	grid;w=queue=1.0	122.0000	309.2507	100.2568	3.0000	399.0000	0.0000	queue=4.3321;delay=0.4127;waiting=2003.2153;pressure=50.0111;switches=0.1833;fairness=76.5106
ingolstadt1_fairness_heavy_presslight_morl_grid	SIM_TRAIN	18	33.1	0.0	-1.85	0.60	0.09	1706	-0.09	0.0000			0.0000						
ingolstadt1_fairness_heavy_presslight_morl_grid	SIM_TRAIN	19	31.9	0.0	-1.65	0.52	0.08	1706	-0.08	0.0000			0.0000						
ingolstadt1_fairness_heavy_presslight_morl_grid	SIM_TRAIN	20	35.3	11.4	-1.87	0.62	0.08	1707	-0.08	0.0000			0.0000						
ingolstadt1_fairness_heavy_presslight_morl_grid	SIM_TRAIN	21	44.3	1.9	-2.92	1.54	0.14	1707	-0.14	0.0000			0.0000						
ingolstadt1_fairness_heavy_presslight_morl_grid	SIM_TRAIN	22	37.8	0.2	-3.86	2.31	0.12	1707	-0.12	0.0000			0.0000						
ingolstadt1_fairness_heavy_presslight_morl_grid	SIM_TRAIN	23	39.5	0.1	-4.31	2.58	0.13	1701	-0.13	0.0000			0.0000						
ingolstadt1_fairness_heavy_presslight_morl_grid	SIM_TRAIN	24	34.9	0.1	-3.08	1.59	0.11	1707	-0.11	0.0000			0.0000						
ingolstadt1_fairness_heavy_presslight_morl_grid	SIM_TRAIN	25	34.3	0.0	-2.78	1.41	0.11	1707	-0.11	0.0000			0.0000						
ingolstadt1_fairness_heavy_presslight_morl_grid	SIM_TRAIN	26	32.0	0.0	-2.17	0.85	0.09	1707	-0.09	0.0000			0.0000						
ingolstadt1_fairness_heavy_presslight_morl_grid	REAL_TRAIN	3	101.6	100.0	-33.42	29.77	0.35	1697		-8.4006	queue=0.1341;delay=0.0;waiting=6.3997;pressure=0.0;switches=0.0;fairness=1.8668	grid;w=delay=1.0	158.0000	237.6052	77.0294	4.0000	642.0000	0.0000	queue=2.6829;delay=0.3521;waiting=639.969;pressure=33.3667;switches=0.2722;fairness=46.6703
ingolstadt1_fairness_heavy_presslight_morl_grid	SIM_TRAIN	27	31.9	0.0	-1.74	0.57	0.08	1706	-0.00	0.0000			0.0000						
ingolstadt1_fairness_heavy_presslight_morl_grid	SIM_TRAIN	28	36.5	0.0	-1.64	0.51	0.09	1706	-0.01	0.0000			0.0000						
ingolstadt1_fairness_heavy_presslight_morl_grid	SIM_TRAIN	29	31.6	11.1	-2.03	0.74	0.08	1707	-0.01	0.0000			0.0000						
ingolstadt1_fairness_heavy_presslight_morl_grid	SIM_TRAIN	30	79.4	2.1	-3.37	2.02	0.19	1707	-0.03	0.0000			0.0000						
ingolstadt1_fairness_heavy_presslight_morl_grid	SIM_TRAIN	31	46.0	0.2	-3.67	2.11	0.14	1706	-0.02	0.0000			0.0000						
ingolstadt1_fairness_heavy_presslight_morl_grid	SIM_TRAIN	32	58.4	0.1	-6.54	4.68	0.17	1677	-0.12	0.0000			0.0000						
ingolstadt1_fairness_heavy_presslight_morl_grid	SIM_TRAIN	33	35.5	0.1	-2.98	1.56	0.12	1707	-0.01	0.0000			0.0000						
ingolstadt1_fairness_heavy_presslight_morl_grid	SIM_TRAIN	34	33.6	0.1	-2.75	1.38	0.11	1704	-0.01	0.0000			0.0000						
ingolstadt1_fairness_heavy_presslight_morl_grid	SIM_TRAIN	35	33.1	0.0	-2.67	1.25	0.11	1707	-0.01	0.0000			0.0000						
ingolstadt1_fairness_heavy_presslight_morl_grid	REAL_TRAIN	4	116.0	100.0	-42.00	38.59	0.42	1633		-11.2807	queue=0.1741;delay=0.0;waiting=8.2874;pressure=0.0;switches=0.0;fairness=2.8192	grid;w=waiting=1.0	162.0000	281.9622	91.4097	3.0000	665.0000	0.0000	queue=3.4817;delay=0.4199;waiting=828.7438;pressure=42.0056;switches=0.2139;fairness=70.48
ingolstadt1_fairness_heavy_presslight_morl_grid	SIM_TRAIN	36	36.2	0.0	-1.82	0.56	0.09	1707	-0.34	0.0000			0.0000						
ingolstadt1_fairness_heavy_presslight_morl_grid	SIM_TRAIN	37	35.2	0.0	-1.84	0.60	0.09	1706	-0.35	0.0000			0.0000						
ingolstadt1_fairness_heavy_presslight_morl_grid	SIM_TRAIN	38	37.7	13.3	-1.85	0.66	0.09	1707	-0.34	0.0000			0.0000						
ingolstadt1_fairness_heavy_presslight_morl_grid	SIM_TRAIN	39	36.4	2.0	-2.34	1.15	0.13	1707	-0.37	0.0000			0.0000						
ingolstadt1_fairness_heavy_presslight_morl_grid	SIM_TRAIN	40	43.0	0.4	-2.66	1.34	0.12	1707	-0.41	0.0000			0.0000						
ingolstadt1_fairness_heavy_presslight_morl_grid	SIM_TRAIN	41	47.7	0.3	-2.05	0.89	0.12	1707	-0.35	0.0000			0.0000						
ingolstadt1_fairness_heavy_presslight_morl_grid	SIM_TRAIN	42	37.3	0.2	-1.92	0.83	0.11	1707	-0.34	0.0000			0.0000						
ingolstadt1_fairness_heavy_presslight_morl_grid	SIM_TRAIN	43	77.0	0.2	-2.61	1.32	0.15	1655	-0.37	0.0000			0.0000						
ingolstadt1_fairness_heavy_presslight_morl_grid	SIM_TRAIN	44	85.7	0.2	-2.27	0.94	0.12	1572	-0.36	0.0000			0.0000						
ingolstadt1_fairness_heavy_presslight_morl_grid	REAL_TRAIN	5	114.1	100.0	-32.52	29.46	0.42	1258		-38.1507	queue=0.144;delay=0.0;waiting=27.8753;pressure=0.0;switches=0.0;fairness=10.1314	grid;w=pressure=1.0	551.0000	212.4513	68.8750	1.0000	527.0000	0.0000	queue=2.8795;delay=0.4223;waiting=2787.5309;pressure=32.4472;switches=0.3306;fairness=253.2844
ingolstadt1_fairness_heavy_presslight_morl_grid	SIM_TRAIN	45	31.4	0.0	-1.73	0.49	0.08	1706	-0.45	0.0000			0.0000						
ingolstadt1_fairness_heavy_presslight_morl_grid	SIM_TRAIN	46	40.1	0.0	-1.76	0.56	0.09	1706	-0.39	0.0000			0.0000						
ingolstadt1_fairness_heavy_presslight_morl_grid	SIM_TRAIN	47	30.9	12.1	-1.73	0.55	0.08	1707	-0.39	0.0000			0.0000						
ingolstadt1_fairness_heavy_presslight_morl_grid	SIM_TRAIN	48	40.4	1.8	-2.31	1.01	0.12	1707	-0.39	0.0000			0.0000						
ingolstadt1_fairness_heavy_presslight_morl_grid	SIM_TRAIN	49	69.9	0.4	-8.31	6.43	0.14	1650	-0.13	0.0000			0.0000						
ingolstadt1_fairness_heavy_presslight_morl_grid	SIM_TRAIN	50	53.0	0.2	-7.38	5.47	0.12	1688	-0.11	0.0000			0.0000						
ingolstadt1_fairness_heavy_presslight_morl_grid	SIM_TRAIN	51	248.2	0.1	-6.27	4.20	0.16	1455	-0.06	0.0000			0.0000						
ingolstadt1_fairness_heavy_presslight_morl_grid	SIM_TRAIN	52	330.0	0.1	-4.44	2.49	0.16	1355	-0.06	0.0000			0.0000						
ingolstadt1_fairness_heavy_presslight_morl_grid	SIM_TRAIN	53	100.6	0.1	-4.52	2.85	0.13	1511	-0.04	0.0000			0.0000						
ingolstadt1_fairness_heavy_presslight_morl_grid	REAL_TRAIN	6	157.2	100.0	-5.65	2.15	0.28	1138		-4.6408	queue=0.0116;delay=0.0;waiting=3.4045;pressure=0.0;switches=0.0;fairness=1.2247	grid;w=switches=1.0	0.0000	70.4830	22.8496	0.0000	111.0000	0.0000	queue=0.2321;delay=0.2847;waiting=340.4453;pressure=5.6556;switches=0.0056;fairness=30.6178
ingolstadt1_fairness_heavy_presslight_morl_grid	SIM_TRAIN	54	34.4	0.0	-1.83	0.56	0.08	1707	-0.13	0.0000			0.0000						
ingolstadt1_fairness_heavy_presslight_morl_grid	SIM_TRAIN	55	31.3	0.0	-1.75	0.52	0.08	1707	-0.08	0.0000			0.0000						
ingolstadt1_fairness_heavy_presslight_morl_grid	SIM_TRAIN	56	31.2	11.3	-1.63	0.47	0.08	1707	-0.12	0.0000			0.0000						
ingolstadt1_fairness_heavy_presslight_morl_grid	SIM_TRAIN	57	49.4	2.2	-2.66	1.32	0.14	1707	-0.53	0.0000			0.0000						
