MORLGrid: 16 grid policies
SIM_TRAIN step:0, travel time:69.39583333333333, q_loss:0, rewards:-2.676111, queue:0.52103174, delay:0.049300388, throughput:3012, raw_metrics:{'fairness': 0.0}
SIM_TRAIN step:1, travel time:65.62913907284768, q_loss:0, rewards:-2.4941669, queue:0.48690477, delay:0.04698974, throughput:3012, raw_metrics:{'fairness': 0.0}
SIM_TRAIN step:2, travel time:64.94335872805564, q_loss:2.0649767, rewards:-2.4766667, queue:0.45992064, delay:0.048007812, throughput:3010, raw_metrics:{'fairness': 0.0}
SIM_TRAIN step:3, travel time:79.39351851851852, q_loss:0.5307202, rewards:-4.903332, queue:0.8869048, delay:0.0684043, throughput:3009, raw_metrics:{'fairness': 0.0}
SIM_TRAIN step:4, travel time:67.94932096720768, q_loss:0.12180871, rewards:-3.9580567, queue:0.6813492, delay:0.05832563, throughput:3012, raw_metrics:{'fairness': 64.429}
SIM_TRAIN step:5, travel time:66.20728476821192, q_loss:0.055985764, rewards:-3.4802768, queue:0.6333333, delay:0.05478459, throughput:3011, raw_metrics:{'fairness': 44.429}
SIM_TRAIN step:6, travel time:69.45927152317881, q_loss:0.04263316, rewards:-3.8741665, queue:0.66150796, delay:0.0587162, throughput:3012, raw_metrics:{'fairness': 0.0}
SIM_TRAIN step:7, travel time:121.24370860927152, q_loss:0.24535234, rewards:-5.2180552, queue:3.3734126, delay:0.087685555, throughput:2783, raw_metrics:{'fairness': 245.143}
SIM_TRAIN step:8, travel time:141.27119205298013, q_loss:0.5905461, rewards:-5.5230565, queue:1.0753968, delay:0.07345699, throughput:2942, raw_metrics:{'fairness': 0.0}
REAL_TRAIN step:1, travel time:135.6655925528106, q_loss:100, rewards:-21.85945, queue:5.5119047, delay:0.16508655, throughput:2645, R_real:-1.6171, components:{'queue': 0.166, 'delay': 0.0, 'waiting': 0.0, 'pressure': 0.0, 'switches': 0.0, 'emission': 1.452}, raw_metrics:{'fairness': 41.143, 'emission': 376.177, 'fuel': 121.953, 'emergency_stops': 24.0, 'collisions': 9.0, 'ssm_conflicts': 861.0}, grid;w=queue=0.2;delay=0.2;waiting=0.2;pressure=0.2;switches=0.2
SIM_TRAIN step:9, travel time:68.09271523178808, q_loss:0, rewards:-2.748334, queue:0.5075397, delay:0.048349053, throughput:3011, raw_metrics:{'fairness': 134.0}
SIM_TRAIN step:10, travel time:64.50099337748344, q_loss:0, rewards:-2.5475004, queue:0.49166667, delay:0.04602897, throughput:3012, raw_metrics:{'fairness': 0.0}
SIM_TRAIN step:11, travel time:63.829252150893446, q_loss:2.0167131, rewards:-2.2369442, queue:0.44523808, delay:0.044821247, throughput:3012, raw_metrics:{'fairness': 0.0}
SIM_TRAIN step:12, travel time:69.12454455117589, q_loss:0.60266876, rewards:-4.1200004, queue:0.84761906, delay:0.06492747, throughput:3011, raw_metrics:{'fairness': 46.143}
SIM_TRAIN step:13, travel time:440.32394832726067, q_loss:1.0768732, rewards:-37.965572, queue:14.701984, delay:0.20450483, throughput:2408, raw_metrics:{'fairness': 256.857}
