exp_name	mode	step	travel_time	loss	rewards	queue	delay	throughput	train_reward	R_real	components	detail	fairness	emission	fuel	emergency_stops	ssm_conflicts	collisions	phi_raw
ingolstadt7_physical_safety_heavy_presslight_morl_grid	SIM_TRAIN	0	64.5	0.0	-2.43	0.48	0.05	3012	-0.14	0.0000			0.0000						
ingolstadt7_physical_safety_heavy_presslight_morl_grid	SIM_TRAIN	1	64.3	0.0	-2.38	0.45	0.05	3012	-0.15	0.0000			0.0000						
ingolstadt7_physical_safety_heavy_presslight_morl_grid	SIM_TRAIN	2	66.0	2.1	-2.50	0.48	0.05	3011	-0.15	0.0000			0.0000						
ingolstadt7_physical_safety_heavy_presslight_morl_grid	SIM_TRAIN	3	69.6	0.6	-4.02	0.77	0.06	3011	-0.16	0.0000			0.0000						
ingolstadt7_physical_safety_heavy_presslight_morl_grid	SIM_TRAIN	4	71.1	0.2	-4.12	0.76	0.06	3012	-0.14	0.0000			0.0000						
ingolstadt7_physical_safety_heavy_presslight_morl_grid	SIM_TRAIN	5	67.4	0.1	-3.83	0.70	0.06	3011	-0.12	0.0000			0.0000						
ingolstadt7_physical_safety_heavy_presslight_morl_grid	SIM_TRAIN	6	72.3	0.0	-4.18	0.75	0.07	3012	-0.11	0.0000			0.0000						
ingolstadt7_physical_safety_heavy_presslight_morl_grid	SIM_TRAIN	7	68.7	0.1	-3.73	0.80	0.06	3012	-0.11	0.0000			0.0000						
ingolstadt7_physical_safety_heavy_presslight_morl_grid	SIM_TRAIN	8	78.5	0.1	-4.29	0.78	0.06	3012	-0.11	0.0000			105.7143						
ingolstadt7_physical_safety_heavy_presslight_morl_grid	REAL_TRAIN	1	118.0	100.0	-18.19	4.19	0.14	2767		-0.6441	queue=0.1264;delay=0.0;waiting=0.0;pressure=0.0;switches=0.0;ssm_conflicts=0.5178;collisions=0.0	grid;w=queue=0.2;delay=0.2;waiting=0.2;pressure=0.2;switches=0.2	24.7143	330.0666	107.0042	24.0000	932.0000	3.0000	queue=2.5271;delay=1.0135;waiting=140.6417;pressure=40.0139;switches=2.6306;ssm_conflicts=2.5889;collisions=0.0083
ingolstadt7_physical_safety_heavy_presslight_morl_grid	SIM_TRAIN	9	67.1	0.0	-2.68	0.48	0.05	3011	-0.00	0.0000			71.4286						
ingolstadt7_physical_safety_heavy_presslight_morl_grid	SIM_TRAIN	10	64.6	0.0	-2.38	0.48	0.05	3012	-0.00	0.0000			0.0000						
ingolstadt7_physical_safety_heavy_presslight_morl_grid	SIM_TRAIN	11	64.8	2.1	-2.33	0.45	0.05	3012	-0.00	0.0000			0.0000						
ingolstadt7_physical_safety_heavy_presslight_morl_grid	SIM_TRAIN	12	70.2	0.7	-4.11	0.82	0.07	3011	-0.01	0.0000			28.7143						
ingolstadt7_physical_safety_heavy_presslight_morl_grid	SIM_TRAIN	13	541.4	0.3	-29.96	10.38	0.18	2125	-0.08	0.0000			247.8571						
ingolstadt7_physical_safety_heavy_presslight_morl_grid	SIM_TRAIN	14	78.7	0.3	-8.92	1.46	0.07	3009	-0.01	0.0000			0.0000						
ingolstadt7_physical_safety_heavy_presslight_morl_grid	SIM_TRAIN	15	86.7	0.2	-9.41	1.83	0.08	3012	-0.01	0.0000			46.1429						
ingolstadt7_physical_safety_heavy_presslight_morl_grid	SIM_TRAIN	16	80.3	0.1	-8.52	1.97	0.09	3012	-0.02	0.0000			0.0000						
ingolstadt7_physical_safety_heavy_presslight_morl_grid	SIM_TRAIN	17	672.4	0.1	-26.52	13.00	0.19	1903	-0.11	0.0000			92.5714						
ingolstadt7_physical_safety_heavy_presslight_morl_grid	REAL_TRAIN	2	619.2	100.0	-28.84	16.16	0.25	1102		-0.7946	queue=0.5224;delay=0.0;waiting=0.0;pressure=0.0;switches=0.0;ssm_conflicts=0.2722;collisions=0.0	grid;w=queue=1.0	51.7143	789.6888	256.0123	13.0000	490.0000	5.0000	queue=10.4478;delay=1.7169;waiting=11707.5021;pressure=108.8333;switches=2.2222;ssm_conflicts=1.3611;collisions=0.0139
ingolstadt7_physical_safety_heavy_presslight_morl_grid	SIM_TRAIN	18	69.5	0.0	-2.72	0.51	0.05	3011	-0.05	0.0000			0.0000						
ingolstadt7_physical_safety_heavy_presslight_morl_grid	SIM_TRAIN	19	69.8	0.0	-2.43	0.50	0.05	3011	-0.05	0.0000			0.0000						
ingolstadt7_physical_safety_heavy_presslight_morl_grid	SIM_TRAIN	20	64.9	2.2	-2.47	0.49	0.05	3012	-0.05	0.0000			37.1429						
ingolstadt7_physical_safety_heavy_presslight_morl_grid	SIM_TRAIN	21	66.7	0.6	-3.06	0.58	0.05	3012	-0.05	0.0000			44.0000						
ingolstadt7_physical_safety_heavy_presslight_morl_grid	SIM_TRAIN	22	67.0	0.2	-3.04	0.54	0.05	3012	-0.05	0.0000			45.1429						
ingolstadt7_physical_safety_heavy_presslight_morl_grid	SIM_TRAIN	23	66.0	0.1	-2.80	0.54	0.05	3011	-0.05	0.0000			12.8571						
ingolstadt7_physical_safety_heavy_presslight_morl_grid	SIM_TRAIN	24	66.0	0.0	-2.76	0.51	0.05	3011	-0.05	0.0000			0.0000						
ingolstadt7_physical_safety_heavy_presslight_morl_grid	SIM_TRAIN	25	66.1	0.0	-2.37	0.50	0.05	3011	-0.05	0.0000			0.0000						
ingolstadt7_physical_safety_heavy_presslight_morl_grid	SIM_TRAIN	26	181.7	0.0	-20.69	3.51	0.10	2845	-0.10	0.0000			148.0000						
ingolstadt7_physical_safety_heavy_presslight_morl_grid	REAL_TRAIN	3	91.2	100.0	-12.86	2.26	0.12	2863		-0.5802	queue=0.0663;delay=0.0;waiting=0.0;pressure=0.0;switches=0.0;ssm_conflicts=0.5139;collisions=0.0	grid;w=delay=1.0	31.7143	258.4500	83.7865	23.0000	925.0000	6.0000	queue=1.3263;delay=0.8276;waiting=33.204;pressure=24.6361;switches=4.1806;ssm_conflicts=2.5694;collisions=0.0167
ingolstadt7_physical_safety_heavy_presslight_morl_grid	SIM_TRAIN	27	68.9	0.0	-2.50	0.49	0.05	3011	-0.00	0.0000			0.0000						
ingolstadt7_physical_safety_heavy_presslight_morl_grid	SIM_TRAIN	28	64.2	0.0	-2.39	0.49	0.05	3011	-0.00	0.0000			0.0000						
ingolstadt7_physical_safety_heavy_presslight_morl_grid	SIM_TRAIN	29	65.0	2.3	-2.49	0.50	0.05	3012	-0.00	0.0000			0.0000						
ingolstadt7_physical_safety_heavy_presslight_morl_grid	SIM_TRAIN	30	67.9	0.6	-3.64	0.74	0.06	3012	-0.01	0.0000			88.0000						
ingolstadt7_physical_safety_heavy_presslight_morl_grid	SIM_TRAIN	31	91.0	0.2	-11.08	1.88	0.07	3010	-0.16	0.0000			11.4286						
ingolstadt7_physical_safety_heavy_presslight_morl_grid	SIM_TRAIN	32	69.3	0.1	-4.27	0.86	0.07	3010	-0.01	0.0000			12.7143						
ingolstadt7_physical_safety_heavy_presslight_morl_grid	SIM_TRAIN	33	71.0	0.1	-4.55	0.98	0.07	3011	-0.01	0.0000			0.0000						
ingolstadt7_physical_safety_heavy_presslight_morl_grid	SIM_TRAIN	34	72.7	0.0	-4.81	1.08	0.07	3009	-0.01	0.0000			0.0000						
ingolstadt7_physical_safety_heavy_presslight_morl_grid	SIM_TRAIN	35	70.3	0.0	-4.08	0.89	0.06	3011	-0.01	0.0000			128.5714						
ingolstadt7_physical_safety_heavy_presslight_morl_grid	REAL_TRAIN	4	134.6	100.0	-15.64	5.17	0.15	2614		-0.6523	queue=0.1651;delay=0.0;waiting=0.0;pressure=0.0;switches=0.0;ssm_conflicts=0.4872;collisions=0.0	grid;w=waiting=1.0	36.5714	360.3934	116.8359	35.0000	877.0000	4.0000	queue=3.3025;delay=1.0607;waiting=203.9073;pressure=54.4083;switches=4.0417;ssm_conflicts=2.4361;collisions=0.0111
ingolstadt7_physical_safety_heavy_presslight_morl_grid	SIM_TRAIN	36	64.1	0.0	-2.37	0.43	0.04	3012	-0.19	0.0000			0.0000						
ingolstadt7_physical_safety_heavy_presslight_morl_grid	SIM_TRAIN	37	68.3	0.0	-2.66	0.48	0.05	3011	-0.19	0.0000			69.2857						
ingolstadt7_physical_safety_heavy_presslight_morl_grid	SIM_TRAIN	38	64.9	2.1	-2.52	0.50	0.05	3012	-0.19	0.0000			0.0000						
ingolstadt7_physical_safety_heavy_presslight_morl_grid	SIM_TRAIN	39	68.4	0.5	-3.46	0.70	0.06	3012	-0.21	0.0000			65.4286						
ingolstadt7_physical_safety_heavy_presslight_morl_grid	SIM_TRAIN	40	83.6	0.3	-4.26	1.38	0.07	3005	-0.26	0.0000			0.0000						
ingolstadt7_physical_safety_heavy_presslight_morl_grid	SIM_TRAIN	41	66.7	0.5	-3.02	0.57	0.05	3012	-0.19	0.0000			88.8571						
