exp_name	mode	step	travel_time	loss	rewards	queue	delay	throughput	train_reward	R_real	components	detail	fairness	emission	fuel	emergency_stops	ssm_conflicts	collisions	phi_raw
ingolstadt7_emission_heavy_presslight_reward_oracle	REAL_TRAIN	0	1155.8	0.0	-62.79	12.84	0.32	629	-0.43	0.0000			27.1429	653.2506	211.7799	0.0000	185.0000	0.0000	
ingolstadt7_emission_heavy_presslight_reward_oracle	REAL_TRAIN	1	898.1	0.0	-57.13	16.54	0.32	969	-0.55	0.0000			46.5714	797.5542	258.5622	3.0000	237.0000	0.0000	
ingolstadt7_emission_heavy_presslight_reward_oracle	REAL_TRAIN	2	679.7	0.0	-72.20	16.62	0.34	1352	-0.56	0.0000			92.0000	819.8605	265.7932	8.0000	434.0000	0.0000	
ingolstadt7_emission_heavy_presslight_reward_oracle	REAL_TEST	2	440.8	100.0	-58.78	13.94	0.25	1681		-3.5453	queue=0.4597;delay=0.0;waiting=0.0;pressure=0.0;switches=0.0;emission=3.0856		114.7143	756.5716	245.2754	20.0000	781.0000	2.0000	queue=9.1935;delay=1.7759;waiting=6924.5234;pressure=92.5667;switches=1.1222;emission=15.4279
ingolstadt7_emission_heavy_presslight_reward_oracle	REAL_TRAIN	3	149.5	0.0	-31.27	4.76	0.16	2708	-0.22	0.0000			47.0000	347.9123	112.7897	30.0000	612.0000	5.0000	
ingolstadt7_emission_heavy_presslight_reward_oracle	REAL_TRAIN	4	85.0	0.0	-11.76	1.57	0.11	2951	-0.12	0.0000			0.0000	227.6262	73.7937	31.0000	677.0000	6.0000	
ingolstadt7_emission_heavy_presslight_reward_oracle	REAL_TEST	4	80.3	100.0	-9.13	1.09	0.09	2827		-0.6951	queue=0.0332;delay=0.0;waiting=0.0;pressure=0.0;switches=0.0;emission=0.6619		86.8571	203.2979	65.9067	29.0000	629.0000	2.0000	queue=0.6646;delay=0.6267;waiting=9.5564;pressure=18.1417;switches=4.075;emission=3.3093
ingolstadt7_emission_heavy_presslight_reward_oracle	REAL_TRAIN	5	80.1	0.0	-9.49	1.16	0.09	2808	-0.10	0.0000			0.0000	204.0018	66.1349	27.0000	721.0000	5.0000	
ingolstadt7_emission_heavy_presslight_reward_oracle	REAL_TRAIN	6	77.3	0.0	-8.36	0.97	0.08	2826	-0.09	0.0000			20.0000	194.4263	63.0307	32.0000	688.0000	9.0000	
ingolstadt7_emission_heavy_presslight_reward_oracle	REAL_TEST	6	76.7	100.0	-8.84	1.04	0.09	2907		-0.6992	queue=0.0319;delay=0.0;waiting=0.0;pressure=0.0;switches=0.0;emission=0.6673		0.0000	203.3906	65.9368	31.0000	715.0000	7.0000	queue=0.638;delay=0.6046;waiting=7.4572;pressure=17.3278;switches=4.1333;emission=3.3366
ingolstadt7_emission_heavy_presslight_reward_oracle	REAL_TRAIN	7	76.3	0.0	-8.06	0.92	0.08	2860	-0.09	0.0000			32.4286	194.4271	63.0309	31.0000	691.0000	5.0000	
