exp_name	mode	step	travel_time	loss	rewards	queue	delay	throughput	train_reward	R_real	components	detail	fairness	emission	fuel	emergency_stops	ssm_conflicts	collisions	phi_raw
tempe_16_emission_heavy_presslight_dynamic_reward_shaping	SIM_TRAIN	0	77.3	0.0	-30.71	2.41	0.22	21326	-0.28	0.0000			291.6250						
tempe_16_emission_heavy_presslight_dynamic_reward_shaping	SIM_TRAIN	1	77.3	0.0	-30.81	2.40	0.22	21324	-0.28	0.0000			591.0000						
tempe_16_emission_heavy_presslight_dynamic_reward_shaping	SIM_TRAIN	2	77.7	6.1	-31.88	2.50	0.22	21317	-0.28	0.0000			421.6250						
tempe_16_emission_heavy_presslight_dynamic_reward_shaping	SIM_TRAIN	3	293.8	30.5	-205.93	47.94	0.35	19040	-2.69	0.0000			758.3125						
tempe_16_emission_heavy_presslight_dynamic_reward_shaping	SIM_TRAIN	4	222.6	55.3	-385.03	47.30	0.34	19115	-3.08	0.0000			889.0000						
tempe_16_emission_heavy_presslight_dynamic_reward_shaping	SIM_TRAIN	5	143.4	18.6	-225.93	21.74	0.34	20565	-1.09	0.0000			746.5625						
tempe_16_emission_heavy_presslight_dynamic_reward_shaping	SIM_TRAIN	6	196.6	11.1	-248.60	29.86	0.35	20668	-1.43	0.0000			744.0625						
tempe_16_emission_heavy_presslight_dynamic_reward_shaping	SIM_TRAIN	7	138.6	7.8	-192.10	23.61	0.30	20932	-1.10	0.0000			638.8125						
tempe_16_emission_heavy_presslight_dynamic_reward_shaping	SIM_TRAIN	8	130.7	13.0	-188.27	19.16	0.31	20982	-1.00	0.0000			741.5625						
tempe_16_emission_heavy_presslight_dynamic_reward_shaping	SIM_TRAIN	9	123.8	11.4	-145.21	18.29	0.28	20652	-0.99	0.0000			513.0625						
tempe_16_emission_heavy_presslight_dynamic_reward_shaping	SIM_TRAIN	10	105.5	7.4	-132.66	12.63	0.28	21018	-0.70	0.0000			538.5625						
tempe_16_emission_heavy_presslight_dynamic_reward_shaping	SIM_TRAIN	11	87.8	6.1	-80.60	6.11	0.27	21251	-0.42	0.0000			514.0625						
tempe_16_emission_heavy_presslight_dynamic_reward_shaping	SIM_TRAIN	12	92.4	5.2	-89.57	7.80	0.28	21018	-0.50	0.0000			457.3125						
tempe_16_emission_heavy_presslight_dynamic_reward_shaping	SIM_TRAIN	13	150.3	5.4	-150.12	24.23	0.32	20517	-1.03	0.0000			677.2500						
tempe_16_emission_heavy_presslight_dynamic_reward_shaping	SIM_TRAIN	14	90.6	5.0	-75.24	7.04	0.28	21183	-0.43	0.0000			449.7500						
tempe_16_emission_heavy_presslight_dynamic_reward_shaping	SIM_TRAIN	15	88.7	5.0	-76.24	6.26	0.26	21248	-0.39	0.0000			513.0625						
tempe_16_emission_heavy_presslight_dynamic_reward_shaping	SIM_TRAIN	16	96.3	5.2	-96.18	8.67	0.27	21178	-0.47	0.0000			376.2500						
tempe_16_emission_heavy_presslight_dynamic_reward_shaping	SIM_TRAIN	17	102.3	4.5	-110.92	10.37	0.27	21092	-0.53	0.0000			588.2500						
tempe_16_emission_heavy_presslight_dynamic_reward_shaping	SIM_TRAIN	18	102.4	3.6	-99.48	9.85	0.26	21141	-0.55	0.0000			498.0000						
tempe_16_emission_heavy_presslight_dynamic_reward_shaping	SIM_TRAIN	19	98.4	3.5	-90.74	9.10	0.26	21140	-0.51	0.0000			516.0625						
tempe_16_emission_heavy_presslight_dynamic_reward_shaping	SIM_TRAIN	20	113.3	3.9	-96.97	10.25	0.27	21210	-2.03	0.0000			478.0625						
tempe_16_emission_heavy_presslight_dynamic_reward_shaping	SIM_TRAIN	21	88.3	4.9	-77.08	6.20	0.26	21296	-1.54	0.0000			668.1250						
tempe_16_emission_heavy_presslight_dynamic_reward_shaping	SIM_TRAIN	22	84.6	4.1	-64.95	4.99	0.26	21248	-1.33	0.0000			338.8750						
tempe_16_emission_heavy_presslight_dynamic_reward_shaping	SIM_TRAIN	23	85.2	3.3	-64.11	5.15	0.26	21243	-1.35	0.0000			489.3750						
tempe_16_emission_heavy_presslight_dynamic_reward_shaping	SIM_TRAIN	24	85.6	3.9	-60.75	5.17	0.26	21279	-1.35	0.0000			540.2500						
tempe_16_emission_heavy_presslight_dynamic_reward_shaping	SIM_TRAIN	25	83.5	1.0	-59.21	4.49	0.25	21305	-1.28	0.0000			427.7500						
tempe_16_emission_heavy_presslight_dynamic_reward_shaping	REAL_TRAIN	1	123.4	100.0	-247.11	17.41	0.26	20141		-17.4757	queue=0.8236;delay=0.0;waiting=0.0;pressure=0.0;switches=0.0;emission=16.6521	init;w=queue=0.593;delay=0.844;waiting=0.858;pressure=0.847;switches=0.624	152.5000	5004.3413	1622.3536	103.0000	7269.0000	0.0000	queue=16.4722;delay=4.1477;waiting=6384.705;pressure=427.6361;switches=7.6056;emission=83.2606
tempe_16_emission_heavy_presslight_dynamic_reward_shaping	SIM_TRAIN	26	97.5	1.2	-120.92	9.31	0.27	21174	-0.71	0.0000			738.0625						
tempe_16_emission_heavy_presslight_dynamic_reward_shaping	SIM_TRAIN	27	93.3	1.0	-116.47	7.80	0.26	21229	-0.65	0.0000			239.7500						
tempe_16_emission_heavy_presslight_dynamic_reward_shaping	SIM_TRAIN	28	85.6	0.8	-73.66	5.24	0.25	21269	-0.56	0.0000			434.3750						
tempe_16_emission_heavy_presslight_dynamic_reward_shaping	SIM_TRAIN	29	86.5	0.8	-78.71	5.46	0.25	21279	-0.57	0.0000			629.3750						
tempe_16_emission_heavy_presslight_dynamic_reward_shaping	SIM_TRAIN	30	84.9	0.7	-71.29	5.07	0.25	21273	-0.54	0.0000			446.9375						
tempe_16_emission_heavy_presslight_dynamic_reward_shaping	SIM_TRAIN	31	85.2	0.6	-72.40	5.17	0.26	21274	-0.55	0.0000			321.7500						
tempe_16_emission_heavy_presslight_dynamic_reward_shaping	REAL_TRAIN	2	189.2	100.0	-436.66	35.40	0.31	18903		-25.4449	queue=1.7196;delay=0.0;waiting=0.0;pressure=0.0;switches=0.0;emission=23.7253	init;w=queue=0.384;delay=0.298;waiting=0.057;pressure=0.273;switches=0.478	141.3125	6843.9163	2218.7344	87.0000	7007.0000	5.0000	queue=34.393;delay=4.9015;waiting=23115.7429;pressure=741.5694;switches=6.2472;emission=118.6264
