MORLGrid: 16 grid policies
SIM_TRAIN step:0, travel time:77.307275505951, q_loss:0, rewards:-30.58779, queue:2.401389, delay:0.22262608, throughput:21319, raw_metrics:{'fairness': 612.812}
SIM_TRAIN step:1, travel time:77.32201898587635, q_loss:0, rewards:-30.583061, queue:2.4083333, delay:0.22619668, throughput:21336, raw_metrics:{'fairness': 431.125}
SIM_TRAIN step:2, travel time:77.51646214401482, q_loss:6.0288353, rewards:-31.237495, queue:2.445486, delay:0.22215737, throughput:21323, raw_metrics:{'fairness': 322.375}
SIM_TRAIN step:3, travel time:610.7314587483207, q_loss:31.972939, rewards:-563.5694, queue:113.47656, delay:0.42656878, throughput:13809, raw_metrics:{'fairness': 660.25}
SIM_TRAIN step:4, travel time:537.1217061084611, q_loss:58.883812, rewards:-620.8047, queue:108.792015, delay:0.4312216, throughput:16925, raw_metrics:{'fairness': 642.688}
SIM_TRAIN step:5, travel time:141.74268383033896, q_loss:33.2502, rewards:-231.06136, queue:21.002604, delay:0.29190162, throughput:20682, raw_metrics:{'fairness': 911.312}
SIM_TRAIN step:6, travel time:442.80314048821157, q_loss:24.357235, rewards:-621.64417, queue:90.40538, delay:0.408437, throughput:17258, raw_metrics:{'fairness': 673.188}
SIM_TRAIN step:7, travel time:142.74833333333333, q_loss:18.967043, rewards:-283.0675, queue:24.38368, delay:0.32277757, throughput:21005, raw_metrics:{'fairness': 727.875}
SIM_TRAIN step:8, travel time:281.22113158625797, q_loss:19.11689, rewards:-419.51315, queue:53.771873, delay:0.3784839, throughput:19430, raw_metrics:{'fairness': 789.875}
REAL_TRAIN step:1, travel time:250.80318594610688, q_loss:100, rewards:-695.61914, queue:58.43646, delay:0.34579867, throughput:18168, R_real:-259.5875, components:{'queue': 5.321, 'delay': 5.533, 'waiting': 248.734, 'pressure': 0.0, 'switches': 0.0}, raw_metrics:{'fairness': 238.438, 'emission': 8696.298, 'fuel': 2819.266, 'emergency_stops': 73.0, 'collisions': 10.0, 'ssm_conflicts': 9957.0}, grid;w=queue=0.2;delay=0.2;waiting=0.2;pressure=0.2;switches=0.2
SIM_TRAIN step:9, travel time:77.2761494652035, q_loss:0, rewards:-30.53722, queue:2.3894098, delay:0.22293739, throughput:21328, raw_metrics:{'fairness': 289.875}
