exp_name	mode	step	travel_time	loss	rewards	queue	delay	throughput	train_reward	R_real	components	detail	fairness	emission	fuel	emergency_stops	ssm_conflicts	collisions	phi_raw
tempe_16_fairness_heavy_presslight_morl_grid	SIM_TRAIN	0	77.1	0.0	-30.63	2.35	0.22	21317	-1.18	0.0000			621.6250						
tempe_16_fairness_heavy_presslight_morl_grid	SIM_TRAIN	1	77.6	0.0	-30.86	2.50	0.22	21332	-1.20	0.0000			272.6875						
tempe_16_fairness_heavy_presslight_morl_grid	SIM_TRAIN	2	77.6	6.0	-32.19	2.48	0.22	21318	-1.17	0.0000			459.8750						
tempe_16_fairness_heavy_presslight_morl_grid	SIM_TRAIN	3	402.2	46.4	-328.64	72.12	0.38	16970	-7.88	0.0000			856.0000						
tempe_16_fairness_heavy_presslight_morl_grid	SIM_TRAIN	4	85.0	62.7	-59.06	5.00	0.25	21286	-1.36	0.0000			254.7500						
tempe_16_fairness_heavy_presslight_morl_grid	SIM_TRAIN	5	115.4	25.8	-134.51	14.37	0.28	20656	-1.95	0.0000			606.5000						
tempe_16_fairness_heavy_presslight_morl_grid	SIM_TRAIN	6	93.7	17.0	-94.34	7.93	0.27	21305	-1.34	0.0000			289.0000						
tempe_16_fairness_heavy_presslight_morl_grid	SIM_TRAIN	7	84.2	12.6	-75.70	4.85	0.26	21281	-1.07	0.0000			361.1250						
tempe_16_fairness_heavy_presslight_morl_grid	SIM_TRAIN	8	84.8	10.2	-81.57	5.14	0.25	21291	-1.03	0.0000			238.6250						
tempe_16_fairness_heavy_presslight_morl_grid	REAL_TRAIN	1	203.4	100.0	-223.74	32.87	0.29	19389		-184.4606	queue=1.575;delay=0.0;waiting=138.3691;pressure=0.0;switches=0.0;fairness=44.5164	grid;w=queue=0.167;delay=0.167;waiting=0.167;pressure=0.167;switches=0.167;fairness=0.167	188.6875	7476.4437	2423.7912	106.0000	9451.0000	6.0000	queue=31.5009;delay=4.6568;waiting=13836.9095;pressure=730.4083;switches=6.8889;fairness=1112.9106
tempe_16_fairness_heavy_presslight_morl_grid	SIM_TRAIN	9	77.1	0.0	-30.16	2.32	0.22	21331	-0.01	0.0000			320.1250						
