exp_name	mode	step	travel_time	loss	rewards	queue	delay	throughput	train_reward	R_real	components	detail	fairness	emission	fuel	emergency_stops	ssm_conflicts	collisions	phi_raw
tempe_16_efficiency_aligned_presslight_reward_inference	SIM_TRAIN	0	963.7	0.1	-734.14	173.56	0.52	14200	-1.22	0.0000			624.4375						
tempe_16_efficiency_aligned_presslight_reward_inference	SIM_TRAIN	1	236.3	0.0	-384.49	44.83	0.40	20528	-0.33	0.0000			560.1250						
tempe_16_efficiency_aligned_presslight_reward_inference	SIM_TRAIN	2	127.8	0.0	-261.63	19.09	0.34	21001	-0.12	0.0000			572.7500						
tempe_16_efficiency_aligned_presslight_reward_inference	REAL_TRAIN	1	433.4	100.0	-761.11	97.22	0.44	15330		-489.6449	queue=9.8658;delay=6.9789;waiting=472.8003;pressure=0.0;switches=0.0	probe[queue]	168.5625	12988.4077	4210.7462	49.0000	9904.0000	2.0000	queue=98.6575;delay=6.9789;waiting=94560.0582;pressure=1132.1889;switches=5.6417
tempe_16_efficiency_aligned_presslight_reward_inference	SIM_TRAIN	3	1015.1	0.0	-1051.93	186.40	0.53	12687	-0.53	0.0000			831.0000						
tempe_16_efficiency_aligned_presslight_reward_inference	SIM_TRAIN	4	548.2	0.0	-619.42	131.07	0.45	15182	-0.45	0.0000			1187.8125						
tempe_16_efficiency_aligned_presslight_reward_inference	SIM_TRAIN	5	688.8	0.0	-646.28	142.19	0.42	13311	-0.42	0.0000			464.6875						
tempe_16_efficiency_aligned_presslight_reward_inference	REAL_TRAIN	2	743.0	100.0	-876.36	137.47	0.44	10079		-900.6752	queue=14.7335;delay=6.9622;waiting=878.9794;pressure=0.0;switches=0.0	probe[delay]	180.3125	16590.3926	5378.4988	31.0000	7950.0000	0.0000	queue=147.3353;delay=6.9622;waiting=175795.8889;pressure=1536.9444;switches=3.2306
tempe_16_efficiency_aligned_presslight_reward_inference	SIM_TRAIN	6	938.8	921.3	-1018.37	173.71	0.54	14038	-50.31	0.0000			720.1250						
tempe_16_efficiency_aligned_presslight_reward_inference	SIM_TRAIN	7	447.0	205.9	-840.77	89.38	0.46	17931	-24.88	0.0000			514.1875						
tempe_16_efficiency_aligned_presslight_reward_inference	SIM_TRAIN	8	260.9	122.6	-589.34	58.36	0.41	19934	-19.13	0.0000			833.6250						
tempe_16_efficiency_aligned_presslight_reward_inference	REAL_TRAIN	3	368.3	100.0	-836.11	78.30	0.45	15551		-445.5754	queue=7.7698;delay=7.212;waiting=430.5935;pressure=0.0;switches=0.0	probe[waiting]	210.8750	10992.7976	3563.7828	68.0000	7640.0000	5.0000	queue=77.6982;delay=7.212;waiting=86118.704;pressure=1256.7444;switches=4.5889
