exp_name	mode	step	travel_time	loss	rewards	queue	delay	throughput	train_reward	R_real	components	detail	fairness	emission	fuel	emergency_stops	ssm_conflicts	collisions	phi_raw
tempe_1x1_efficiency_aligned_presslight_dynamic_reward_shaping	SIM_TRAIN	0	143.8	0.0	-10.88	5.89	0.37	1871	-0.49	0.0000			558.0000						
tempe_1x1_efficiency_aligned_presslight_dynamic_reward_shaping	SIM_TRAIN	1	144.4	0.0	-11.13	6.10	0.37	1875	-0.50	0.0000			570.0000						
tempe_1x1_efficiency_aligned_presslight_dynamic_reward_shaping	SIM_TRAIN	2	144.0	6.5	-10.95	5.91	0.36	1872	-0.49	0.0000			574.0000						
tempe_1x1_efficiency_aligned_presslight_dynamic_reward_shaping	SIM_TRAIN	3	181.1	9.0	-31.49	24.98	0.46	1851	-1.20	0.0000			588.0000						
tempe_1x1_efficiency_aligned_presslight_dynamic_reward_shaping	SIM_TRAIN	4	201.1	2.1	-41.85	34.82	0.49	1864	-1.33	0.0000			571.0000						
tempe_1x1_efficiency_aligned_presslight_dynamic_reward_shaping	SIM_TRAIN	5	171.4	0.6	-25.63	19.62	0.46	1870	-0.86	0.0000			555.0000						
tempe_1x1_efficiency_aligned_presslight_dynamic_reward_shaping	SIM_TRAIN	6	169.8	0.1	-25.09	19.21	0.48	1865	-0.93	0.0000			477.0000						
tempe_1x1_efficiency_aligned_presslight_dynamic_reward_shaping	SIM_TRAIN	7	345.7	0.2	-121.02	108.72	0.56	1803	-5.26	0.0000			483.0000						
tempe_1x1_efficiency_aligned_presslight_dynamic_reward_shaping	SIM_TRAIN	8	192.3	0.4	-37.10	30.64	0.48	1862	-1.28	0.0000			573.0000						
tempe_1x1_efficiency_aligned_presslight_dynamic_reward_shaping	SIM_TRAIN	9	151.6	0.3	-15.12	9.81	0.42	1867	-0.61	0.0000			596.0000						
tempe_1x1_efficiency_aligned_presslight_dynamic_reward_shaping	SIM_TRAIN	10	166.9	0.2	-23.69	17.84	0.46	1859	-0.85	0.0000			528.0000						
tempe_1x1_efficiency_aligned_presslight_dynamic_reward_shaping	SIM_TRAIN	11	161.5	0.2	-20.39	14.81	0.44	1868	-0.75	0.0000			575.0000						
