exp_name	mode	step	travel_time	loss	rewards	queue	delay	throughput	train_reward	R_real	components	detail	fairness	emission	fuel	emergency_stops	ssm_conflicts	collisions	phi_raw
tempe_1x1_fairness_heavy_presslight_dynamic_reward_shaping	SIM_TRAIN	0	144.1	0.0	-10.95	5.95	0.38	1871	-1.37	0.0000			587.0000						
tempe_1x1_fairness_heavy_presslight_dynamic_reward_shaping	SIM_TRAIN	1	144.4	0.0	-11.11	6.11	0.37	1873	-1.35	0.0000			594.0000						
tempe_1x1_fairness_heavy_presslight_dynamic_reward_shaping	SIM_TRAIN	2	143.8	6.0	-10.84	5.82	0.36	1875	-1.36	0.0000			590.0000						
tempe_1x1_fairness_heavy_presslight_dynamic_reward_shaping	SIM_TRAIN	3	170.8	9.0	-25.30	19.36	0.44	1874	-1.64	0.0000			557.0000						
tempe_1x1_fairness_heavy_presslight_dynamic_reward_shaping	SIM_TRAIN	4	151.7	2.3	-15.23	9.70	0.41	1867	-1.43	0.0000			602.0000						
tempe_1x1_fairness_heavy_presslight_dynamic_reward_shaping	SIM_TRAIN	5	174.4	0.6	-27.89	21.71	0.48	1853	-1.78	0.0000			587.0000						
tempe_1x1_fairness_heavy_presslight_dynamic_reward_shaping	SIM_TRAIN	6	242.6	0.2	-63.67	55.86	0.55	1859	-2.91	0.0000			625.0000						
tempe_1x1_fairness_heavy_presslight_dynamic_reward_shaping	SIM_TRAIN	7	155.1	0.1	-16.93	11.43	0.44	1866	-1.53	0.0000			567.0000						
tempe_1x1_fairness_heavy_presslight_dynamic_reward_shaping	SIM_TRAIN	8	147.3	0.1	-12.71	7.53	0.39	1874	-1.44	0.0000			598.0000						
tempe_1x1_fairness_heavy_presslight_dynamic_reward_shaping	SIM_TRAIN	9	147.3	0.1	-12.72	7.46	0.38	1867	-1.30	0.0000			556.0000						
tempe_1x1_fairness_heavy_presslight_dynamic_reward_shaping	SIM_TRAIN	10	147.6	0.1	-12.96	7.64	0.39	1868	-1.39	0.0000			547.0000						
tempe_1x1_fairness_heavy_presslight_dynamic_reward_shaping	SIM_TRAIN	11	148.0	0.1	-13.17	7.80	0.39	1873	-1.36	0.0000			580.0000						
tempe_1x1_fairness_heavy_presslight_dynamic_reward_shaping	SIM_TRAIN	12	148.1	0.1	-13.05	7.82	0.39	1872	-1.28	0.0000			435.0000						
tempe_1x1_fairness_heavy_presslight_dynamic_reward_shaping	SIM_TRAIN	13	146.9	0.1	-12.57	7.30	0.39	1874	-1.29	0.0000			574.0000						
tempe_1x1_fairness_heavy_presslight_dynamic_reward_shaping	SIM_TRAIN	14	146.1	0.1	-12.13	6.92	0.38	1875	-1.27	0.0000			580.0000						
tempe_1x1_fairness_heavy_presslight_dynamic_reward_shaping	SIM_TRAIN	15	146.6	0.1	-12.27	7.16	0.39	1874	-1.31	0.0000			499.0000						
tempe_1x1_fairness_heavy_presslight_dynamic_reward_shaping	SIM_TRAIN	16	147.9	0.1	-13.00	7.69	0.38	1872	-1.40	0.0000			607.0000						
tempe_1x1_fairness_heavy_presslight_dynamic_reward_shaping	SIM_TRAIN	17	147.1	0.1	-12.49	7.27	0.38	1874	-1.41	0.0000			530.0000						
tempe_1x1_fairness_heavy_presslight_dynamic_reward_shaping	SIM_TRAIN	18	149.6	0.1	-13.90	8.59	0.40	1871	-1.38	0.0000			617.0000						
tempe_1x1_fairness_heavy_presslight_dynamic_reward_shaping	SIM_TRAIN	19	147.5	0.1	-12.72	7.53	0.39	1875	-1.29	0.0000			565.0000						
tempe_1x1_fairness_heavy_presslight_dynamic_reward_shaping	SIM_TRAIN	20	146.6	0.1	-12.30	7.16	0.39	1873	-4.53	0.0000			619.0000						
tempe_1x1_fairness_heavy_presslight_dynamic_reward_shaping	SIM_TRAIN	21	148.1	0.2	-13.24	7.98	0.40	1867	-4.26	0.0000			560.0000						
tempe_1x1_fairness_heavy_presslight_dynamic_reward_shaping	SIM_TRAIN	22	147.1	0.3	-12.57	7.43	0.39	1868	-4.21	0.0000			551.0000						
tempe_1x1_fairness_heavy_presslight_dynamic_reward_shaping	SIM_TRAIN	23	148.2	0.4	-13.17	7.86	0.39	1876	-4.36	0.0000			632.0000						
tempe_1x1_fairness_heavy_presslight_dynamic_reward_shaping	SIM_TRAIN	24	146.1	0.4	-12.17	6.96	0.38	1871	-4.04	0.0000			520.0000						
tempe_1x1_fairness_heavy_presslight_dynamic_reward_shaping	SIM_TRAIN	25	147.3	0.5	-12.77	7.62	0.40	1874	-4.05	0.0000			560.0000						
tempe_1x1_fairness_heavy_presslight_dynamic_reward_shaping	REAL_TRAIN	1	154.2	100.0	-46.24	8.54	0.43	1828		-6.3379	queue=0.0226;delay=0.0;waiting=0.1658;pressure=0.0;switches=0.0;fairness=6.1495	init;w=queue=0.593;delay=0.844;waiting=0.858;pressure=0.847;switches=0.624;fairness=0.384	337.0000	587.7428	190.5394	10.0000	342.0000	0.0000	queue=0.451;delay=0.4264;waiting=16.581;pressure=47.0889;switches=0.7944;fairness=153.7378
tempe_1x1_fairness_heavy_presslight_dynamic_reward_shaping	SIM_TRAIN	26	150.8	0.5	-14.50	9.44	0.44	1874	-4.62	0.0000			642.0000						
tempe_1x1_fairness_heavy_presslight_dynamic_reward_shaping	SIM_TRAIN	27	147.3	0.6	-12.65	7.60	0.39	1869	-4.16	0.0000			517.0000						
tempe_1x1_fairness_heavy_presslight_dynamic_reward_shaping	SIM_TRAIN	28	152.2	0.7	-15.43	9.98	0.41	1874	-4.43	0.0000			588.0000						
tempe_1x1_fairness_heavy_presslight_dynamic_reward_shaping	SIM_TRAIN	29	150.0	0.7	-14.14	8.80	0.40	1874	-4.40	0.0000			562.0000						
tempe_1x1_fairness_heavy_presslight_dynamic_reward_shaping	SIM_TRAIN	30	149.1	0.7	-13.66	8.34	0.40	1870	-4.00	0.0000			594.0000						
tempe_1x1_fairness_heavy_presslight_dynamic_reward_shaping	SIM_TRAIN	31	148.7	0.7	-13.45	8.11	0.40	1874	-3.85	0.0000			544.0000						
tempe_1x1_fairness_heavy_presslight_dynamic_reward_shaping	REAL_TRAIN	2	155.0	100.0	-46.55	8.81	0.43	1835		-5.9538	queue=0.0244;delay=0.0;waiting=0.1796;pressure=0.0;switches=0.0;fairness=5.7498	init;w=queue=0.298;delay=0.057;waiting=0.273;pressure=0.478;switches=0.812;fairness=0.48	302.0000	590.8541	191.5480	20.0000	404.0000	0.0000	queue=0.4882;delay=0.4265;waiting=17.9585;pressure=47.3417;switches=0.9389;fairness=143.7447
tempe_1x1_fairness_heavy_presslight_dynamic_reward_shaping	SIM_TRAIN	32	160.0	0.6	-19.48	14.24	0.47	1870	-7.50	0.0000			563.0000						
tempe_1x1_fairness_heavy_presslight_dynamic_reward_shaping	SIM_TRAIN	33	147.1	0.9	-12.62	7.49	0.38	1870	-6.93	0.0000			579.0000						
tempe_1x1_fairness_heavy_presslight_dynamic_reward_shaping	SIM_TRAIN	34	148.3	1.1	-13.27	7.95	0.39	1871	-7.22	0.0000			620.0000						
tempe_1x1_fairness_heavy_presslight_dynamic_reward_shaping	SIM_TRAIN	35	151.2	1.3	-14.83	9.45	0.41	1868	-6.76	0.0000			509.0000						
tempe_1x1_fairness_heavy_presslight_dynamic_reward_shaping	SIM_TRAIN	36	149.8	1.5	-14.04	8.78	0.40	1875	-6.65	0.0000			499.0000						
tempe_1x1_fairness_heavy_presslight_dynamic_reward_shaping	SIM_TRAIN	37	148.8	1.6	-13.49	8.24	0.39	1875	-6.91	0.0000			512.0000						
tempe_1x1_fairness_heavy_presslight_dynamic_reward_shaping	REAL_TRAIN	3	164.0	100.0	-51.60	13.64	0.52	1828		-6.9150	queue=0.0356;delay=0.0;waiting=0.452;pressure=0.0;switches=0.0;fairness=6.4274	init;w=queue=0.393;delay=0.836;waiting=0.337;pressure=0.648;switches=0.368;fairness=0.957	310.0000	617.3143	200.1263	9.0000	619.0000	0.0000	queue=0.7124;delay=0.5175;waiting=45.202;pressure=52.1861;switches=0.6361;fairness=160.6839
tempe_1x1_fairness_heavy_presslight_dynamic_reward_shaping	SIM_TRAIN	38	185.8	1.4	-33.17	27.71	0.53	1873	-7.58	0.0000			450.0000						
tempe_1x1_fairness_heavy_presslight_dynamic_reward_shaping	SIM_TRAIN	39	151.5	1.8	-15.00	9.71	0.43	1863	-5.82	0.0000			561.0000						
tempe_1x1_fairness_heavy_presslight_dynamic_reward_shaping	SIM_TRAIN	40	153.8	1.8	-16.25	10.68	0.41	1875	-5.99	0.0000			597.0000						
tempe_1x1_fairness_heavy_presslight_dynamic_reward_shaping	SIM_TRAIN	41	148.7	1.9	-13.60	8.29	0.40	1867	-5.39	0.0000			578.0000						
tempe_1x1_fairness_heavy_presslight_dynamic_reward_shaping	SIM_TRAIN	42	146.8	1.9	-12.47	7.33	0.40	1869	-5.19	0.0000			539.0000						
tempe_1x1_fairness_heavy_presslight_dynamic_reward_shaping	SIM_TRAIN	43	147.8	1.8	-13.01	7.78	0.40	1873	-5.77	0.0000			592.0000						
tempe_1x1_fairness_heavy_presslight_dynamic_reward_shaping	REAL_TRAIN	4	162.9	100.0	-50.96	13.21	0.50	1831		-7.0268	queue=0.0344;delay=0.0;waiting=0.5474;pressure=0.0;switches=0.0;fairness=6.445	init;w=queue=0.14;delay=0.87;waiting=0.474;pressure=0.801;switches=0.52;fairness=0.679	333.0000	614.1482	199.0999	20.0000	463.0000	0.0000	queue=0.6878;delay=0.4994;waiting=54.7401;pressure=51.6972;switches=0.7333;fairness=161.1256
tempe_1x1_fairness_heavy_presslight_dynamic_reward_shaping	SIM_TRAIN	44	188.8	1.5	-34.98	29.39	0.54	1874	-6.96	0.0000			574.0000						
tempe_1x1_fairness_heavy_presslight_dynamic_reward_shaping	SIM_TRAIN	45	155.7	1.9	-17.16	11.93	0.45	1873	-4.53	0.0000			567.0000						
tempe_1x1_fairness_heavy_presslight_dynamic_reward_shaping	SIM_TRAIN	46	151.3	1.9	-15.01	9.81	0.43	1862	-4.04	0.0000			527.0000						
tempe_1x1_fairness_heavy_presslight_dynamic_reward_shaping	SIM_TRAIN	47	149.6	1.8	-13.89	8.80	0.41	1867	-4.17	0.0000			600.0000						
tempe_1x1_fairness_heavy_presslight_dynamic_reward_shaping	SIM_TRAIN	48	147.8	1.6	-12.98	7.97	0.40	1870	-3.89	0.0000			518.0000						
tempe_1x1_fairness_heavy_presslight_dynamic_reward_shaping	SIM_TRAIN	49	146.9	1.4	-12.57	7.55	0.39	1871	-3.88	0.0000			505.0000						
tempe_1x1_fairness_heavy_presslight_dynamic_reward_shaping	REAL_TRAIN	5	163.8	100.0	-51.41	13.64	0.49	1828		-7.1116	queue=0.0352;delay=0.0;waiting=0.6641;pressure=0.0;switches=0.0;fairness=6.4124	init;w=queue=0.721;delay=0.582;waiting=0.537;pressure=0.759;switches=0.106;fairness=0.474	337.0000	616.7367	199.9391	13.0000	445.0000	0.0000	queue=0.7033;delay=0.4901;waiting=66.4066;pressure=52.1111;switches=0.7306;fairness=160.3097
tempe_1x1_fairness_heavy_presslight_dynamic_reward_shaping	SIM_TRAIN	50	156.0	1.2	-17.15	12.17	0.47	1874	-1.69	0.0000			540.0000						
tempe_1x1_fairness_heavy_presslight_dynamic_reward_shaping	SIM_TRAIN	51	152.3	1.3	-15.55	10.46	0.44	1867	-1.73	0.0000			599.0000						
tempe_1x1_fairness_heavy_presslight_dynamic_reward_shaping	SIM_TRAIN	52	153.5	1.1	-16.11	11.19	0.46	1865	-1.73	0.0000			543.0000						
tempe_1x1_fairness_heavy_presslight_dynamic_reward_shaping	SIM_TRAIN	53	155.8	0.9	-17.33	12.20	0.48	1867	-1.82	0.0000			554.0000						
tempe_1x1_fairness_heavy_presslight_dynamic_reward_shaping	SIM_TRAIN	54	161.9	0.7	-20.83	15.37	0.50	1863	-1.85	0.0000			475.0000						
tempe_1x1_fairness_heavy_presslight_dynamic_reward_shaping	SIM_TRAIN	55	177.4	0.6	-29.53	23.65	0.53	1844	-2.15	0.0000			479.0000						
tempe_1x1_fairness_heavy_presslight_dynamic_reward_shaping	REAL_TRAIN	6	189.5	100.0	-65.53	27.40	0.55	1803		-8.6090	queue=0.0709;delay=0.0;waiting=1.6543;pressure=0.0;switches=0.0;fairness=6.8839	init;w=queue=0.186;delay=0.737;waiting=0.217;pressure=0.135;switches=0.324;fairness=0.15	344.0000	694.1083	225.0224	11.0000	760.0000	0.0000	queue=1.4176;delay=0.5522;waiting=165.4287;pressure=65.7722;switches=0.4778;fairness=172.0964
tempe_1x1_fairness_heavy_presslight_dynamic_reward_shaping	SIM_TRAIN	56	200.6	0.8	-41.18	35.39	0.54	1872	-9.08	0.0000			562.0000						
tempe_1x1_fairness_heavy_presslight_dynamic_reward_shaping	SIM_TRAIN	57	151.9	1.0	-15.17	10.14	0.45	1870	-5.95	0.0000			505.0000						
tempe_1x1_fairness_heavy_presslight_dynamic_reward_shaping	SIM_TRAIN	58	150.9	1.0	-14.64	9.61	0.44	1869	-6.34	0.0000			515.0000						
tempe_1x1_fairness_heavy_presslight_dynamic_reward_shaping	SIM_TRAIN	59	152.9	1.2	-15.61	10.61	0.45	1871	-7.31	0.0000			546.0000						
tempe_1x1_fairness_heavy_presslight_dynamic_reward_shaping	SIM_TRAIN	60	152.6	1.4	-15.62	10.58	0.44	1875	-6.46	0.0000			486.0000						
tempe_1x1_fairness_heavy_presslight_dynamic_reward_shaping	SIM_TRAIN	61	148.9	1.6	-13.89	8.76	0.41	1855	-6.19	0.0000			558.0000						
tempe_1x1_fairness_heavy_presslight_dynamic_reward_shaping	REAL_TRAIN	7	317.7	100.0	-137.23	99.86	0.57	1647		-60.2847	queue=0.2499;delay=0.0;waiting=53.7763;pressure=0.0;switches=0.0;fairness=6.2586	init;w=queue=0.222;delay=0.386;waiting=0.903;pressure=0.45;switches=0.613;fairness=0.902	304.0000	1059.2479	343.3989	11.0000	727.0000	0.0000	queue=4.9973;delay=0.5718;waiting=5377.6263;pressure=137.9861;switches=0.6222;fairness=156.4653
tempe_1x1_fairness_heavy_presslight_dynamic_reward_shaping	SIM_TRAIN	62	175.6	1.4	-28.06	22.48	0.52	1865	-7.20	0.0000			555.0000						
tempe_1x1_fairness_heavy_presslight_dynamic_reward_shaping	SIM_TRAIN	63	155.8	1.6	-17.25	12.08	0.45	1874	-4.83	0.0000			499.0000						
tempe_1x1_fairness_heavy_presslight_dynamic_reward_shaping	SIM_TRAIN	64	158.8	1.7	-19.06	13.62	0.46	1875	-5.68	0.0000			569.0000						
tempe_1x1_fairness_heavy_presslight_dynamic_reward_shaping	SIM_TRAIN	65	166.6	1.9	-23.19	17.67	0.48	1868	-5.69	0.0000			553.0000						
tempe_1x1_fairness_heavy_presslight_dynamic_reward_shaping	SIM_TRAIN	66	160.0	1.9	-19.66	14.15	0.47	1856	-5.38	0.0000			569.0000						
tempe_1x1_fairness_heavy_presslight_dynamic_reward_shaping	SIM_TRAIN	67	164.8	1.9	-22.33	16.59	0.48	1864	-5.71	0.0000			521.0000						
tempe_1x1_fairness_heavy_presslight_dynamic_reward_shaping	REAL_TRAIN	8	296.7	100.0	-125.23	87.75	0.58	1685		-42.2071	queue=0.2197;delay=0.0;waiting=35.604;pressure=0.0;switches=0.0;fairness=6.3834	init;w=queue=0.099;delay=0.97;waiting=0.653;pressure=0.171;switches=0.358;fairness=0.751	318.0000	1002.4018	324.9696	4.0000	836.0000	0.0000	queue=4.393;delay=0.5828;waiting=3560.3992;pressure=125.8;switches=0.6472;fairness=159.5861
tempe_1x1_fairness_heavy_presslight_dynamic_reward_shaping	SIM_TRAIN	68	157.1	1.5	-17.89	12.50	0.45	1875	-5.31	0.0000			527.0000						
tempe_1x1_fairness_heavy_presslight_dynamic_reward_shaping	SIM_TRAIN	69	160.3	1.7	-20.18	14.59	0.46	1844	-6.44	0.0000			625.0000						
tempe_1x1_fairness_heavy_presslight_dynamic_reward_shaping	SIM_TRAIN	70	160.4	1.7	-19.93	14.53	0.47	1863	-6.11	0.0000			595.0000						
tempe_1x1_fairness_heavy_presslight_dynamic_reward_shaping	SIM_TRAIN	71	153.4	1.5	-16.09	10.73	0.43	1873	-5.22	0.0000			491.0000						
tempe_1x1_fairness_heavy_presslight_dynamic_reward_shaping	SIM_TRAIN	72	151.9	1.5	-15.34	10.10	0.43	1866	-5.25	0.0000			532.0000						
tempe_1x1_fairness_heavy_presslight_dynamic_reward_shaping	SIM_TRAIN	73	150.2	1.6	-14.37	9.18	0.42	1870	-5.74	0.0000			593.0000						
tempe_1x1_fairness_heavy_presslight_dynamic_reward_shaping	REAL_TRAIN	9	242.1	100.0	-95.28	57.65	0.56	1730		-30.2138	queue=0.1451;delay=0.0;waiting=22.6025;pressure=0.0;switches=0.0;fairness=7.4662	init;w=queue=0.608;delay=0.325;waiting=0.038;pressure=0.634;switches=0.959;fairness=0.653	396.0000	841.8479	272.9190	7.0000	599.0000	0.0000	queue=2.9018;delay=0.5591;waiting=2260.2516;pressure=95.9278;switches=0.6444;fairness=186.6556
tempe_1x1_fairness_heavy_presslight_dynamic_reward_shaping	SIM_TRAIN	74	165.2	1.2	-22.24	16.94	0.48	1871	-5.99	0.0000			590.0000						
tempe_1x1_fairness_heavy_presslight_dynamic_reward_shaping	SIM_TRAIN	75	153.1	1.4	-15.79	10.63	0.44	1874	-5.42	0.0000			575.0000						
tempe_1x1_fairness_heavy_presslight_dynamic_reward_shaping	SIM_TRAIN	76	151.5	1.5	-14.89	9.87	0.44	1871	-5.03	0.0000			507.0000						
tempe_1x1_fairness_heavy_presslight_dynamic_reward_shaping	SIM_TRAIN	77	153.4	1.3	-16.12	11.00	0.44	1871	-4.96	0.0000			550.0000						
tempe_1x1_fairness_heavy_presslight_dynamic_reward_shaping	SIM_TRAIN	78	149.0	1.3	-13.74	8.52	0.41	1868	-4.79	0.0000			577.0000						
tempe_1x1_fairness_heavy_presslight_dynamic_reward_shaping	SIM_TRAIN	79	148.6	1.2	-13.43	8.26	0.40	1873	-4.65	0.0000			575.0000						
