MORLGrid: 16 grid policies
SIM_TRAIN step:0, travel time:144.0796460176991, q_loss:0, rewards:-10.951113, queue:5.961111, delay:0.36239392, throughput:1874, raw_metrics:{'fairness': 563.0}
SIM_TRAIN step:1, travel time:143.67758710348414, q_loss:0, rewards:-10.776388, queue:5.825, delay:0.36817923, throughput:1873, raw_metrics:{'fairness': 582.0}
SIM_TRAIN step:2, travel time:143.72528616024974, q_loss:6.1810217, rewards:-10.783335, queue:5.7555556, delay:0.35792953, throughput:1874, raw_metrics:{'fairness': 566.0}
SIM_TRAIN step:3, travel time:187.63854166666667, q_loss:9.556825, rewards:-37.44834, queue:29.858334, delay:0.4610429, throughput:1784, raw_metrics:{'fairness': 570.0}
SIM_TRAIN step:4, travel time:204.43964620187305, q_loss:2.299245, rewards:-43.705555, queue:36.894444, delay:0.5001411, throughput:1861, raw_metrics:{'fairness': 514.0}
SIM_TRAIN step:5, travel time:210.0832899531494, q_loss:0.643369, rewards:-48.13834, queue:40.644444, delay:0.55821556, throughput:1808, raw_metrics:{'fairness': 560.0}
SIM_TRAIN step:6, travel time:179.738813735692, q_loss:0.15640806, rewards:-31.15501, queue:24.444445, delay:0.4860651, throughput:1842, raw_metrics:{'fairness': 568.0}
SIM_TRAIN step:7, travel time:159.075, q_loss:0.08776583, rewards:-18.903893, queue:13.316667, delay:0.43457857, throughput:1873, raw_metrics:{'fairness': 523.0}
SIM_TRAIN step:8, travel time:150.93541666666667, q_loss:0.07194, rewards:-14.599159, queue:9.283334, delay:0.40358776, throughput:1874, raw_metrics:{'fairness': 565.0}
REAL_TRAIN step:1, travel time:181.0041819132253, q_loss:100, rewards:-60.86582, queue:22.966667, delay:0.53141177, throughput:1825, R_real:-1.3229, components:{'queue': 0.058, 'delay': 0.0, 'waiting': 0.0, 'pressure': 0.0, 'switches': 0.0, 'emission': 1.265}, raw_metrics:{'fairness': 340.0, 'emission': 669.839, 'fuel': 217.154, 'emergency_stops': 5.0, 'collisions': 0.0, 'ssm_conflicts': 795.0}, grid;w=queue=0.2;delay=0.2;waiting=0.2;pressure=0.2;switches=0.2
SIM_TRAIN step:9, travel time:143.94849115504684, q_loss:0, rewards:-10.865278, queue:5.922222, delay:0.3648222, throughput:1873, raw_metrics:{'fairness': 603.0}
SIM_TRAIN step:10, travel time:144.1290322580645, q_loss:0, rewards:-11.023894, queue:6.0194445, delay:0.36673534, throughput:1874, raw_metrics:{'fairness': 572.0}
SIM_TRAIN step:11, travel time:143.69651223321188, q_loss:6.990836, rewards:-10.818334, queue:5.786111, delay:0.36450905, throughput:1868, raw_metrics:{'fairness': 543.0}
SIM_TRAIN step:12, travel time:232.33107756376887, q_loss:12.196068, rewards:-64.12611, queue:54.144444, delay:0.4799012, throughput:1707, raw_metrics:{'fairness': 594.0}
SIM_TRAIN step:13, travel time:390.43958333333336, q_loss:4.5240526, rewards:-146.70667, queue:131.24445, delay:0.56865054, throughput:1735, raw_metrics:{'fairness': 518.0}
SIM_TRAIN step:14, travel time:373.03591879229566, q_loss:1.7217921, rewards:-142.11922, queue:129.30278, delay:0.57706267, throughput:1598, raw_metrics:{'fairness': 560.0}
SIM_TRAIN step:15, travel time:395.8346333853354, q_loss:0.33248568, rewards:-152.14275, queue:139.48611, delay:0.65772855, throughput:1660, raw_metrics:{'fairness': 536.0}
SIM_TRAIN step:16, travel time:249.46930280957335, q_loss:0.13648725, rewards:-69.304436, queue:59.322224, delay:0.5273705, throughput:1813, raw_metrics:{'fairness': 549.0}
SIM_TRAIN step:17, travel time:355.51927083333334, q_loss:0.09374856, rewards:-125.43473, queue:116.43056, delay:0.59870565, throughput:1835, raw_metrics:{'fairness': 559.0}
REAL_TRAIN step:2, travel time:233.99895452169366, q_loss:100, rewards:-90.856094, queue:53.308334, delay:0.5396186, throughput:1733, R_real:-1.9209, components:{'queue': 0.142, 'delay': 0.0, 'waiting': 0.0, 'pressure': 0.0, 'switches': 0.0, 'emission': 1.779}, raw_metrics:{'fairness': 321.0, 'emission': 824.202, 'fuel': 267.198, 'emergency_stops': 6.0, 'collisions': 1.0, 'ssm_conflicts': 1017.0}, grid;w=queue=1.0
SIM_TRAIN step:18, travel time:144.44583333333333, q_loss:0, rewards:-10.964997, queue:6.086111, delay:0.37213606, throughput:1872, raw_metrics:{'fairness': 487.0}
SIM_TRAIN step:19, travel time:144.01405517959395, q_loss:0, rewards:-10.835275, queue:5.925, delay:0.36376053, throughput:1873, raw_metrics:{'fairness': 566.0}
SIM_TRAIN step:20, travel time:143.91302083333332, q_loss:7.0980024, rewards:-10.803334, queue:5.7694445, delay:0.3582676, throughput:1872, raw_metrics:{'fairness': 562.0}
SIM_TRAIN step:21, travel time:180.5830296720458, q_loss:9.775821, rewards:-33.14889, queue:26.005556, delay:0.43066737, throughput:1797, raw_metrics:{'fairness': 587.0}
SIM_TRAIN step:22, travel time:240.54294638209265, q_loss:4.0619535, rewards:-65.62138, queue:55.952778, delay:0.52696586, throughput:1779, raw_metrics:{'fairness': 473.0}
SIM_TRAIN step:23, travel time:286.3052522100884, q_loss:1.1284318, rewards:-88.525604, queue:77.86389, delay:0.5495315, throughput:1817, raw_metrics:{'fairness': 588.0}
SIM_TRAIN step:24, travel time:238.56012493492972, q_loss:0.23070066, rewards:-61.899136, queue:53.425, delay:0.5340898, throughput:1861, raw_metrics:{'fairness': 464.0}
SIM_TRAIN step:25, travel time:257.6645833333333, q_loss:0.07781092, rewards:-75.68888, queue:66.727776, delay:0.61585975, throughput:1751, raw_metrics:{'fairness': 525.0}
SIM_TRAIN step:26, travel time:409.7773152965661, q_loss:0.0347435, rewards:-160.68224, queue:149.92223, delay:0.6271787, throughput:1676, raw_metrics:{'fairness': 551.0}
REAL_TRAIN step:3, travel time:456.5875588081547, q_loss:100, rewards:-211.55449, queue:177.56667, delay:0.64172006, throughput:1592, R_real:-4.3831, components:{'queue': 0.498, 'delay': 0.0, 'waiting': 0.0, 'pressure': 0.0, 'switches': 0.0, 'emission': 3.885}, raw_metrics:{'fairness': 255.0, 'emission': 1472.584, 'fuel': 477.399, 'emergency_stops': 7.0, 'collisions': 0.0, 'ssm_conflicts': 1404.0}, grid;w=delay=1.0
SIM_TRAIN step:27, travel time:144.16666666666666, q_loss:0, rewards:-10.979996, queue:5.961111, delay:0.36525968, throughput:1873, raw_metrics:{'fairness': 518.0}
SIM_TRAIN step:28, travel time:144.01768990634756, q_loss:0, rewards:-10.955834, queue:6.0111113, delay:0.37283197, throughput:1871, raw_metrics:{'fairness': 545.0}
SIM_TRAIN step:29, travel time:144.13951067152524, q_loss:6.8334913, rewards:-11.061939, queue:5.9444447, delay:0.35845914, throughput:1875, raw_metrics:{'fairness': 527.0}
SIM_TRAIN step:30, travel time:201.65052083333333, q_loss:9.437001, rewards:-42.656662, queue:35.65278, delay:0.47195154, throughput:1833, raw_metrics:{'fairness': 578.0}
