exp_name	mode	step	travel_time	loss	rewards	queue	delay	throughput	train_reward	R_real	components	detail	fairness	emission	fuel	emergency_stops	ssm_conflicts	collisions	phi_raw
tempe_1x1_fairness_heavy_presslight_morl_grid	SIM_TRAIN	0	144.1	0.0	-10.94	5.96	0.37	1873	-1.33	0.0000			580.0000						
tempe_1x1_fairness_heavy_presslight_morl_grid	SIM_TRAIN	1	143.9	0.0	-10.84	5.86	0.37	1872	-1.31	0.0000			555.0000						
tempe_1x1_fairness_heavy_presslight_morl_grid	SIM_TRAIN	2	144.1	6.1	-10.94	5.93	0.37	1871	-1.28	0.0000			554.0000						
tempe_1x1_fairness_heavy_presslight_morl_grid	SIM_TRAIN	3	183.8	8.9	-35.55	28.03	0.43	1787	-2.08	0.0000			570.0000						
tempe_1x1_fairness_heavy_presslight_morl_grid	SIM_TRAIN	4	194.8	2.3	-38.50	32.18	0.51	1857	-2.11	0.0000			567.0000						
tempe_1x1_fairness_heavy_presslight_morl_grid	SIM_TRAIN	5	280.3	0.7	-91.08	80.48	0.58	1647	-3.98	0.0000			524.0000						
tempe_1x1_fairness_heavy_presslight_morl_grid	SIM_TRAIN	6	164.0	0.3	-21.96	16.21	0.47	1860	-1.56	0.0000			590.0000						
tempe_1x1_fairness_heavy_presslight_morl_grid	SIM_TRAIN	7	153.7	0.2	-16.22	10.86	0.43	1865	-1.50	0.0000			587.0000						
tempe_1x1_fairness_heavy_presslight_morl_grid	SIM_TRAIN	8	151.2	0.2	-14.78	9.56	0.39	1871	-1.48	0.0000			601.0000						
tempe_1x1_fairness_heavy_presslight_morl_grid	REAL_TRAIN	1	730.8	100.0	-355.94	325.42	0.69	1349		-120.7440	queue=0.9011;delay=0.0;waiting=115.0351;pressure=0.0;switches=0.0;fairness=4.8079	grid;w=queue=0.167;delay=0.167;waiting=0.167;pressure=0.167;switches=0.167;fairness=0.167	275.0000	2221.3906	720.1584	6.0000	1325.0000	0.0000	queue=18.0211;delay=0.6884;waiting=11503.5055;pressure=356.6111;switches=0.2389;fairness=120.1983
tempe_1x1_fairness_heavy_presslight_morl_grid	SIM_TRAIN	9	143.4	0.0	-10.60	5.65	0.36	1874	-0.03	0.0000			542.0000						
tempe_1x1_fairness_heavy_presslight_morl_grid	SIM_TRAIN	10	143.9	0.0	-10.88	5.88	0.36	1875	-0.03	0.0000			488.0000						
tempe_1x1_fairness_heavy_presslight_morl_grid	SIM_TRAIN	11	144.2	6.9	-11.05	6.03	0.36	1871	-0.03	0.0000			566.0000						
