exp_name	mode	step	travel_time	loss	rewards	queue	delay	throughput	train_reward	R_real	components	detail	fairness	emission	fuel	emergency_stops	ssm_conflicts	collisions	phi_raw
tempe_1x1_efficiency_aligned_presslight_reward_inference	SIM_TRAIN	0	521.8	0.0	-213.74	200.67	0.67	1836	-1.03	0.0000			614.0000						
tempe_1x1_efficiency_aligned_presslight_reward_inference	SIM_TRAIN	1	175.8	0.0	-28.15	22.55	0.49	1862	-0.12	0.0000			585.0000						
tempe_1x1_efficiency_aligned_presslight_reward_inference	SIM_TRAIN	2	157.8	0.0	-18.54	13.24	0.46	1864	-0.07	0.0000			587.0000						
tempe_1x1_efficiency_aligned_presslight_reward_inference	REAL_TRAIN	1	180.2	100.0	-60.50	22.77	0.52	1812		-1.8867	queue=0.1189;delay=0.518;waiting=1.2498;pressure=0.0;switches=0.0	probe[queue]	299.0000	663.6154	215.1369	17.0000	462.0000	0.0000	queue=1.1892;delay=0.518;waiting=249.9514;pressure=61.225;switches=0.8694
tempe_1x1_efficiency_aligned_presslight_reward_inference	SIM_TRAIN	3	397.3	0.0	-148.79	137.31	0.62	1801	-0.62	0.0000			566.0000						
tempe_1x1_efficiency_aligned_presslight_reward_inference	SIM_TRAIN	4	218.7	0.0	-53.90	45.71	0.54	1775	-0.54	0.0000			549.0000						
tempe_1x1_efficiency_aligned_presslight_reward_inference	SIM_TRAIN	5	382.0	0.0	-139.78	127.15	0.60	1829	-0.60	0.0000			505.0000						
tempe_1x1_efficiency_aligned_presslight_reward_inference	REAL_TRAIN	2	954.7	100.0	-386.54	359.74	0.72	885		-133.0703	queue=2.0414;delay=0.7169;waiting=130.3121;pressure=0.0;switches=0.0	probe[delay]	573.0000	2305.2158	747.3362	2.0000	691.0000	0.0000	queue=20.4135;delay=0.7169;waiting=26062.4169;pressure=387.3194;switches=0.0611
tempe_1x1_efficiency_aligned_presslight_reward_inference	SIM_TRAIN	6	667.2	150.1	-288.72	274.68	0.69	1452	-44.90	0.0000			499.0000						
tempe_1x1_efficiency_aligned_presslight_reward_inference	SIM_TRAIN	7	371.9	60.1	-138.40	129.15	0.66	1721	-27.11	0.0000			572.0000						
tempe_1x1_efficiency_aligned_presslight_reward_inference	SIM_TRAIN	8	299.8	49.9	-98.13	90.56	0.64	1767	-24.44	0.0000			380.0000						
tempe_1x1_efficiency_aligned_presslight_reward_inference	REAL_TRAIN	3	609.6	100.0	-299.29	265.72	0.71	1282		-66.1813	queue=1.4039;delay=0.711;waiting=64.0665;pressure=0.0;switches=0.0	probe[waiting]	277.0000	1891.9431	613.3542	3.0000	1044.0000	0.0000	queue=14.0386;delay=0.711;waiting=12813.2928;pressure=300.0667;switches=0.175
tempe_1x1_efficiency_aligned_presslight_reward_inference	SIM_TRAIN	9	715.9	61.6	-294.14	276.29	0.68	1713	-29.45	0.0000			409.0000						
tempe_1x1_efficiency_aligned_presslight_reward_inference	SIM_TRAIN	10	344.1	5.5	-122.19	113.00	0.62	1748	-12.23	0.0000			610.0000						
tempe_1x1_efficiency_aligned_presslight_reward_inference	SIM_TRAIN	11	272.9	6.4	-84.37	77.33	0.58	1754	-8.43	0.0000			643.0000						
tempe_1x1_efficiency_aligned_presslight_reward_inference	REAL_TRAIN	4	744.1	100.0	-372.85	340.82	0.72	1169		-82.4973	queue=1.7043;delay=0.7156;waiting=80.0775;pressure=0.0;switches=0.0	probe[pressure]	284.0000	2276.2638	737.9490	2.0000	1164.0000	0.0000	queue=17.0428;delay=0.7156;waiting=16015.4982;pressure=373.7639;switches=0.1694
tempe_1x1_efficiency_aligned_presslight_reward_inference	SIM_TRAIN	12	812.4	0.0	-312.63	302.50	0.70	1085	-0.17	0.0000			691.0000						
tempe_1x1_efficiency_aligned_presslight_reward_inference	SIM_TRAIN	13	1107.8	0.0	-551.40	538.31	0.76	734	-0.06	0.0000			209.0000						
tempe_1x1_efficiency_aligned_presslight_reward_inference	SIM_TRAIN	14	1388.5	0.0	-667.95	653.29	0.77	752	-0.05	0.0000			162.0000						
tempe_1x1_efficiency_aligned_presslight_reward_inference	REAL_TRAIN	5	1306.4	100.0	-621.08	596.33	0.76	627		-184.1725	queue=2.9817;delay=0.7628;waiting=180.4281;pressure=0.0;switches=0.0	probe[switches]	2.0000	3546.0361	1149.6037	0.0000	1081.0000	0.0000	queue=29.8168;delay=0.7628;waiting=36085.6147;pressure=622.4444;switches=0.0028
tempe_1x1_efficiency_aligned_presslight_reward_inference	SIM_TRAIN	15	396.5	0.0	-148.44	138.49	0.66	1790	-0.73	0.0000			548.0000						
tempe_1x1_efficiency_aligned_presslight_reward_inference	SIM_TRAIN	16	207.7	0.0	-45.35	39.59	0.53	1855	-0.23	0.0000			612.0000						
tempe_1x1_efficiency_aligned_presslight_reward_inference	SIM_TRAIN	17	168.5	0.0	-24.22	18.82	0.48	1866	-0.10	0.0000			586.0000						
tempe_1x1_efficiency_aligned_presslight_reward_inference	REAL_TRAIN	6	280.2	100.0	-114.72	78.00	0.58	1755		-6.8749	queue=0.4549;delay=0.5761;waiting=5.8438;pressure=0.0;switches=0.0	probe[queue]	329.0000	960.4100	311.3556	5.0000	1014.0000	0.0000	queue=4.5491;delay=0.5761;waiting=1168.7676;pressure=115.0389;switches=0.4944
tempe_1x1_efficiency_aligned_presslight_reward_inference	SIM_TRAIN	18	803.0	0.0	-373.04	356.24	0.66	1428	-0.66	0.0000			578.0000						
tempe_1x1_efficiency_aligned_presslight_reward_inference	SIM_TRAIN	19	355.9	0.0	-133.58	123.64	0.53	1599	-0.53	0.0000			498.0000						
tempe_1x1_efficiency_aligned_presslight_reward_inference	SIM_TRAIN	20	525.4	0.0	-228.01	219.85	0.54	1404	-0.54	0.0000			578.0000						
tempe_1x1_efficiency_aligned_presslight_reward_inference	REAL_TRAIN	7	740.1	100.0	-334.13	305.32	0.55	1222		-91.1360	queue=1.5274;delay=0.5451;waiting=89.0636;pressure=0.0;switches=0.0	probe[delay]	273.0000	2071.5897	671.5954	5.0000	754.0000	0.0000	queue=15.2737;delay=0.5451;waiting=17812.71;pressure=335.1472;switches=0.6444
tempe_1x1_efficiency_aligned_presslight_reward_inference	SIM_TRAIN	21	500.7	135.6	-200.65	187.97	0.69	1684	-28.26	0.0000			537.0000						
tempe_1x1_efficiency_aligned_presslight_reward_inference	SIM_TRAIN	22	360.7	37.4	-129.47	119.73	0.62	1803	-16.44	0.0000			564.0000						
tempe_1x1_efficiency_aligned_presslight_reward_inference	SIM_TRAIN	23	297.3	30.6	-95.06	87.68	0.58	1801	-17.13	0.0000			554.0000						
tempe_1x1_efficiency_aligned_presslight_reward_inference	REAL_TRAIN	8	455.0	100.0	-213.02	176.91	0.69	1488		-44.5910	queue=0.9598;delay=0.6887;waiting=42.9424;pressure=0.0;switches=0.0	probe[waiting]	291.0000	1457.9385	472.6521	4.0000	1054.0000	0.0000	queue=9.5984;delay=0.6887;waiting=8588.4861;pressure=213.5111;switches=0.2444
tempe_1x1_efficiency_aligned_presslight_reward_inference	SIM_TRAIN	24	601.1	45.2	-259.83	242.42	0.65	1721	-26.03	0.0000			484.0000						
tempe_1x1_efficiency_aligned_presslight_reward_inference	SIM_TRAIN	25	378.2	4.1	-143.51	135.18	0.60	1657	-14.38	0.0000			702.0000						
tempe_1x1_efficiency_aligned_presslight_reward_inference	SIM_TRAIN	26	371.1	5.8	-140.87	133.30	0.54	1631	-14.11	0.0000			813.0000						
tempe_1x1_efficiency_aligned_presslight_reward_inference	REAL_TRAIN	9	578.2	100.0	-280.43	247.91	0.62	1397		-49.4621	queue=1.3507;delay=0.6198;waiting=47.4916;pressure=0.0;switches=0.0	probe[pressure]	490.0000	1808.8772	586.4240	1.0000	1498.0000	1.0000	queue=13.5065;delay=0.6198;waiting=9498.3198;pressure=281.1;switches=0.4333
tempe_1x1_efficiency_aligned_presslight_reward_inference	SIM_TRAIN	27	343.1	0.0	-129.60	118.96	0.63	1499	-0.36	0.0000			404.0000						
tempe_1x1_efficiency_aligned_presslight_reward_inference	SIM_TRAIN	28	1222.4	0.0	-539.53	524.41	0.79	818	-0.04	0.0000			683.0000						
tempe_1x1_efficiency_aligned_presslight_reward_inference	SIM_TRAIN	29	1343.7	0.0	-598.64	587.41	0.74	502	-0.04	0.0000			195.0000						
tempe_1x1_efficiency_aligned_presslight_reward_inference	REAL_TRAIN	10	984.0	100.0	-495.38	467.09	0.76	867		-129.4638	queue=2.4287;delay=0.757;waiting=126.2781;pressure=0.0;switches=0.0	probe[switches]	515.0000	2900.3133	940.2634	0.0000	1136.0000	0.0000	queue=24.2874;delay=0.757;waiting=25255.6224;pressure=496.6056;switches=0.0056
tempe_1x1_efficiency_aligned_presslight_reward_inference	SIM_TRAIN	30	663.5	0.0	-284.18	269.17	0.70	1831	-1.47	0.0000			582.0000						
tempe_1x1_efficiency_aligned_presslight_reward_inference	SIM_TRAIN	31	226.3	0.0	-55.35	49.34	0.56	1855	-0.26	0.0000			559.0000						
tempe_1x1_efficiency_aligned_presslight_reward_inference	SIM_TRAIN	32	177.6	0.0	-29.14	23.36	0.50	1861	-0.12	0.0000			566.0000						
tempe_1x1_efficiency_aligned_presslight_reward_inference	REAL_TRAIN	11	485.1	100.0	-229.61	193.97	0.60	1452		-51.5538	queue=0.9837;delay=0.6019;waiting=49.9682;pressure=0.0;switches=0.0	probe[queue]	591.0000	1541.2669	499.6670	6.0000	925.0000	0.0000	queue=9.8371;delay=0.6019;waiting=9993.6371;pressure=230.3111;switches=0.5083
tempe_1x1_efficiency_aligned_presslight_reward_inference	SIM_TRAIN	33	988.1	0.0	-433.03	406.06	0.71	1438	-0.71	0.0000			453.0000						
tempe_1x1_efficiency_aligned_presslight_reward_inference	SIM_TRAIN	34	454.4	0.0	-187.01	170.89	0.60	1598	-0.60	0.0000			575.0000						
tempe_1x1_efficiency_aligned_presslight_reward_inference	SIM_TRAIN	35	591.5	0.0	-274.25	259.34	0.59	1204	-0.59	0.0000			690.0000						
tempe_1x1_efficiency_aligned_presslight_reward_inference	REAL_TRAIN	12	1226.2	100.0	-569.85	547.33	0.73	568		-142.5801	queue=2.9029;delay=0.7324;waiting=138.9448;pressure=0.0;switches=0.0	probe[delay]	164.0000	3256.4774	1055.7298	0.0000	1449.0000	0.0000	queue=29.029;delay=0.7324;waiting=27788.9647;pressure=571.2667;switches=0.2139
tempe_1x1_efficiency_aligned_presslight_reward_inference	SIM_TRAIN	36	519.5	33.4	-218.01	204.94	0.65	1657	-20.87	0.0000			507.0000						
tempe_1x1_efficiency_aligned_presslight_reward_inference	SIM_TRAIN	37	375.9	17.7	-140.32	128.92	0.61	1734	-16.06	0.0000			643.0000						
tempe_1x1_efficiency_aligned_presslight_reward_inference	SIM_TRAIN	38	181.0	11.9	-33.35	26.59	0.50	1799	-0.90	0.0000			614.0000						
tempe_1x1_efficiency_aligned_presslight_reward_inference	REAL_TRAIN	13	489.4	100.0	-234.41	199.00	0.65	1394		-45.6741	queue=1.0399;delay=0.6508;waiting=43.9834;pressure=0.0;switches=0.0	probe[waiting]	482.0000	1550.8303	502.7675	4.0000	927.0000	0.0000	queue=10.3991;delay=0.6508;waiting=8796.6834;pressure=235.2306;switches=0.3889
tempe_1x1_efficiency_aligned_presslight_reward_inference	SIM_TRAIN	39	812.5	58.5	-341.87	326.22	0.71	1688	-34.23	0.0000			489.0000						
tempe_1x1_efficiency_aligned_presslight_reward_inference	SIM_TRAIN	40	249.4	4.9	-67.71	61.23	0.55	1853	-6.79	0.0000			576.0000						
tempe_1x1_efficiency_aligned_presslight_reward_inference	SIM_TRAIN	41	195.0	5.7	-38.98	32.91	0.52	1861	-3.93	0.0000			560.0000						
tempe_1x1_efficiency_aligned_presslight_reward_inference	REAL_TRAIN	14	492.6	100.0	-234.00	200.89	0.62	1425		-28.5107	queue=1.1073;delay=0.6228;waiting=26.7806;pressure=0.0;switches=0.0	probe[pressure]	235.0000	1555.9241	504.4179	4.0000	1291.0000	0.0000	queue=11.073;delay=0.6228;waiting=5356.1177;pressure=234.6417;switches=0.4167
tempe_1x1_efficiency_aligned_presslight_reward_inference	SIM_TRAIN	42	1196.9	0.0	-535.28	521.31	0.72	679	-0.15	0.0000			161.0000						
tempe_1x1_efficiency_aligned_presslight_reward_inference	SIM_TRAIN	43	1234.1	0.0	-544.62	530.85	0.79	648	-0.02	0.0000			46.0000						
tempe_1x1_efficiency_aligned_presslight_reward_inference	SIM_TRAIN	44	1205.7	0.0	-524.99	510.35	0.77	811	-0.08	0.0000			151.0000						
tempe_1x1_efficiency_aligned_presslight_reward_inference	REAL_TRAIN	15	1693.8	100.0	-624.71	606.52	0.73	380		-220.5001	queue=3.2871;delay=0.7299;waiting=216.4831;pressure=0.0;switches=0.0	probe[switches]	55.0000	3529.2138	1144.1506	0.0000	937.0000	0.0000	queue=32.8707;delay=0.7299;waiting=43296.6254;pressure=625.9083;switches=0.0056
tempe_1x1_efficiency_aligned_presslight_reward_inference	REAL_TRAIN	0	159.4	100.0	-48.99	11.30	0.46	1834		-0.7637	queue=0.0587;delay=0.4602;waiting=0.2447;pressure=0.0;switches=0.0	final;warmstart	340.0000	603.0930	195.5159	26.0000	259.0000	0.0000	queue=0.5869;delay=0.4602;waiting=48.949;pressure=49.8694;switches=0.9222
tempe_1x1_efficiency_aligned_presslight_reward_inference	SIM_TRAIN	45	144.7	0.0	-11.28	6.23	0.37	1874	-0.43	0.0000			595.0000						
tempe_1x1_efficiency_aligned_presslight_reward_inference	SIM_TRAIN	46	143.8	0.0	-10.80	5.82	0.36	1874	-0.42	0.0000			607.0000						
tempe_1x1_efficiency_aligned_presslight_reward_inference	REAL_TRAIN	2	159.4	100.0	-48.99	11.30	0.46	1834		-0.7637	queue=0.0587;delay=0.4602;waiting=0.2447;pressure=0.0;switches=0.0	final;ckpt	340.0000	603.0930	195.5159	26.0000	259.0000	0.0000	queue=0.5869;delay=0.4602;waiting=48.949;pressure=49.8694;switches=0.9222
tempe_1x1_efficiency_aligned_presslight_reward_inference	SIM_TRAIN	47	144.2	6.7	-10.99	5.94	0.36	1872	-0.42	0.0000			619.0000						
tempe_1x1_efficiency_aligned_presslight_reward_inference	SIM_TRAIN	48	211.7	9.1	-50.54	42.21	0.46	1765	-2.04	0.0000			551.0000						
